N	3gram	Losev_Dial	PoTuStor
1	с точки зрения	18	6
2	на самом деле	3	4
3	с самого начала	2	4
4	до сих пор	4	3
5	не может быть	4	3
6	в чем не	1	3
7	по крайней мере	11	3
8	в этом смысле	4	3
9	по сравнению с	2	3
10	во всяком случае	3	3
11	можно сказать что	6	3
12	ни в чем	2	3
13	мы можем сказать	3	2
14	нечего и говорить	2	2
15	так же как	1	2
16	в нем нет	3	2
17	и может быть	3	2
18	о том что	6	2
19	не могут быть	1	2
20	социального и исторического	1	2
21	в самом деле	3	2
22	не нуждается в	6	2
23	и в этом	4	2
24	одних и тех	1	1
25	всем мире и	1	1
26	и с ними	1	1
27	в том что	12	1
28	друг с другом	2	1
29	мы только и	1	1
30	то что можно	1	1
31	и вот она	1	1
32	не что иное	4	1
33	и та же	5	1
34	эти понятия и	1	1
35	что иное как	4	1
36	в этом и	1	1
37	дело в том	1	1
38	ни в коем	1	1
39	и может совершенно	1	1
40	той или иной	4	1
41	вместе с тем	1	1
42	вместе с ним	1	1
43	и говорить о	2	1
44	мы уже знаем	4	1
45	однако сказать что	1	1
46	подобно тому как	1	1
47	ничего общего не	1	1
48	и не должна	2	1
49	на этом моменте	1	1
50	сказать что эти	1	1
51	сознания ни в	1	1
52	а на самом	1	1
53	ли все это	1	1
54	можно было бы	4	1
55	можем сказать что	3	1
56	все что угодно	1	1
57	и вообще всего	1	1
58	свое отношение к	1	1
59	в данном случае	1	1
60	обратим внимание на	1	1
61	в том смысле	4	1
62	а это уже	1	1
63	как это было	1	1
64	есть прежде всего	1	1
65	и можно сказать	3	1
66	ничего не говорит	4	1
67	не говорит и	1	1
68	с теми которые	2	1
69	это быть может	1	1
70	же как и	1	1
71	уже знаем что	2	1
72	со всеми его	1	1
73	с ним и	1	1
74	нам в голову	1	1
75	но мы уже	2	1
76	говорит и о	1	1
77	сравнению с ней	1	1
78	одна и та	5	1
79	на первый взгляд	2	1
80	на своем месте	1	1
81	то же самое	3	1
82	она может быть	1	1
83	и к ним	1	1
84	как один из	2	1
85	в коем случае	1	1
86	может быть очень	1	1
87	для того чтобы	1	1
88	что есть в	1	1
89	не лучше ли	2	1
90	так как он	2	1
91	реальности и в	1	1
92	в нем и	2	1
93	с одной стороны	3	1
94	то что я	2	1
95	именно то что	1	1
96	он не был	1	1
97	и об его	2	1
98	говорить о том	1	1
99	и ни в	2	1
100	в этом отношении	2	1
101	связи с этим	2	1
102	и тех же	1	1
103	таким образом и	1	1
104	на всю жизнь	1	1
105	это и есть	3	1
106	его жизни в	1	1
107	теперь мы должны	1	1
108	но даже и	1	1
109	вопрос можно ли	1	1
110	свой смысл и	1	1
111	же самое и	1	1
112	в связи с	3	1
113	может быть только	2	1
