N	3gram	Kanaev_Sov	Literetu
1	в том что	1	21
2	в то же	1	21
3	то же время	1	21
4	по отношению к	1	12
5	с одной стороны	1	12
6	не может быть	4	11
7	в данном случае	1	11
8	в отличие от	2	11
9	в конечном счете	1	10
10	с точки зрения	5	8
11	тем не менее	2	5
12	в связи с	1	5
13	по аналогии с	1	4
14	и прежде всего	1	4
15	то ни было	1	4
16	бы то ни	1	4
17	одной стороны и	1	3
18	в самом деле	1	3
19	то же самое	2	3
20	той или иной	1	3
21	в свою очередь	2	3
22	на самом деле	1	3
23	по крайней мере	1	3
24	во всяком случае	2	3
25	все же в	1	2
26	а не только	1	2
27	в свое время	1	2
28	в такого рода	1	2
29	дело в том	1	2
30	можно было бы	1	2
31	в этом случае	1	2
32	как и во	1	1
33	каждого из них	2	1
34	это как бы	1	1
35	что в ней	1	1
36	при этом с	1	1
37	но отнюдь не	1	1
38	не в том	1	1
39	до сих пор	1	1
40	все более и	1	1
41	в такой же	1	1
42	в зависимости от	4	1
43	и не было	1	1
44	и в то	1	1
45	следующим образом если	1	1
46	на какой бы	1	1
47	в обратном порядке	1	1
48	как бы два	1	1
49	но все же	1	1
50	его в ту	1	1
51	такой же мере	1	1
52	и в этом	1	1
53	может быть только	1	1
54	и у нас	1	1
55	а в конце	1	1
56	вместе с ним	1	1
57	точки зрения для	1	1
58	может быть в	1	1
59	какой бы то	1	1
60	но уже в	1	1
61	той же природы	1	1
62	не что иное	1	1
63	более и более	1	1
64	с жизнью на	1	1
65	и во всей	1	1
66	не подлежит сомнению	2	1
67	именно в том	1	1
68	с самого начала	3	1
69	не могут быть	1	1
70	что иное как	1	1
71	как одной из	1	1
72	и не может	1	1
73	как он выражается	1	1
74	тот или иной	1	1
75	мы не можем	6	1
76	может быть и	2	1
