N	3gram	Ircho_Kome	Istorich
1	и т д	4	142
2	с другой стороны	6	46
3	до сих пор	3	30
4	с одной стороны	5	28
5	так же как	1	27
6	в том что	13	25
7	вместе с тем	4	23
8	но все же	1	23
9	тем не менее	2	23
10	точно так же	1	22
11	о том что	6	22
12	не только в	1	19
13	в связи с	3	17
14	мы уже знаем	1	15
15	в данном случае	1	15
16	после того как	3	15
17	по отношению к	5	14
18	на то что	2	14
19	в то время	8	13
20	то время как	6	13
21	но и в	2	12
22	как мы видели	1	12
23	в тех случаях	1	11
24	не что иное	1	11
25	т е в	2	11
26	что иное как	1	11
27	как и в	2	10
28	можно было бы	3	10
29	к заключению что	1	10
30	тех случаях когда	1	10
31	что и в	2	10
32	более или менее	1	9
33	же как и	1	9
34	то же самое	2	8
35	что у него	3	8
36	подобно тому как	1	8
37	в зависимости от	1	8
38	в большинстве случаев	2	7
39	наряду с этим	1	7
40	смысле этого слова	1	7
41	в одном случае	1	7
42	то что в	1	7
43	во всяком случае	4	7
44	что он не	2	7
45	отсюда видно что	1	7
46	и здесь мы	1	6
47	к тому же	12	6
48	т д все	1	6
49	так как он	1	6
50	этой точки зрения	1	6
51	с этой точки	1	6
52	с самого начала	2	6
53	то что он	2	5
54	том что в	1	5
55	для того чтобы	3	5
56	должны были бы	1	5
57	в отличие от	3	5
58	со всех сторон	1	5
59	в том числе	4	5
60	до наших дней	1	5
61	так и в	1	5
62	мы и здесь	1	5
63	соответствии с этим	1	4
64	они должны были	1	4
65	так или иначе	4	4
66	независимо от того	3	4
67	состоит в том	1	4
68	в одной из	1	4
69	не означает что	2	4
70	но уже в	1	4
71	том что они	1	4
72	обстоит дело с	1	4
73	в это время	3	4
74	этим объясняется что	1	4
75	к этому же	1	4
76	остается предположить что	1	3
77	как будто бы	1	3
78	как один из	1	3
79	в обоих случаях	3	3
80	к тому что	3	3
81	в одном из	4	3
82	за то что	4	3
83	в подземное царство	1	3
84	и тем что	2	3
85	о чем говорилось	1	3
86	и здесь нет	1	3
87	в другом случае	1	3
88	и тот же	1	3
89	по сравнению с	1	3
90	в ответ на	1	3
91	некоторый свет на	1	3
92	само по себе	1	3
93	в соответствии с	2	3
94	то ни было	4	3
95	бы то ни	4	3
96	только в связи	1	3
97	здесь нет необходимости	1	3
98	сих пор не	1	3
99	но он не	1	3
100	таким образом в	2	3
101	не в состоянии	3	3
102	что в нем	1	3
103	мы знаем о	1	3
104	и не только	1	3
105	с собой в	1	3
106	а может быть	1	2
107	на столе и	1	2
108	и т п	7	2
109	между небом и	2	2
110	обращает на себя	4	2
111	несмотря на всю	3	2
112	друг от друга	2	2
113	с этим и	1	2
114	в частности в	2	2
115	сам по себе	1	2
116	но это еще	1	2
117	том числе и	1	2
118	и таким образом	2	2
119	если не считать	1	2
120	что это не	1	2
121	мы имеем дело	1	2
122	при этом они	1	2
123	и не всегда	1	2
124	вместе со своим	1	2
125	с семьей на	1	2
126	ясно что это	1	2
127	на первый план	1	2
128	может быть в	1	2
129	только в том	1	2
130	во всех случаях	1	2
131	в достаточной степени	1	2
132	и один из	1	2
133	состоял в том	1	2
134	возможно что в	1	2
135	мы ничего не	1	2
136	в более ранних	1	2
137	но все эти	1	2
138	а в другом	1	2
139	для этой цели	2	2
140	видеть в нем	2	2
141	совершенно очевидно что	1	2
142	и в конце	1	2
143	предположить что они	1	2
144	хотя бы в	1	2
145	с его дочерью	1	2
146	в соединении с	1	2
147	и прежде всего	1	2
148	из них не	1	2
149	на то чтобы	1	2
150	и и толстой	1	2
151	с тех пор	1	2
152	и в том	1	2
153	большей или меньшей	1	2
154	в борьбе с	1	2
155	в качестве примера	1	2
156	брак с дочерью	1	2
157	другой стороны он	1	2
158	одна из них	2	2
159	о том чем	1	2
160	в тех же	3	2
161	хотя и не	1	2
162	другой стороны в	1	2
163	только потому что	2	2
164	мы знаем их	1	2
165	же как мы	1	2
166	том что он	4	2
167	он не мог	1	2
168	что под этим	1	2
169	небом и землей	2	2
170	имеем дело с	1	2
171	при жизни так	1	1
172	к выводу что	1	1
173	начала до конца	1	1
174	может быть объяснена	1	1
175	одного из них	1	1
176	греции и в	1	1
177	можно полагать что	1	1
178	ни одной из	1	1
179	к числу таких	1	1
180	не прошло и	1	1
181	мы не найдем	1	1
182	говоря уже о	4	1
183	на вопрос откуда	1	1
184	которых идет речь	1	1
185	ясно во всяком	1	1
186	герой тем самым	1	1
187	дошли до нас	1	1
188	таким же образом	1	1
189	они так же	1	1
190	и у других	1	1
191	и в каком	1	1
192	достаточно сослаться на	1	1
193	у него в	1	1
194	вместе с ними	1	1
195	и нет необходимости	1	1
196	как мы уже	1	1
197	населения и прежде	1	1
198	тот сказал что	1	1
199	по своему содержанию	1	1
200	сводится к тому	1	1
201	но при этом	1	1
202	как это указывает	1	1
203	именно в этой	1	1
204	из них в	1	1
205	чаще всего в	1	1
206	каждый из них	2	1
207	от начала до	1	1
208	в союзе с	1	1
209	совершенно ясна в	1	1
210	речь идет о	5	1
211	по аналогии с	1	1
212	из своей среды	1	1
213	каждого из этих	1	1
214	на пути к	1	1
215	за водой и	1	1
216	можно говорить о	1	1
217	только в виде	1	1
218	все еще остается	1	1
219	к отказу от	1	1
220	и каждый из	1	1
221	до нас в	1	1
222	то что у	1	1
223	что в действительности	1	1
224	ни у одного	1	1
225	оно все же	1	1
226	к этому времени	3	1
227	не всю жизнь	1	1
228	как правило в	1	1
229	ничего не знаем	1	1
230	в самых общих	1	1
231	не в его	1	1
232	происходит и в	1	1
233	имело место уже	1	1
234	одной из причин	1	1
235	как мы знаем	1	1
236	в этом же	2	1
237	в чем же	1	1
238	что у нее	1	1
239	это ясно из	1	1
240	может быть даже	2	1
241	он действует в	1	1
242	чтобы доказать свою	1	1
243	чем на половину	1	1
244	в этом смысле	2	1
245	но и не	1	1
246	состоит не в	1	1
247	чем говорилось выше	1	1
248	и к тому	1	1
249	ответ на это	1	1
250	связи с этим	1	1
251	тем более что	1	1
252	до тех пор	1	1
253	мы не знали	1	1
254	у того же	1	1
255	он может быть	1	1
256	у нас в	2	1
257	в его распоряжение	1	1
258	до нашей эры	1	1
259	отцом и сыном	1	1
260	никто не может	1	1
261	в пределах одного	1	1
262	так мы получаем	1	1
263	этого даже не	1	1
264	объясняется что в	1	1
265	не мог бы	1	1
266	а по его	1	1
267	же в этих	1	1
268	следить за тем	1	1
269	и на его	1	1
270	по тем же	1	1
271	и вслед за	1	1
272	и с этой	2	1
273	я думаю что	2	1
274	прямой путь к	1	1
275	время от времени	1	1
276	в самом начале	3	1
277	и столь же	2	1
278	видно как из	1	1
279	и здесь найдем	1	1
280	и даже не	1	1
281	о содержании этих	1	1
282	только в условиях	1	1
283	не менее это	1	1
284	имеется в виду	1	1
285	легко представить себе	1	1
286	как он был	2	1
287	до н э	3	1
288	если они не	1	1
289	и детей из	1	1
290	только в начале	1	1
291	что все это	1	1
292	освобожденный им от	1	1
293	высказывает предположение что	1	1
294	в свои руки	3	1
295	с такой силой	1	1
296	или может быть	2	1
297	по своей социальной	1	1
298	что он был	1	1
299	в этом отношении	3	1
300	мы видели это	1	1
301	другой пример у	1	1
302	не имеет значения	1	1
303	в том случае	1	1
304	три года до	1	1
305	именно потому что	2	1
306	вслед за ним	1	1
307	том что именно	1	1
308	но прежде всего	1	1
309	бросается в глаза	1	1
310	на том месте	1	1
311	так и более	1	1
312	то что не	1	1
313	в дом и	1	1
314	в высшей степени	1	1
315	это вовсе не	1	1
316	в стороне от	1	1
317	с этим же	1	1
318	то же время	5	1
319	в значительной степени	1	1
320	у своего отца	1	1
321	аргументом в пользу	2	1
322	нечто такое что	1	1
323	в так называемых	1	1
324	во второй половине	3	1
325	формы его проявления	1	1
326	того или иного	1	1
327	мы находим в	1	1
328	в какой мере	1	1
329	как таковой и	1	1
330	могло бы привести	1	1
331	и обнаруживает что	1	1
332	едва ли можно	3	1
333	здесь мы не	1	1
334	и целые страны	1	1
335	различных животных или	1	1
336	в уже упомянутой	1	1
337	на брак с	1	1
338	но об этом	1	1
339	и более поздние	1	1
340	в то же	5	1
341	о которых идет	1	1
342	а с наступлением	1	1
343	не говоря уже	4	1
344	в первом случае	1	1
345	три или четыре	1	1
346	и та же	1	1
347	целые страны в	1	1
348	главным источником для	1	1
349	том что на	1	1
350	по содержанию и	1	1
351	следующим образом на	1	1
352	из них он	1	1
353	уже знакомых нам	1	1
354	может привести к	1	1
355	иначе чем это	1	1
356	представление о том	2	1
357	одна и та	1	1
358	однако еще не	1	1
359	следует отметить что	1	1
360	что указывает на	1	1
361	к нему с	1	1
362	едва ли не	6	1
363	литературу и в	1	1
364	за лет с	1	1
365	всяком случае в	1	1
366	из тех случаев	1	1
367	до конца и	1	1
368	как бы то	1	1
369	что и во	1	1
370	один шаг до	1	1
371	и начало ее	1	1
372	потому что они	1	1
