N	2gram	Bakhtin_Pr	SlovoVZh
1	не может	18	16
2	может быть	23	14
3	точки зрения	17	14
4	как бы	27	13
5	и его	13	13
6	таким образом	9	12
7	и в	83	12
8	отношению к	5	11
9	по отношению	6	11
10	и не	41	10
11	так как	12	9
12	если бы	1	9
13	прежде всего	20	8
14	сказать что	12	7
15	все время	2	6
16	и героя	1	6
17	в ней	8	6
18	слова и	5	6
19	с помощью	4	6
20	в том	22	6
21	в процессе	4	6
22	только в	10	6
23	в нем	21	6
24	при этом	6	6
25	и др	18	5
26	можно сказать	12	5
27	что мы	2	5
28	героя и	3	5
29	хотя бы	6	5
30	должна быть	1	5
31	то же	10	5
32	а не	19	5
33	в виду	3	5
34	то что	14	5
35	мы ни	1	5
36	в жизни	14	5
37	как и	13	5
38	как в	10	5
39	том что	9	5
40	и следовательно	1	5
41	но в	12	5
42	никогда не	10	5
43	в самом	7	4
44	и к	13	4
45	в литературе	8	4
46	и на	27	4
47	свое выражение	1	4
48	к материалу	1	4
49	не только	14	4
50	и является	1	4
51	на самом	2	4
52	как если	1	4
53	за пределы	7	4
54	его в	4	4
55	литературы и	4	4
56	мы все	2	4
57	с другой	4	4
58	не в	10	4
59	дело в	3	4
60	отношение к	14	4
61	что не	1	4
62	так и	9	4
63	уже не	5	4
64	жизни и	13	4
65	в этом	24	4
66	все же	3	4
67	зависимости от	3	4
68	к нему	3	4
69	и с	10	3
70	ее и	1	3
71	до сих	8	3
72	и более	3	3
73	в котором	8	3
74	с героем	1	3
75	и по	5	3
76	и пр	1	3
77	так называемой	1	3
78	мы не	7	3
79	между тем	2	3
80	для него	1	3
81	отношении к	2	3
82	с ним	3	3
83	не должна	2	3
84	того что	1	3
85	быть и	2	3
86	и уже	2	3
87	когда он	2	3
88	тем не	2	3
89	в некоторых	7	3
90	все это	11	3
91	ни в	4	3
92	в пределах	8	3
93	конечно не	11	3
94	по себе	3	3
95	так же	4	3
96	в них	4	3
97	в творчестве	8	3
98	только на	3	3
99	но для	2	3
100	в себе	10	3
101	слово в	5	3
102	произведения и	1	3
103	все эти	9	3
104	о том	3	3
105	в своей	5	3
106	и герой	1	3
107	здесь не	5	3
108	не менее	4	3
109	в такой	1	3
110	нуждается в	1	3
111	да и	3	3
112	но и	16	3
113	и для	5	3
114	точек зрения	1	3
115	точка зрения	1	3
116	на границе	4	3
117	и ее	8	3
118	и наконец	4	3
119	сих пор	8	3
120	и вообще	3	3
121	формы и	3	3
122	не к	3	3
123	еще не	10	3
124	в особенности	2	2
125	что в	5	2
126	этих двух	5	2
127	все они	2	2
128	истории литературы	1	2
129	нет ничего	3	2
130	перестает быть	1	2
131	слова так	1	2
132	но это	7	2
133	и потому	6	2
134	и другие	14	2
135	ни на	1	2
136	и то	2	2
