N	2gram	Vinokur_Ku	SlovoVZh
1	не может	13	16
2	может быть	25	14
3	точки зрения	25	14
4	как бы	11	13
5	и его	8	13
6	таким образом	17	12
7	и в	44	12
8	отношению к	9	11
9	по отношению	9	11
10	в нашем	8	11
11	и не	23	10
12	так как	16	9
13	если бы	21	9
14	прежде всего	14	8
15	для нас	6	7
16	сказать что	5	7
17	все время	1	6
18	в ней	6	6
19	слова и	8	6
20	с помощью	12	6
21	в том	47	6
22	в процессе	1	6
23	только в	15	6
24	в нем	7	6
25	при этом	6	6
26	и др	1	5
27	можно сказать	6	5
28	что мы	6	5
29	хотя бы	19	5
30	должна быть	6	5
31	то же	12	5
32	а не	17	5
33	в виду	7	5
34	то что	14	5
35	в жизни	1	5
36	как и	3	5
37	как в	6	5
38	отнюдь не	5	5
39	том что	30	5
40	и следовательно	2	5
41	но в	11	5
42	никогда не	2	5
43	в самом	20	4
44	и к	1	4
45	в литературе	1	4
46	и на	8	4
47	свое выражение	2	4
48	не только	29	4
49	ни было	1	4
50	социального общения	3	4
51	и является	4	4
52	на самом	3	4
53	от того	5	4
54	его в	1	4
55	с другой	14	4
56	не в	18	4
57	дело в	2	4
58	отношение к	2	4
59	что не	10	4
60	так и	10	4
61	уже не	13	4
62	жизни и	1	4
63	в этом	31	4
64	все же	17	4
65	зависимости от	9	4
66	к нему	1	4
67	бы то	1	3
68	как к	2	3
69	и с	11	3
70	находит свое	1	3
71	до сих	5	3
72	это как	2	3
73	и более	3	3
74	в котором	4	3
75	и по	4	3
76	в поэзии	1	3
77	и пр	23	3
78	так называемой	2	3
79	мы не	1	3
80	то ни	2	3
81	или не	1	3
82	между тем	11	3
83	для него	2	3
84	отношении к	1	3
85	с ним	5	3
86	того что	11	3
87	быть и	1	3
88	и уже	2	3
89	когда он	4	3
90	тем не	10	3
91	в некоторых	1	3
92	все это	10	3
93	он должен	2	3
94	ни в	3	3
95	в пределах	8	3
96	конечно не	3	3
97	по себе	10	3
98	так же	8	3
99	в них	10	3
100	в каком	6	3
101	этой точки	4	3
102	самом деле	17	3
103	только на	1	3
104	но для	4	3
105	в себе	4	3
106	слово в	2	3
107	ясно что	7	3
108	все эти	17	3
109	о том	10	3
110	в своей	4	3
111	здесь не	5	3
112	не менее	12	3
113	в такой	2	3
114	нуждается в	5	3
115	да и	5	3
116	но и	13	3
117	ведь и	2	3
118	и для	3	3
119	сих пор	5	3
120	и вообще	1	3
121	еще не	10	3
122	в особенности	6	2
123	что в	25	2
124	все они	1	2
125	самое слово	1	2
126	нет ничего	1	2
127	перестает быть	1	2
128	слова так	1	2
129	но это	4	2
130	не так	2	2
131	и потому	6	2
132	действия и	2	2
133	вместе со	2	2
134	и другие	1	2
135	смысл и	5	2
136	ни на	1	2
137	социальной средой	1	2
138	и то	7	2
139	выражение в	4	2
140	социальной жизни	3	2
141	мы можем	2	2
142	влияние на	1	2
143	и самое	1	2
144	в данном	8	2
145	в то	4	2
146	еще раз	2	2
147	по природе	1	2
148	как форма	1	2
149	слово это	11	2
150	к слову	2	2
151	данном случае	2	2
152	в основном	1	2
153	зависит от	1	2
154	поскольку они	1	2
155	с одной	3	2
156	совпадает с	1	2
157	уже в	5	2
158	там где	7	2
159	в его	16	2
160	с этой	4	2
161	она не	1	2
162	это не	13	2
163	одной стороны	2	2
164	относится к	3	2
165	дело с	2	2
166	с точки	16	2
167	мы имеем	11	2
168	была бы	5	2
169	тем как	1	2
170	кроме того	2	2
171	тогда когда	7	2
172	в себя	2	2
173	и слово	1	2
174	но тем	1	2
175	как это	6	2
176	те же	1	2
177	но все	5	2
178	но зато	2	2
179	мы в	3	2
180	если же	1	2
181	содержания и	2	2
182	одно и	1	2
183	общения и	2	2
184	из него	1	2
185	и что	11	2
186	что и	5	2
187	формой и	1	2
188	в отношении	2	2
189	в форме	3	2
190	и значение	2	2
191	конечно в	1	2
192	на примере	3	2
193	другой стороны	12	2
194	как форму	1	2
195	но что	3	2
196	и те	1	2
197	как не	4	2
198	в этих	5	2
199	есть уже	1	2
200	можно найти	1	2
201	тому же	2	2
202	форма должна	1	2
203	связь с	1	2
204	оно не	5	2
205	бы даже	1	2
206	как же	1	2
207	и притом	1	2
208	на это	3	2
209	имеем в	1	2
210	эта возможность	1	2
211	к ним	2	2
212	выходят за	1	2
213	и здесь	8	2
214	но конечно	1	2
215	как на	4	2
216	слова но	3	2
217	и все	4	2
218	но не	11	2
219	общего с	2	2
220	быть только	3	2
221	речи в	7	2
222	его как	1	2
223	не есть	4	2
224	могут быть	5	2
225	значения и	1	2
226	до конца	3	2
227	в своем	4	2
228	в корне	1	2
229	в какой	7	2
230	вместе с	8	2
231	между ними	2	2
232	место в	1	2
233	в зависимости	7	2
234	к его	1	2
235	может стать	1	2
236	настоящее время	2	2
237	несравненно более	1	2
238	каком отношении	1	2
239	такой же	1	2
240	в атмосфере	2	2
241	и так	1	2
242	со словом	3	2
243	с его	4	2
244	они ни	1	2
245	себя и	1	2
246	на все	3	2
247	его к	5	2
248	является для	1	2
249	к этому	4	2
250	бы не	1	2
251	же относится	2	2
252	он не	4	2
253	в условиях	1	2
254	независимо от	1	2
255	что слово	6	2
256	на материале	1	2
257	в чем	2	2
258	в настоящее	2	2
259	точку зрения	2	2
260	как только	2	2
261	едва ли	1	2
262	ничего не	6	2
263	возможна только	1	2
264	более того	2	2
265	выражение и	1	2
266	или иным	1	1
267	может конечно	1	1
268	одного только	1	1
269	он пользуется	1	1
270	от чисто	1	1
271	можно наблюдать	1	1
272	хорошо и	1	1
273	к одному	2	1
274	это на	1	1
275	себе в	3	1
276	они являются	1	1
277	стоит ли	1	1
278	грамматических форм	4	1
279	именно такой	1	1
280	во всяком	8	1
281	она имеет	1	1
282	нам не	5	1
283	в стиле	1	1
284	это и	6	1
285	и тех	1	1
286	литературы в	1	1
287	что они	5	1
288	видели в	1	1
289	его и	1	1
290	и оба	1	1
291	но можно	2	1
292	знают что	2	1
293	то он	1	1
294	в искусстве	2	1
295	во всех	1	1
296	как социального	1	1
297	стороны к	1	1
298	только из	1	1
299	не является	2	1
300	сторона дела	1	1
301	слово есть	1	1
302	в индивидуальной	1	1
303	а с	3	1
304	только к	2	1
305	если оно	1	1
306	что оно	6	1
307	и он	4	1
308	явно не	1	1
309	к другу	1	1
310	социальной действительности	1	1
311	но несколько	1	1
312	мы могли	2	1
313	та же	1	1
314	по преимуществу	3	1
315	виду не	2	1
316	было в	2	1
317	выходит за	2	1
318	осуществление этой	1	1
319	языкового творчества	3	1
320	является ее	2	1
321	все элементы	1	1
322	каких бы	1	1
323	на этом	4	1
324	сказано в	1	1
325	не имеют	3	1
326	так но	1	1
327	и было	3	1
328	предметы и	1	1
329	поскольку мы	1	1
330	нельзя было	2	1
331	как одно	1	1
332	и сейчас	3	1
333	языка в	14	1
334	не нужен	1	1
335	в лучшем	1	1
336	должно быть	6	1
337	мы уже	1	1
338	значение и	2	1
339	и уж	1	1
340	мы увидим	3	1
341	слову в	1	1
342	следует ли	1	1
343	даже и	5	1
344	и того	2	1
345	что этому	1	1
346	как единство	1	1
347	и вот	4	1
348	от нее	1	1
349	зрения как	1	1
350	не знают	2	1
351	конечно ни	1	1
352	в структуру	1	1
353	таком понимании	1	1
354	в свою	4	1
355	нам удалось	1	1
356	только и	3	1
357	только как	3	1
358	случае мы	1	1
359	того чтобы	25	1
360	не должен	1	1
361	par excellence	1	1
362	здесь слово	1	1
363	то какие	1	1
364	и их	2	1
365	особенно важное	1	1
366	еще более	1	1
367	не должно	2	1
368	и иных	1	1
369	ту же	6	1
370	на основе	2	1
371	в другом	2	1
372	а из	1	1
373	такой степени	1	1
374	должна осуществляться	1	1
375	несмотря на	6	1
376	но эти	1	1
377	они сплошь	1	1
378	это только	5	1
379	вопросу о	4	1
380	что собственно	1	1
381	это часто	1	1
382	признать что	1	1
383	в теории	1	1
384	на протяжении	1	1
385	обстоит дело	1	1
386	степени зависит	1	1
387	во многих	3	1
388	слушателю как	1	1
389	для всего	1	1
390	суждения и	1	1
391	что это	11	1
392	в противном	2	1
393	хотя и	7	1
394	речи так	1	1
395	и тогда	4	1
396	так называемые	5	1
397	понятна и	1	1
398	этом отношении	8	1
399	это уже	1	1
400	явления в	1	1
401	структура языка	1	1
402	о чем	2	1
403	мы должны	2	1
404	или метафоры	1	1
405	точно и	1	1
406	в ее	2	1
407	это по	2	1
408	и тем	7	1
409	мимо цели	1	1
410	она стала	2	1
411	кажется что	1	1
412	сам по	1	1
413	то слово	1	1
414	какой бы	1	1
415	такое понимание	1	1
416	бы только	1	1
417	в частности	6	1
418	говорит о	1	1
419	с чрезвычайно	1	1
420	социального целого	2	1
421	и больше	1	1
422	не как	2	1
423	аналогии с	3	1
424	литературе и	2	1
425	другой только	1	1
426	со всей	1	1
427	увидим что	2	1
428	и вся	1	1
429	эта сторона	1	1
430	в слово	1	1
431	за ее	1	1
432	должны быть	4	1
433	в качестве	12	1
434	и некоторые	1	1
435	или иных	1	1
436	второе и	1	1
437	и грамматических	1	1
438	не хочет	2	1
439	то мы	4	1
440	в науке	4	1
441	всего тем	1	1
442	этим словом	1	1
443	далее мы	1	1
444	в одном	4	1
445	в области	15	1
446	одно из	3	1
447	у нас	19	1
448	теряет свою	2	1
449	можно было	14	1
450	и делает	1	1
451	однако он	2	1
452	же не	1	1
453	в результате	8	1
454	к делу	1	1
455	и это	3	1
456	находят свое	1	1
457	ни были	3	1
458	сводится к	3	1
459	нечего делать	1	1
460	для них	2	1
461	более и	1	1
462	по мере	3	1
463	этом смысле	8	1
464	том и	3	1
465	далеко не	2	1
466	только то	2	1
467	слова не	2	1
468	в современной	3	1
469	уже и	3	1
470	и свободно	1	1
471	историка литературы	1	1
472	у него	3	1
473	так не	1	1
474	не на	4	1
475	в истории	3	1
476	не могут	5	1
477	все равно	4	1
478	лингвистической политики	1	1
479	что например	1	1
480	находят себе	1	1
481	по мнению	1	1
482	и общая	1	1
483	же время	4	1
484	и единство	1	1
485	говорить и	2	1
486	в виде	1	1
487	чего же	1	1
488	свое значение	1	1
489	из одного	3	1
490	она становится	1	1
491	совершенно ясно	2	1
492	и общества	1	1
493	отметить что	1	1
494	у нее	1	1
495	гораздо чаще	1	1
496	еще один	3	1
497	является социальным	1	1
498	непосредственно к	1	1
499	в большинстве	3	1
500	стиля его	1	1
501	свою очередь	4	1
502	в конечном	3	1
503	в какое-то	1	1
504	так мы	2	1
505	это один	1	1
506	не было	6	1
507	когда мы	3	1
508	идет речь	3	1
509	как например	3	1
510	связи с	8	1
511	связанных с	2	1
512	сами по	2	1
513	более или	3	1
514	связь слова	1	1
515	материал для	1	1
516	все то	1	1
517	создает в	1	1
518	рассматривать как	1	1
519	и остается	1	1
520	здесь мы	2	1
521	зрения вполне	1	1
522	того кто	1	1
523	было бы	28	1
524	этого основного	1	1
525	это же	1	1
526	не знает	4	1
527	образом не	1	1
