N	2gram	Voloshinov	UchenyiS
1	и в	12	14
2	формальный метод	1	11
3	не только	4	10
4	а не	5	10
5	и не	10	8
6	прежде всего	8	8
7	то что	5	7
8	в этом	4	7
9	не может	16	7
10	может быть	14	6
11	в искусстве	1	6
12	перестает быть	2	5
13	хотя бы	5	5
14	то же	5	5
15	художественного творчества	3	5
16	в художественном	3	5
17	и только	1	5
18	все это	3	5
19	художественное произведение	3	5
20	в конечном	1	4
21	с другой	4	4
22	конечном счете	1	4
23	конечно не	3	4
24	но и	3	4
25	бы то	3	3
26	было бы	1	3
27	и то	2	3
28	только к	1	3
29	истории литературы	2	3
30	для этого	1	3
31	это не	2	3
32	как и	5	3
33	то ни	3	3
34	для него	3	3
35	формы в	1	3
36	в своей	3	3
37	все же	4	3
38	ни было	4	3
39	в области	1	3
40	в частности	1	3
41	в то	2	3
42	не как	1	3
43	у нас	1	3
44	другой стороны	2	3
45	но в	5	3
46	же время	1	3
47	литературы и	4	2
48	все они	2	2
49	художественной формы	5	2
50	таким образом	12	2
51	в самом	4	2
52	выдвигает на	1	2
53	же не	1	2
54	материал для	1	2
55	в противном	1	2
56	его и	1	2
57	если бы	9	2
58	самом деле	3	2
59	могут быть	2	2
60	является в	1	2
61	не в	4	2
62	и с	3	2
63	до сих	3	2
64	же самое	2	2
65	крайней мере	1	2
66	но не	2	2
67	форму и	2	2
68	в себе	3	2
69	в его	2	2
70	искусства как	1	2
71	даже и	1	2
72	приходится признать	1	2
73	должна быть	5	2
74	мы не	3	2
75	ничего не	2	2
76	материала и	4	2
77	словесного творчества	1	2
78	между тем	3	2
79	что она	1	2
80	не есть	2	2
81	художественного произведения	7	2
82	на эту	1	2
83	при таком	1	2
84	этом отношении	1	2
85	противном случае	1	2
86	о чем	1	2
87	художественном произведении	3	2
88	в некоторых	3	2
89	тех или	1	2
90	не могут	1	2
91	что мы	5	2
92	сводится к	1	2
93	в том	6	2
94	это уже	1	2
95	том что	5	2
96	или иных	1	2
97	но это	2	2
98	этом смысле	1	2
99	и для	3	2
100	и является	4	2
101	что и	2	2
102	установку на	1	2
103	а между	1	2
104	с его	2	2
105	сих пор	3	2
106	по крайней	1	2
107	только в	6	2
108	формы и	3	2
109	по себе	3	2
110	что все	1	2
111	теоретической поэтики	3	2
112	но конечно	2	2
113	еще один	1	1
114	литературы в	1	1
115	признать что	1	1
116	все в	1	1
117	что в	2	1
118	художественного восприятия	1	1
119	не было	1	1
120	остается в	1	1
121	бы только	1	1
122	связанных с	1	1
123	именно такой	1	1
124	более или	1	1
125	и потому	2	1
126	поэтикой и	1	1
127	оценка его	1	1
128	или просто	1	1
129	такое понимание	1	1
130	имеем в	2	1
131	можно сказать	5	1
132	науки об	1	1
133	восприятия и	1	1
134	мы можем	2	1
135	в данном	2	1
136	художественное творчество	1	1
137	еще раз	2	1
138	как на	2	1
139	равно как	1	1
140	в словесном	2	1
141	его форма	1	1
142	и все	2	1
143	иных приемов	1	1
144	все элементы	1	1
145	же как	1	1
146	сказать что	7	1
147	и эта	1	1
148	в процессе	6	1
149	которой принадлежит	1	1
150	она должна	1	1
151	данном случае	2	1
152	речи в	2	1
153	он будет	1	1
154	его как	2	1
155	него не	1	1
156	но для	3	1
157	то есть	1	1
158	знак равенства	1	1
159	с успехом	1	1
160	нем но	1	1
161	теоретическая и	1	1
162	понимании форма	1	1
163	и др	5	1
164	в таком	1	1
165	но прежде	1	1
166	и интересно	1	1
167	оно по	1	1
168	она не	2	1
169	в произведении	1	1
170	до конца	2	1
171	является только	1	1
172	она в	1	1
173	художественным произведением	1	1
174	таком понимании	1	1
175	относятся к	1	1
176	в своем	2	1
177	тогда когда	2	1
178	в значительной	1	1
179	входит в	1	1
180	только как	1	1
181	моментом но	1	1
