N	3gram	Tiupa_Lite	RusskieA
1	в том что	15	49
2	состоит в том	8	29
3	в этот день	1	23
4	тем не менее	4	14
5	в этом случае	2	12
6	о том что	3	10
7	том что в	1	9
8	в том чтобы	1	9
9	для того чтобы	1	8
10	в данном случае	6	8
11	подобно тому как	4	8
12	мы не можем	1	7
13	не может быть	5	6
14	во многих случаях	1	6
15	по этому поводу	1	6
16	в это время	1	6
17	как мы видели	1	6
18	после того как	1	6
19	в связи с	4	5
20	к тому что	1	5
21	в отличие от	6	4
22	не только на	1	4
23	можно было бы	2	4
24	во всяком случае	2	4
25	тех пор пока	2	3
26	по отношению к	4	3
27	до сих пор	1	3
28	в свою очередь	2	3
29	на то что	1	3
30	с точки зрения	4	3
31	до тех пор	2	3
32	может быть назван	1	2
33	том что этот	1	2
34	в большинстве случаев	1	2
35	и т п	2	2
36	в е годы	3	2
37	ничего общего с	2	2
38	одно из них	1	2
39	в россии в	1	2
40	но все же	1	2
41	с другой стороны	5	2
42	в этой связи	1	2
43	для этой цели	1	2
44	пока еще не	1	2
45	во многих отношениях	1	2
46	в евгении онегине	1	2
47	к себе в	1	2
48	ту или иную	2	2
49	в этом и	1	2
50	на самом деле	1	2
51	иметь в виду	1	2
52	это еще не	1	2
53	в равной степени	2	2
54	не только в	4	2
55	во всех этих	1	2
56	и в этом	1	2
57	с одной стороны	8	2
58	в этом отношении	5	2
59	имеет ничего общего	1	1
60	в том же	3	1
61	это приводит к	1	1
62	был уверен что	1	1
63	дело не только	2	1
64	и наконец в	1	1
65	в xix веке	1	1
66	в первый раз	2	1
67	в году когда	1	1
68	далеко не всегда	1	1
69	только потому что	1	1
70	все то что	1	1
71	одного и того	1	1
72	эти и подобные	2	1
73	все же в	2	1
74	как например в	1	1
75	на всю жизнь	1	1
76	раз и является	1	1
77	но может быть	1	1
78	между тем как	1	1
79	по аналогии с	3	1
80	в один из	1	1
81	к тому же	1	1
82	не имеет ничего	1	1
83	с обратным знаком	1	1
84	и того же	1	1
85	одна из форм	1	1
86	в другом месте	1	1
87	в значительной степени	1	1
88	в нашей стране	1	1
89	быть не может	1	1
90	во второй половине	1	1
91	в одном из	1	1
92	в своего рода	1	1
93	тем что в	2	1
94	еще и в	1	1
95	как мы знаем	1	1
96	от земли и	1	1
97	по существу он	1	1
98	случае идет не	1	1
99	в целом ряде	2	1
100	как один из	1	1
101	только в том	2	1
102	в конце xix	1	1
103	при этом не	1	1
104	пор пока не	1	1
105	тем более что	1	1
106	в жизни человека	1	1
107	из того что	2	1
108	и что ему	1	1
109	хотя бы на	1	1
110	как это ни	1	1
111	дело в том	2	1
112	приводит к тому	1	1
113	является по преимуществу	1	1
114	уже не раз	1	1
115	у него нет	1	1
116	так что уже	1	1
117	на первый взгляд	1	1
118	здесь все же	1	1
119	а так как	1	1
120	тогда как в	1	1
121	и подобные им	2	1
122	по существу в	1	1
123	и не только	1	1
124	это прежде всего	1	1
125	в основе своей	1	1
