N	2gram	Propp_Isto	Myslijsy
1	потому что	18	182
2	и в	44	121
3	может быть	31	107
4	в том	13	103
5	то что	16	83
6	для нас	6	75
7	что в	18	73
8	и не	19	73
9	только в	8	72
10	не только	17	67
11	а не	5	67
12	таким образом	21	64
13	в языке	1	60
14	в этом	20	59
15	но и	16	59
16	том что	12	59
17	так как	19	59
18	то же	9	56
19	не в	11	54
20	если бы	5	53
21	в себе	1	53
22	по себе	2	52
23	не может	10	52
24	того что	3	47
25	в сознании	1	46
26	было бы	2	45
27	в нем	10	45
28	не есть	1	42
29	как и	12	42
30	так что	2	39
31	вместе с	26	39
32	что и	11	38
33	мы не	6	38
34	при этом	4	37
35	как в	11	37
36	так и	9	37
37	тогда когда	3	36
38	что мы	4	36
39	точно так	3	35
40	тем что	12	33
41	и что	13	32
42	по отношению	2	30
43	а в	9	30
44	что не	3	29
45	между тем	1	29
46	но не	8	29
47	вовсе не	6	28
48	мы можем	6	28
49	для него	2	28
50	есть только	1	28
51	с этим	7	27
52	могут быть	9	27
53	не было	2	26
54	независимо от	1	26
55	и т	39	26
56	то и	1	26
57	отношению к	2	26
58	этого слова	1	25
59	в то	5	24
60	с тем	9	23
61	как бы	4	23
62	того как	8	23
63	от того	1	23
64	по мере	4	22
65	то это	8	22
66	с другой	11	22
67	не имеет	4	22
68	только тогда	4	22
69	но в	7	22
70	и потому	2	21
71	не менее	6	21
72	в одном	2	20
73	это не	8	20
74	в ней	8	20
75	и как	5	19
76	но это	10	19
77	сказать что	2	19
78	с ним	9	19
79	того же	3	19
80	тем не	6	19
81	что это	8	19
82	и то	5	19
83	из этих	5	19
84	о том	11	19
85	есть уже	2	19
86	тем самым	2	19
87	есть не	2	19
88	в самом	1	18
89	в таком	2	18
90	там же	2	18
91	для того	3	18
92	не могут	2	18
93	очевидно что	3	18
94	в каком	1	18
95	тогда как	1	18
96	еще не	16	18
97	точки зрения	3	17
98	со стороны	6	17
99	заметить что	1	17
100	что оно	4	17
101	уже в	4	17
102	в его	16	17
103	во всяком	1	17
104	слова в	1	17
105	только что	3	16
106	и на	11	16
107	к тому	1	16
108	так же	14	16
109	в своем	3	16
110	в которой	4	16
111	а только	1	16
112	в них	3	16
113	или же	6	16
114	что если	1	16
115	и наоборот	1	16
116	каждый раз	1	16
117	на то	3	16
118	в этих	7	15
119	уже не	14	15
120	только как	1	15
121	с одной	7	15
122	с другими	4	15
123	и тем	7	15
124	и по	3	15
125	что он	29	15
126	в свою	3	15
127	т д	36	15
128	прежде всего	7	15
129	думать что	2	15
130	тому как	2	15
131	все же	17	14
132	в одно	2	14
133	в котором	2	14
134	свою очередь	1	14
135	то в	2	14
136	связи с	10	14
137	во всех	3	14
138	бы ни	1	14
139	там где	11	14
140	мере того	3	14
141	должны быть	2	14
142	сам по	1	14
143	в истории	7	14
144	же время	1	14
145	мы должны	7	14
146	само по	1	14
147	те же	1	13
148	например в	11	13
149	языка в	1	13
150	как на	3	13
151	из них	4	13
152	что все	4	13
153	и все	4	13
154	том смысле	2	13
155	зависит от	4	13
156	смысле этого	1	13
157	образом в	3	13
158	и может	2	13
159	и его	15	13
160	от него	2	12
161	одно из	3	12
162	другой стороны	10	12
163	до сих	7	12
164	мысли о	1	12
165	не то	1	12
166	никогда не	5	12
167	и при	3	12
168	хотя и	1	12
169	быть только	1	12
170	и вместе	3	12
171	под влиянием	2	12
172	сих пор	7	12
173	оно не	1	12
174	все остальные	1	12
175	всяком случае	1	12
176	что же	1	12
177	себе представить	1	12
178	относится к	3	12
179	друг друга	5	12
180	только потому	1	12
181	что такое	1	12
182	все это	4	12
183	есть в	2	12
184	тем более	1	12
185	человека и	2	12
186	как мы	9	12
187	что на	1	12
188	все что	5	11
189	и если	1	11
190	что человек	1	11
191	только для	1	11
192	из себя	4	11
193	только на	2	11
194	и это	5	11
195	к нему	5	11
196	в состоянии	1	11
197	его в	17	11
198	подобно тому	2	11
199	в силу	7	11
200	мы видели	9	11
201	того чтобы	3	11
