N	4gram	Bakhtin_Pr	EvropaiC
1	заключается в том что	1	3
2	совершенно так же как	2	3
3	бы то ни было	2	3
4	одного и того же	1	3
5	в то же время	10	2
6	в целом ряде других	2	1
7	деле это не так	1	1
8	именно в том что	2	1
9	с этой точки зрения	1	1
10	что в данном случае	1	1
11	в то время как	2	1
12	только с точки зрения	1	1
13	в том что так	1	1
14	но для того чтобы	1	1
15	и в том и	1	1
16	до сих пор еще	1	1
17	в том и другом	2	1
18	в том что он	4	1
19	не в том что	1	1
20	но с другой стороны	2	1
21	дело в том что	1	1
22	и в целом ряде	2	1
23	и не может быть	1	1
24	а в том что	1	1
25	о том что все	2	1
26	в теснейшей связи с	1	1
27	в том числе и	1	1
28	нет и не может	1	1
29	одной и той же	1	1
