N	4gram	Kanaev_Sov	FransuaR
1	в то же время	1	55
2	дело в том что	1	13
3	и в то же	1	12
4	и до сих пор	1	6
5	не подлежит никакому сомнению	1	5
6	с одной стороны и	1	5
7	одной и той же	1	4
8	один и тот же	1	4
9	подлежит никакому сомнению что	1	4
10	не что иное как	1	3
11	есть не что иное	1	3
12	одна и та же	1	2
13	мы уже знаем что	1	2
14	все более и более	1	2
15	бы то ни было	1	2
16	совершенно так же как	1	2
17	мы видели что это	1	2
18	не может быть и	1	2
19	может быть и речи	1	2
20	и в настоящее время	1	2
21	какой бы то ни	1	2
22	всяком случае не подлежит	1	1
23	и в новое время	1	1
24	во всяком случае не	1	1
25	не может быть таким	1	1
26	по самому своему существу	1	1
27	то же самое что	1	1
28	до сих пор в	1	1
29	еще раз подчеркнуть что	1	1
30	должны еще раз подчеркнуть	1	1
31	мы должны еще раз	1	1
32	ведь это то же	1	1
33	в течение нескольких дней	1	1
34	необходимо сказать несколько слов	1	1
35	это то же самое	1	1
36	но мы уже знаем	1	1
37	свобода по отношению к	1	1
