N	3gram	Propp_Isto	UchenyiS
1	не может быть	8	4
2	то ни было	2	3
3	с другой стороны	7	3
4	бы то ни	2	3
5	в том что	6	2
6	в противном случае	1	2
7	не могут быть	1	2
8	до сих пор	11	2
9	тех или иных	1	2
10	то же самое	3	2
11	в этом отношении	1	2
12	в этом смысле	1	2
13	еще ничего не	1	2
14	быть не может	1	1
15	друг с другом	3	1
16	сам по себе	1	1
17	свойственна не только	1	1
18	и в конце	1	1
19	так или иначе	1	1
20	по существу то	1	1
21	же самое что	2	1
22	другой стороны в	1	1
23	на первый взгляд	2	1
24	но в то	1	1
25	для всех этих	1	1
26	никогда не может	1	1
27	он прежде всего	1	1
28	с тем что	3	1
29	большей или меньшей	2	1
30	а как живой	1	1
31	с одной стороны	7	1
32	но не могут	1	1
33	и только этот	1	1
34	равно как и	1	1
35	часто бывает что	1	1
36	они до сих	1	1
37	оно все же	1	1
38	этого сложного и	1	1
39	не в том	1	1
40	и не только	1	1
41	а не только	1	1
42	только в этом	1	1
43	кого бы то	1	1
44	на то что	5	1
45	не только в	5	1
46	и прежде всего	1	1
47	более или менее	5	1
48	но это не	1	1
49	само по себе	2	1
50	мы имеем в	4	1
51	все же остается	1	1
52	в отдельности и	1	1
53	в этом случае	3	1
54	то что еще	1	1
55	в сторону от	1	1
56	том что она	1	1
57	о нем но	1	1
58	в большей или	1	1
59	все же не	2	1
60	это было бы	1	1
