N	2gram	Vinokur_Vv	Morfolog
1	и т	45	62
2	может быть	30	61
3	т д	39	60
4	таким образом	21	26
5	т е	40	25
6	могут быть	6	21
7	так как	15	20
8	мы имеем	4	19
9	не может	19	19
10	в этом	35	18
11	в этих	3	17
12	представляет собой	14	17
13	и в	35	17
14	представляют собой	9	16
15	и не	13	16
16	мы видим	1	15
17	этих случаях	2	15
18	с этим	3	14
19	прежде всего	10	14
20	по существу	2	13
21	при помощи	3	12
22	связи с	3	12
23	и др	2	12
24	а не	5	11
25	заметить что	1	11
26	чаще всего	2	11
27	что в	13	10
28	то же	11	10
29	а затем	2	10
30	вопрос о	10	10
31	не всегда	1	10
32	но если	6	10
33	этом случае	6	10
34	в том	38	10
35	так и	2	10
36	что и	5	10
37	в связи	2	10
38	то что	19	10
39	все же	9	9
40	о животных	1	9
41	с другой	8	9
42	но и	7	9
43	не только	26	8
44	в результате	4	8
45	имеем в	1	8
46	мы не	2	8
47	в качестве	8	8
48	но не	9	8
49	в тех	2	8
50	а в	6	8
51	как мы	11	8
52	во втором	2	7
53	один из	6	7
54	и здесь	3	7
55	не могут	6	7
56	не менее	9	7
57	том что	30	7
58	потому что	18	7
59	по отношению	4	7
60	наряду с	3	7
61	точки зрения	12	7
62	г он	1	7
63	как это	5	7
64	тем не	9	7
65	и этим	1	7
66	образом мы	1	7
67	или же	3	7
68	а также	3	7
69	отношению к	4	7
70	и другие	2	6
71	подобно тому	2	6
72	о том	16	6
73	большей частью	1	6
74	как бы	7	6
75	но это	2	6
76	это не	8	6
77	с точки	4	6
78	или в	1	6
79	и как	9	6
80	вовсе не	6	6
81	во всех	2	6
82	если мы	1	6
83	также и	20	6
84	в форме	2	6
85	во время	1	6
86	из которых	3	5
87	другой стороны	5	5
88	в первом	5	5
89	по их	2	5
90	что он	5	5
91	как в	3	5
92	со стороны	16	5
93	то это	3	5
94	хотя бы	6	5
95	было бы	7	5
96	в точности	1	5
97	к тому	4	5
98	ничего не	2	5
99	что они	2	5
100	хотя и	5	5
101	то мы	1	5
102	тому что	2	5
103	учение о	2	5
104	ясно что	11	5
105	все эти	3	5
106	одна из	3	5
107	между собой	1	5
108	на его	1	5
109	об этом	6	5
110	мы можем	2	5
111	тому как	2	5
112	между тем	10	5
113	если же	2	5
114	далеко не	1	5
115	и затем	1	5
116	главным образом	1	5
117	в ходе	1	5
118	в целом	5	5
119	и ее	4	5
120	раньше чем	3	5
121	и к	3	4
122	смысле слова	7	4
123	д но	5	4
124	в некоторых	1	4
125	есть и	5	4
126	на этом	3	4
127	как и	7	4
128	самом деле	7	4
129	но все	4	4
130	ни одна	2	4
131	тем что	6	4
132	уже не	6	4
133	еще не	4	4
134	а если	2	4
135	тех же	1	4
136	входит в	3	4
137	того чтобы	22	4
138	быть названо	4	4
139	говорить о	5	4
140	так же	3	4
141	и наоборот	3	4
142	сказать что	6	4
143	на котором	2	4
144	и для	4	4
145	из них	4	4
146	но в	10	4
147	несмотря на	2	4
148	на самом	1	4
149	его в	6	4
150	что его	1	4
151	с теми	2	4
152	случае не	2	4
153	встречается в	1	4
154	подобных случаях	1	4
155	к этому	3	4
156	в то	6	4
157	мы уже	2	4
158	в руки	6	4
159	как таковые	1	4
160	можно было	8	4
161	этот вопрос	7	4
162	от того	3	4
163	значит что	1	4
164	независимо от	5	4
165	их по	1	4
166	утверждать что	1	3
