N	4gram	Losev_Dial	Morfolog
1	в связи с этим	2	4
2	и т д но	2	4
3	в то время как	2	3
4	это не значит что	3	2
5	и т д в	1	2
6	и тем не менее	1	2
7	и т д они	1	2
8	не что иное как	4	2
9	говорить о том что	1	2
10	это дает нам возможность	1	1
11	а на самом деле	1	1
12	можно было бы показать	1	1
13	то же можно сказать	1	1
14	и не стремится к	1	1
15	и т д и	3	1
16	то это значит что	2	1
17	в коем случае не	1	1
18	в том что он	1	1
19	одно и то же	8	1
20	д с другой стороны	1	1
21	не имеет ничего общего	3	1
22	что там где есть	1	1
23	все более и более	1	1
24	которые не могут быть	1	1
25	сомневаться в том что	1	1
26	в то же время	7	1
27	и т д с	1	1
28	т д с другой	1	1
29	до сих пор не	1	1
30	можно сомневаться в том	1	1
31	приводит к тому что	1	1
32	и т д все	2	1
33	ни в коем случае	1	1
34	же можно сказать о	1	1
35	есть не что иное	3	1
