N	3gram	Ircho_Kome	Marksizm
1	по отношению к	5	15
2	то же время	5	15
3	в то же	5	15
4	в том что	13	14
5	в связи с	3	14
6	то ни было	4	12
7	в высшей степени	1	12
8	бы то ни	4	12
9	для того чтобы	3	11
10	до сих пор	3	11
11	в отличие от	3	10
12	с самого начала	2	10
13	в большинстве случаев	2	9
14	в отношении к	1	8
15	то же самое	2	8
16	смысле этого слова	1	7
17	с другой стороны	6	7
18	как мы знаем	1	7
19	как мы уже	1	6
20	на то что	2	6
21	во всяком случае	4	6
22	с одной стороны	5	6
23	к тому что	3	5
24	той или иной	1	5
25	как мы видели	1	5
26	в этом отношении	3	5
27	мы уже знаем	1	4
28	в первом случае	1	4
29	в зависимости от	1	4
30	и прежде всего	1	4
31	но все же	1	4
32	о том что	6	4
33	и здесь мы	1	4
34	том что он	4	4
35	и тот же	1	3
36	не только в	1	3
37	в применении к	1	3
38	тем не менее	2	3
39	в том числе	4	3
40	более или менее	1	3
41	но при этом	1	3
42	в конце концов	4	3
43	том числе и	1	3
44	в значительной степени	1	3
45	или хотя бы	1	3
46	но и в	2	3
47	на первый план	1	3
48	связи с этим	1	3
49	в нашу задачу	1	3
50	можно было бы	3	3
51	в пределах одного	1	3
52	сводится к тому	1	3
53	что он не	2	2
54	в этом смысле	2	2
55	именно здесь в	1	2
56	во всех других	1	2
57	далеко за пределы	1	2
58	мы не найдем	1	2
59	в коем случае	1	2
60	друг от друга	2	2
61	как раз эта	1	2
62	или может быть	2	2
63	их точки зрения	2	2
64	так или иначе	4	2
65	так и в	1	2
66	обстоит дело с	1	2
67	мы встречаем в	1	2
68	а между тем	1	2
69	само по себе	1	2
70	в каждом высказывании	1	2
71	в данном случае	1	2
72	к тому же	12	2
73	из всего этого	2	2
74	и в том	1	2
75	со всех сторон	1	2
76	того или иного	1	2
77	чуть ли не	2	2
78	как и в	2	2
79	в чем же	1	2
80	независимо от того	3	2
81	таким образом в	2	2
82	до тех пор	1	2
83	и та же	1	2
84	в достаточной степени	1	2
85	ни в коем	1	2
86	так же как	1	2
87	хотя бы в	1	2
88	в соединении с	1	2
89	же как и	1	2
90	одна и та	1	2
91	и в самом	1	2
92	за исключением одного	1	1
93	о том где	1	1
94	благодаря тому что	1	1
95	на этом фоне	1	1
96	как и во	1	1
97	а может быть	1	1
98	в политической жизни	1	1
99	соответствии с этим	1	1
100	имеет в виду	1	1
101	и столь же	2	1
102	выходит далеко за	1	1
103	том каким образом	1	1
104	и даже не	1	1
105	мы не находим	1	1
106	в нем не	1	1
107	друга во времени	1	1
108	то что он	2	1
109	одной из этих	1	1
110	по сравнению с	1	1
111	то что не	1	1
112	имеется в виду	1	1
113	ни в один	1	1
114	о которых мы	1	1
115	первое место среди	1	1
116	до наших дней	1	1
117	говоря уже о	4	1
118	с этой точки	1	1
119	в том же	1	1
120	несмотря на всю	3	1
121	в страну где	1	1
122	у нее не	1	1
123	почти до самого	1	1
124	сам по себе	1	1
125	не имеет значения	1	1
126	нечто такое что	1	1
127	там и здесь	1	1
128	все перемены в	1	1
129	по аналогии с	1	1
130	и всех остальных	1	1
131	следует что в	1	1
132	задачу не входит	1	1
133	может отказаться от	1	1
134	в соответствии с	2	1
135	в его произведениях	1	1
136	приходится говорить о	1	1
137	с их точки	2	1
138	в наше время	1	1
139	к одной из	1	1
140	это вовсе не	1	1
141	но ни в	1	1
142	в одном случае	1	1
143	в первую очередь	5	1
144	что он был	1	1
145	внешней и внутренней	3	1
146	в тех случаях	1	1
147	само собой разумеется	1	1
148	сих пор не	1	1
149	но прежде всего	1	1
150	но он не	1	1
151	большей или меньшей	1	1
152	вместе с тем	4	1
153	не в его	1	1
154	и во всяком	1	1
155	по которым можно	1	1
156	в какой мере	1	1
157	а вместе с	1	1
158	что иное как	1	1
159	и вот в	1	1
160	в этом же	2	1
161	дополняющих друг друга	1	1
162	в одной из	1	1
163	здесь мы не	1	1
164	под определенным углом	1	1
165	о том каким	1	1
166	и вовсе не	1	1
167	же время он	1	1
168	этой точки зрения	1	1
169	что же касается	1	1
170	в целом ряде	1	1
171	то что в	1	1
172	может быть в	1	1
173	к выводу что	1	1
174	не всегда можно	1	1
175	том же году	1	1
176	определенным углом зрения	1	1
177	в то время	8	1
178	один за другим	1	1
179	философии и в	1	1
180	нашу задачу не	1	1
181	теорию познания и	1	1
182	во времени и	1	1
183	не говоря уже	4	1
184	в обоих случаях	3	1
185	во всех случаях	1	1
186	но и все	1	1
187	но уже в	1	1
188	не что иное	1	1
189	в отрыве от	1	1
190	подобно тому как	1	1
191	и не менее	1	1
192	и не без	1	1
193	в году он	1	1
194	все его герои	1	1
195	и все остальные	1	1
196	или совсем не	1	1
197	тех случаях когда	1	1
198	чтобы убедиться в	1	1
199	в новое время	2	1
200	в этой же	2	1
201	одна из них	2	1
202	в той же	2	1
203	до конца и	1	1
204	времени мы можем	1	1
205	к этому же	1	1
206	после того как	3	1
207	в другом случае	1	1
208	но там оно	1	1
209	и вот на	1	1
