N	3gram	Bakhtin_Fr	Tragedij
1	то же время	5	5
2	в то же	5	5
3	так и в	3	3
4	в том что	6	2
5	и в частности	2	2
6	но в то	2	2
7	в году в	2	2
8	бросается в глаза	1	2
9	о том что	3	2
10	но все же	3	2
11	в отличие от	4	2
12	в жизнь и	1	1
13	в какой-то мере	1	1
14	эти образы и	1	1
15	к своей любовнице	1	1
16	что при таком	1	1
17	он и в	1	1
18	как своего рода	1	1
19	том что он	1	1
20	в одном из	1	1
21	одно из самых	1	1
22	имеет в виду	1	1
23	все эти образы	1	1
24	а между тем	1	1
25	на деле же	1	1
26	совершенно в духе	1	1
27	в конце концов	1	1
28	это как бы	2	1
29	по-видимому не было	1	1
30	но несмотря на	3	1
31	в применении к	3	1
32	не может быть	5	1
33	в году и	1	1
34	по нашему мнению	1	1
35	xii и xiii	1	1
36	но при этом	1	1
37	в этом случае	1	1
38	по сравнению с	2	1
39	в чем же	1	1
40	один из популярнейших	1	1
41	в xx веке	1	1
42	не только не	1	1
43	он перестает быть	1	1
44	но и на	2	1
45	в xix веке	2	1
46	сохраняет свое значение	1	1
47	которые так часто	1	1
48	не могут быть	2	1
49	как и в	1	1
50	в связи с	1	1
51	в самом деле	1	1
52	во всяком случае	2	1
53	это не просто	1	1
54	в этой борьбе	1	1
55	в дальнейшем этот	1	1
56	необходимо подчеркнуть что	1	1
57	от всего что	1	1
58	в своей книге	3	1
59	в известной мере	6	1
60	средство для достижения	1	1
61	прежде всего необходимо	2	1
62	и не может	2	1
