N	2gram	Trubetskoy	ViktorSh
1	конце концов	4	2
2	в конце	4	2
3	и в	24	2
4	в том	31	2
5	том что	20	2
6	в другом	2	1
7	одно и	1	1
8	столь же	5	1
9	том же	4	1
10	по существу	7	1
11	главным образом	1	1
12	в самом	8	1
13	как же	1	1
14	чем больше	4	1
15	и т.д	4	1
16	говорили в	1	1
17	а только	1	1
18	то я	1	1
19	именно в	5	1
20	этому и	1	1
21	все то	2	1
22	самом деле	12	1
23	другом месте	1	1
24	ясно что	8	1
25	с большой	1	1
26	говоря о	1	1
27	в частности	2	1
28	же все	1	1
29	и то	4	1
30	так в	1	1
31	крайней мере	1	1
32	и мало	1	1
33	и заключается	1	1
34	этом и	1	1
35	техники и	1	1
36	стоит на	1	1
37	время в	1	1
38	положений которые	1	1
39	и его	2	1
40	сводится к	2	1
41	на одном	2	1
42	хотя бы	4	1
43	зависят от	1	1
44	далеко не	5	1
45	тем более	3	1
46	по крайней	1	1
47	в которых	2	1
48	к этому	5	1
49	которые они	1	1
50	только в	6	1
51	не играет	2	1
52	потому что	9	1
53	в значительной	1	1
54	в их	4	1
55	все дело	2	1
56	и только	2	1
57	то же	4	1
58	и не	9	1
59	гораздо более	2	1
60	я не	2	1
61	дело в	1	1
62	да и	1	1
63	в этом	13	1
64	так как	7	1
65	все это	13	1
66	значит и	1	1
67	совершенно ясно	2	1
