N	4gram	Voloshinov	Sovremen
1	ни в один реальный	1	1
2	с точки зрения своего	2	1
3	но они не могут	1	1
4	может быть и речи	4	1
5	но тем не менее	1	1
6	то же самое что	1	1
7	все более и более	2	1
8	какой бы то ни	3	1
9	дело в том что	1	1
10	бы то ни было	11	1
11	в один реальный момент	1	1
12	одной и той же	2	1
13	и не было бы	1	1
14	с одной стороны и	1	1
15	не что иное как	1	1
16	не может быть и	4	1
17	в то же время	7	1
18	одна и та же	1	1
19	одни и те же	5	1
20	один и тот же	3	1
21	а может быть и	1	1
