N	3gram	Propp_Isto	Poddanst
1	в том что	7	4
2	не только в	9	4
3	сами по себе	1	3
4	в сравнении с	1	3
5	с точки зрения	1	3
6	с одной стороны	11	3
7	но и в	4	2
8	в северной америке	3	2
9	одной стороны и	1	2
10	мы все же	1	1
11	и т д	25	1
12	там где он	1	1
13	друг с другом	1	1
14	в борьбе с	1	1
15	совершенно ясно что	1	1
16	в различных формах	1	1
17	вместе с тем	6	1
18	и весьма вероятно	1	1
19	в том мире	1	1
20	и тем самым	1	1
21	если бы мы	1	1
22	мы знаем что	1	1
23	не может быть	5	1
24	в этом мире	1	1
25	только в условиях	1	1
26	в большинстве случаев	1	1
27	том что в	2	1
28	и пр есть	1	1
29	что во всех	1	1
30	и то что	1	1
31	что это значит?	1	1
32	том что из	1	1
33	во всяком случае	3	1
34	для того чтобы	1	1
35	можно думать что	1	1
36	живых и мертвых	1	1
37	и тем более	1	1
38	с другой стороны	17	1
39	никогда не осуществляется	1	1
40	все это в	1	1
41	и не может	1	1
42	мы не будем	2	1
43	в жизни народа	1	1
44	более или менее	3	1
45	так же как	4	1
46	мы должны его	1	1
