N	3gram	Voloshinov	VelikijI
1	к тому что	2	3
2	то что мы	4	3
3	в том что	1	2
4	это еще не	1	2
5	но и в	3	2
6	уж конечно не	1	2
7	не будет уже	1	2
8	и в жизни	1	1
9	и в сознании	2	1
10	в конце концов	3	1
11	только себя только	1	1
12	вместе с тем	2	1
13	в общественной жизни	3	1
14	мы видим что	2	1
15	к людям к	1	1
16	и никогда не	1	1
17	по сравнению с	1	1
18	как и в	1	1
19	в будущем когда	1	1
20	по крайней мере	1	1
21	хотя бы и	1	1
22	в жизни и	1	1
23	как бы в	3	1
24	все это как	1	1
25	и не было	1	1
26	и в вопросе	1	1
27	но все же	3	1
28	с другой стороны	1	1
29	все что было	1	1
30	времени по крайней	1	1
31	и в этом	1	1
