N	4gram	Losev_Dial	Vvedenie
1	в то же время	3	6
2	не что иное как	6	5
3	с одной стороны и	1	3
4	в том отношении что	1	3
5	и тем не менее	2	3
6	но в то же	1	3
7	есть не что иное	3	3
8	с этой точки зрения	4	2
9	заключается в том что	1	2
10	по самой своей природе	1	2
11	одно и то же	2	2
12	и т д в	2	2
13	одной и той же	4	2
14	и т д все	1	2
15	можно сказать что в	1	1
16	и за ее пределами	1	1
17	т д словом все	1	1
18	и т д таким	1	1
19	если принять во внимание	1	1
20	сама по себе не	1	1
21	существует само по себе	1	1
22	и т д и	8	1
23	по крайней мере не	1	1
24	и именно в этом	1	1
25	что иное как именно	1	1
26	т д таким образом	1	1
27	и т д словом	1	1
28	до тех пор пока	1	1
29	в связи с этим	1	1
30	в том смысле что	1	1
31	и сам по себе	1	1
32	но дело не в	1	1
33	заключается вовсе не в	1	1
34	бы то ни было	1	1
35	и т д при	1	1
36	говоря уже о том	2	1
37	в таком случае все	1	1
38	мы имеем в виду	1	1
39	в том что обе	1	1
40	и в этом смысле	1	1
41	уже о том что	2	1
42	в том что в	1	1
43	вовсе не в том	2	1
44	в зависимости от характера	1	1
45	не говоря уже о	6	1
46	как на нечто целое	1	1
47	понимать в том смысле	1	1
48	на тему о том	1	1
