N	3gram	Losev_Prob	Analitik
1	в том что	7	25
2	не может быть	5	19
3	в то же	4	16
4	о том что	16	15
5	в данном случае	10	14
6	той или иной	5	14
7	к тому же	1	13
8	мы имеем дело	1	11
9	того или иного	6	9
10	с другой стороны	7	9
11	в том чтобы	1	9
12	по крайней мере	8	9
13	подобно тому как	2	9
14	с одной стороны	4	9
15	с точки зрения	3	8
16	как и в	1	8
17	не только в	3	8
18	в этом отношении	2	8
19	в таком случае	14	7
20	во всяком случае	11	7
21	что иное как	5	7
22	тем не менее	25	6
23	одного и того	2	6
24	так или иначе	7	6
25	и того же	2	6
26	не что иное	5	6
27	в той или	1	5
28	не только не	4	5
29	есть не что	5	5
30	но и в	3	5
31	том или ином	1	5
32	но и не	2	5
33	в этом случае	6	5
34	в самом начале	1	4
35	в нашем случае	1	4
36	до известной степени	1	4
37	в том или	1	4
38	здесь не только	2	4
39	в самом деле	4	4
40	для того чтобы	9	4
41	и представляет собой	1	4
42	тех или иных	2	4
43	и тем самым	4	4
44	и не может	1	4
45	и в этом	5	4
46	на себя внимание	1	4
47	в этом смысле	8	4
48	в известном смысле	1	4
49	сама по себе	6	4
50	в основе своей	1	4
51	и тот же	1	3
52	и как бы	2	3
53	и то что	9	3
54	и т п	1	3
55	хотя бы и	3	3
56	в том числе	2	3
57	крайней мере в	2	3
58	сам по себе	7	3
59	сами по себе	5	3
60	именно в этом	2	3
61	бы то ни	2	3
62	в зависимости от	1	3
63	между тем как	1	3
64	а в том	1	3
65	как нам кажется	1	3
66	а не в	1	3
67	в связи с	7	3
68	то же самое	9	3
69	как раз и	11	3
70	то есть в	6	3
71	дело не с	1	3
72	и в самом	2	3
73	можно сказать что	6	3
74	и той же	1	3
75	имеем дело не	1	3
76	дело в том	3	3
77	содержит в себе	7	3
78	одной и той	1	3
79	но о том	1	3
80	не могут быть	1	3
81	при встрече с	1	3
82	в результате чего	1	3
83	тот или иной	3	3
84	же самое время	4	2
85	в данном контексте	1	2
86	каждый из которых	1	2
87	но в таком	7	2
88	ничего не говорит	1	2
89	в этом втором	1	2
90	более или менее	7	2
91	в обратном порядке	1	2
92	в частности в	2	2
93	можно было бы	4	2
94	до сих пор	6	2
95	того что в	1	2
96	тому или иному	1	2
97	в каждом отдельном	1	2
98	а с другой	1	2
99	и то же	1	2
100	что не есть	2	2
101	к тому что	1	2
102	зачем же нам	1	2
103	а не только	2	2
104	в чистом виде	3	2
105	во многих отношениях	1	2
106	в этих случаях	3	2
107	в том и	1	2
108	мысль о том	2	2
109	что в конце	2	2
110	на то что	12	2
111	в противоречие с	1	2
112	обратим внимание на	1	2
113	в данный момент	1	2
114	заключается в том	2	2
115	в сравнении с	1	2
116	один и тот	1	2
117	именно такого рода	1	2
118	как и сам	1	2
119	не все что	1	2
120	в таких случаях	2	2
121	того и другого	1	2
122	и к тому	1	2
123	здесь мы имеем	1	2
124	а между тем	1	2
125	до тех пор	4	2
126	не говоря уже	6	2
127	в сущности говоря	1	2
128	одно и то	1	2
129	но в то	1	2
130	и в своей	3	2
131	при этом что	1	2
132	но отнюдь не	4	2
133	в себе не	3	2
134	не есть ни	8	2
135	на первый взгляд	2	2
136	не есть вещь	1	2
137	говоря уже о	5	2
138	что же касается	3	2
139	внутренней и внешней	1	2
140	если бы он	1	2
141	которой он не	1	1
142	но то что	1	1
143	может быть это	1	1
144	решение вопроса о	1	1
145	только с одним	1	1
146	в дальнейшем мы	1	1
147	не случайна и	1	1
148	должны были бы	2	1
149	как будто бы	4	1
150	что она не	1	1
151	как мы это	1	1
152	сколько бы мы	2	1
153	и в данном	2	1
154	но еще и	1	1
155	ни то ни	1	1
156	а не к	1	1
157	что по своему	1	1
158	о том как	2	1
159	никак не может	3	1
160	а тем самым	1	1
161	не только внутреннее	1	1
162	в себе все	2	1
163	только по причине	1	1
164	во всех этих	2	1
165	то что на	1	1
166	бы мы ни	2	1
167	не говорит о	1	1
168	уже содержит в	1	1
169	к числу таких	1	1
170	несмотря на то	1	1
171	то что не	2	1
172	то или иное	2	1
173	однако и здесь	2	1
174	есть не только	1	1
175	в ее внутренней	1	1
176	чем собственно говоря	1	1
177	не является ни	1	1
178	теории литературы и	2	1
179	или иной мере	1	1
180	в области гуманитарных	1	1
181	а то что	2	1
182	в настоящий момент	1	1
183	никогда не является	1	1
184	произведение то есть	1	1
185	то есть вне	1	1
186	в том же	1	1
187	ни к каким	1	1
188	ставит перед собой	1	1
189	одного из них	1	1
190	и во всех	1	1
191	было и не	1	1
192	все еще не	1	1
193	сказать и о	3	1
194	друг от друга	1	1
195	свидетельствует о том	3	1
196	вещь а не	1	1
197	не совпадает с	2	1
198	тот же самый	1	1
199	что в них	1	1
200	уже и не	1	1
