N	2gram	Nazirov_Vr	SlovoVZh
1	не может	2	16
2	может быть	4	14
3	точки зрения	2	14
4	как бы	4	13
5	и его	3	13
6	таким образом	2	12
7	и в	8	12
8	и не	5	10
9	прежде всего	1	8
10	для нас	4	7
11	в ней	4	6
12	с помощью	1	6
13	в том	3	6
14	в процессе	1	6
15	в нем	6	6
16	при этом	4	6
17	то же	5	5
18	в виду	4	5
19	то что	7	5
20	в жизни	1	5
21	как и	6	5
22	как в	1	5
23	отнюдь не	2	5
24	том что	3	5
25	но в	6	5
26	никогда не	2	5
27	в самом	1	4
28	к автору	2	4
29	в литературе	1	4
30	не только	9	4
31	от того	1	4
32	его в	3	4
33	с другой	1	4
34	отношение к	2	4
35	так и	1	4
36	уже не	2	4
37	жизни и	1	4
38	в этом	8	4
39	все же	6	4
40	к нему	1	4
41	как к	1	3
42	и с	6	3
43	ее и	1	3
44	до сих	1	3
45	это как	1	3
46	в котором	6	3
47	с героем	1	3
48	автору и	1	3
49	между тем	5	3
50	для него	2	3
51	отношении к	1	3
52	с ним	4	3
53	не должна	1	3
54	того что	1	3
55	быть и	1	3
56	и уже	3	3
57	тем не	1	3
58	все это	4	3
59	так же	4	3
60	в них	2	3
61	в каком	1	3
62	но для	1	3
63	в себе	2	3
64	ясно что	1	3
65	о том	4	3
66	в своей	2	3
67	не менее	2	3
68	из этого	1	3
69	да и	1	3
70	но и	7	3
71	и ее	2	3
72	и наконец	1	3
73	сих пор	1	3
74	и вообще	1	3
75	еще не	2	3
76	в особенности	1	2
77	что в	7	2
78	нет ничего	1	2
79	но это	2	2
80	и то	2	2
81	выражение в	1	2
82	в душе	1	2
83	в то	5	2
84	еще раз	1	2
85	в момент	2	2
86	в основном	1	2
87	совпадает с	1	2
88	уже в	4	2
89	в его	3	2
90	это не	4	2
91	с точки	2	2
92	но зато	1	2
93	от этой	1	2
94	одно и	1	2
95	из него	1	2
96	и что	8	2
97	в форме	1	2
98	конечно в	1	2
99	другой стороны	1	2
100	в этих	1	2
101	можно найти	1	2
102	тому же	1	2
103	как же	2	2
104	ко всем	1	2
105	на это	2	2
106	к ним	2	2
107	как на	1	2
108	и все	7	2
109	но не	1	2
110	не есть	1	2
111	могут быть	1	2
112	героев и	1	2
113	до конца	1	2
114	в своем	3	2
115	вместе с	2	2
116	место в	2	2
117	несравненно более	1	2
118	такой же	1	2
119	с его	3	2
120	к этому	3	2
121	он не	3	2
122	в условиях	1	2
123	независимо от	1	2
124	что слово	1	2
125	в чем	3	2
126	но мы	1	2
127	едва ли	1	2
128	ничего не	1	2
129	более того	1	2
130	все в	1	1
131	в русской	3	1
132	жизнь и	1	1
133	то в	1	1
134	во всяком	1	1
135	нам не	1	1
136	в стиле	1	1
137	это и	1	1
138	что они	1	1
139	его и	2	1
140	входя в	1	1
141	то он	1	1
142	во всех	1	1
143	вошли в	1	1
144	его оформления	1	1
145	а с	2	1
146	того в	1	1
147	и он	2	1
148	по преимуществу	1	1
149	было в	1	1
150	приближается к	1	1
151	которой он	1	1
152	ли он	1	1
153	и уж	1	1
154	но при	1	1
155	может идти	1	1
156	героя в	1	1
157	в свою	2	1
158	только как	1	1
159	что уже	1	1
160	он как	1	1
161	и их	1	1
162	еще более	1	1
163	на основе	2	1
164	несмотря на	4	1
165	вопросу о	1	1
166	во многих	1	1
167	что это	1	1
168	обычно не	1	1
169	хотя и	1	1
170	же самому	1	1
171	этом отношении	1	1
172	о чем	2	1
173	в ее	1	1
174	и т.п	2	1
175	такое понимание	1	1
176	в частности	1	1
177	говорит о	1	1
178	нашего времени	2	1
179	литературе и	1	1
180	совпадают с	1	1
181	два человека	1	1
182	в качестве	1	1
183	не хочет	1	1
184	было такой	1	1
185	в одном	1	1
186	а между	1	1
187	же не	2	1
188	и это	2	1
189	же он	1	1
190	только слова	1	1
191	этом смысле	1	1
192	выросла из	1	1
193	далеко не	3	1
194	у него	5	1
195	так не	1	1
196	в истории	4	1
197	все равно	1	1
198	по мнению	2	1
199	же время	5	1
200	при помощи	2	1
201	исповеди ставрогина	1	1
202	там же	2	1
203	в обоих	1	1
204	еще один	1	1
205	свою очередь	1	1
206	не было	5	1
207	связи с	3	1
208	ему но	1	1
209	с ее	1	1
210	было бы	1	1
211	это же	1	1
212	его героям	1	1
213	из двух	1	1
214	так называемую	1	1
215	себя на	1	1
216	и можно	1	1
217	равно как	1	1
218	только об	1	1
219	и о	3	1
220	что для	1	1
221	с первого	1	1
222	наряду с	3	1
223	и во	3	1
224	именно в	1	1
225	уже на	1	1
226	и всего	1	1
227	то время	1	1
228	в таком	1	1
229	что я	2	1
230	из подполья	3	1
231	в высшей	1	1
232	к которому	1	1
233	человек и	1	1
234	конечно гораздо	1	1
235	ее основного	1	1
236	социальную основу	1	1
237	как о	1	1
238	уж конечно	1	1
239	слово за	1	1
240	себе не	1	1
241	столь же	2	1
242	том же	2	1
243	же как	2	1
244	со своею	1	1
245	рядом с	2	1
246	они как	1	1
247	тем это	1	1
248	они не	1	1
249	материала это	1	1
250	каком направлении	1	1
251	в окно	1	1
252	автора к	1	1
253	по своей	1	1
254	пор мы	1	1
255	друг друга	1	1
256	в эти	2	1
257	к вопросу	1	1
258	не всегда	1	1
259	в целом	1	1
260	ничего общего	1	1
261	себя в	1	1
262	крайней мере	1	1
263	для правильного	1	1
264	и из	1	1
265	ним на	1	1
266	русской литературе	3	1
267	гораздо больше	1	1
268	тем более	2	1
269	по крайней	1	1
270	и самый	1	1
271	всяком случае	1	1
272	на них	1	1
273	высшей степени	1	1
