N	2gram	Medvedev_U	VrazhdaK
1	не только	10	9
2	в этом	7	8
3	и в	14	8
4	и что	1	8
5	что в	1	7
6	достоевского и	1	7
7	и все	1	7
8	но и	4	7
9	то что	7	7
10	о нем	1	6
11	как и	3	6
12	и даже	1	6
13	и с	2	6
14	все же	3	6
15	в котором	1	6
16	в нем	1	6
17	но в	3	6
18	то же	5	5
19	у него	1	5
20	в россии	4	5
21	и не	8	5
22	между тем	2	5
23	об этом	1	5
24	не было	1	5
25	же время	3	5
26	в то	3	5
27	это не	3	4
28	все это	5	4
29	в виду	1	4
30	что он	2	4
31	о том	1	4
32	может быть	6	4
33	в ней	1	4
34	в его	2	3
35	в том	2	3
36	но он	1	3
37	далеко не	1	3
38	тем что	2	3
39	и у	2	3
40	он был	1	3
41	том что	2	3
42	в этот	1	3
43	он не	1	3
44	в конце	2	3
45	одним из	2	3
46	в своем	1	3
47	на то	1	3
48	с его	2	3
49	к этому	1	3
50	по нашему	3	3
51	в той	1	2
52	таким образом	2	2
53	и то	3	2
54	для него	3	2
55	его и	2	2
56	о чем	2	2
57	как раз	2	2
58	по мнению	1	2
59	о которой	1	2
60	же не	2	2
61	же в	1	2
62	его на	1	2
63	их в	1	2
64	же как	1	2
65	в своей	3	2
66	в известном	1	2
67	и это	1	2
68	на первый	2	2
69	это в	1	2
70	в этой	4	2
71	уже не	1	2
72	в себе	2	2
73	не может	7	2
74	тем более	1	2
75	в период	1	2
76	отнюдь не	1	2
77	но это	2	2
78	никогда не	1	2
79	на большую	1	1
80	все в	1	1
81	к сожалению	3	1
82	в самом	2	1
83	этого и	1	1
84	для начала	1	1
85	именно к	1	1
86	так и	1	1
87	в свое	1	1
88	все что	1	1
89	для всех	2	1
90	до сих	2	1
91	еще раз	1	1
92	из которых	1	1
93	один пример	1	1
94	этот процесс	1	1
95	развитие в	1	1
96	того как	1	1
97	художником и	1	1
98	или по	1	1
99	возвращается в	1	1
100	а это	1	1
101	единства и	1	1
102	он и	1	1
103	того что	1	1
104	в качестве	1	1
105	нас в	2	1
106	прежде всего	8	1
107	другой стороны	3	1
108	в их	4	1
109	а между	2	1
110	он уже	1	1
111	такое понимание	1	1
112	а о	2	1
113	этого не	1	1
114	их и	2	1
115	равно как	1	1
116	но не	2	1
117	но для	1	1
118	он ставит	1	1
119	в таком	1	1
120	в процессе	1	1
121	мы получаем	2	1
122	вряд ли	3	1
123	не есть	2	1
124	правда не	1	1
125	как нам	1	1
126	по его	1	1
127	о котором	1	1
128	это было	2	1
129	в итоге	2	1
130	в сторону	2	1
131	сих пор	2	1
132	гораздо больше	1	1
133	нашему мнению	3	1
134	первый взгляд	1	1
135	еще один	1	1
136	первый план	1	1
137	известном письме	1	1
138	что этот	1	1
139	свое место	1	1
140	как литературные	1	1
141	говорить не	1	1
142	это то	1	1
143	именно этот	1	1
144	только как	1	1
145	в частности	3	1
146	всех этих	2	1
147	себя на	1	1
148	этом смысле	2	1
149	так он	1	1
150	человека и	1	1
151	без труда	1	1
152	вне его	1	1
153	содержания в	1	1
154	и т.д	3	1
155	и явно	1	1
156	с другой	4	1
157	было бы	3	1
158	это же	1	1
159	что же	1	1
160	как на	1	1
161	что для	1	1
162	той же	1	1
163	могут быть	2	1
164	до конца	1	1
165	из первых	1	1
166	что только	1	1
167	только при	1	1
168	по крайней	2	1
169	идет не	1	1
170	не все	2	1
171	этом отношении	2	1
172	ничуть не	1	1
173	конце концов	2	1
174	независимо от	1	1
175	материал и	1	1
176	бы в	1	1
177	крайней мере	2	1
178	ничего не	2	1
179	доказывает что	1	1
