N	3gram	Propp_Russ	VrazhdaK
1	он считал что	1	3
2	в связи с	4	3
3	в том что	27	2
4	не может быть	1	2
5	с точки зрения	3	2
6	в полной уверенности	1	1
7	все же в	1	1
8	но в этот	1	1
9	очень хорошо знает	1	1
10	ироническое отношение к	1	1
11	в свою очередь	2	1
12	о чем говорилось	1	1
13	а между тем	1	1
14	на первое место	1	1
15	в то время	3	1
16	можно говорить об	1	1
17	точно так же	1	1
18	так же как	5	1
19	но это не	3	1
20	в своем дневнике	1	1
21	на то что	2	1
22	полной уверенности что	1	1
23	о том же	4	1
24	о том что	6	1
25	но и как	1	1
26	в это время	3	1
27	в е годы	2	1
28	не все ясно	1	1
29	в том же	1	1
30	во всяком случае	1	1
31	а следовательно и	1	1
32	между тем это	3	1
33	тем не менее	3	1
34	подтверждается тем что	1	1
35	у себя на	1	1
36	это и есть	1	1
37	тем более что	1	1
38	независимо от того	1	1
39	на первый взгляд	1	1
40	не только как	1	1
41	в этом отношении	1	1
42	все же не	2	1
43	и в этом	2	1
44	может быть и	3	1
