N	2gram	Ircho_Kome	FransuaR
1	и в	37	367
2	в этом	18	112
3	и не	28	101
4	таким образом	16	100
5	и его	10	99
6	в его	12	98
7	прежде всего	7	92
8	не только	13	87
9	мы уже	1	85
10	но и	18	84
11	как бы	7	82
12	все эти	1	79
13	вовсе не	6	77
14	как и	10	76
15	в нем	8	75
16	но в	7	75
17	в эпоху	2	75
18	и на	6	72
19	в том	24	71
20	как мы	6	71
21	то же	14	66
22	и все	6	66
23	в них	6	65
24	в этой	7	65
25	так и	4	65
26	и с	5	64
27	в сущности	3	64
28	в то	14	63
29	во время	8	63
30	во всех	4	62
31	все это	7	62
32	же время	12	55
33	что в	11	52
34	в своем	9	51
35	только в	3	48
36	так как	16	46
37	и до	2	46
38	том что	22	45
39	то что	5	41
40	здесь в	2	41
41	у него	10	40
42	жизни и	1	40
43	в самом	17	38
44	точки зрения	8	37
45	в ней	7	37
46	с его	6	36
47	о том	21	35
48	он был	6	35
49	может быть	14	35
50	мы видим	2	35
51	сказать что	4	34
52	и даже	6	34
53	в себе	4	34
54	до нас	7	34
55	рядом с	1	32
56	мы видели	1	32
57	в конце	14	32
58	он не	11	32
59	для него	1	32
60	до конца	4	31
61	в своей	6	31
62	нового времени	5	31
63	так же	8	30
64	но он	3	30
65	один из	6	30
66	потому что	19	30
67	той же	2	30
68	и потому	2	30
69	никогда не	5	30
70	в духе	1	29
71	в одном	3	29
72	еще не	10	29
73	связи с	5	29
74	в этих	2	29
75	что он	15	29
76	не может	9	29
77	при этом	11	29
78	его в	9	29
79	не в	7	29
80	и к	4	28
81	из них	11	28
82	в той	2	28
83	в основе	3	28
84	здесь и	3	28
85	и другие	1	27
86	сих пор	12	27
87	до сих	12	27
88	том числе	2	27
89	в образах	1	27
90	все же	9	27
91	по своему	3	27
92	роль в	3	27
93	и их	1	27
94	образов в	1	26
95	кроме того	1	26
96	все они	1	26
97	в области	3	25
98	с помощью	4	25
99	он и	5	24
100	но не	9	24
101	например в	3	24
102	в ее	3	24
103	и у	4	24
104	и от	3	24
105	как в	4	24
106	того чтобы	9	24
107	времени и	2	24
108	в частности	4	24
109	в большинстве	1	24
110	отношение к	7	24
111	и здесь	11	23
112	с ним	10	23
113	и для	7	23
114	в их	5	23
115	к нему	8	23
116	это не	3	23
117	даже в	3	22
118	не было	6	22
119	а в	12	22
120	тем что	12	22
121	что и	12	22
122	и других	1	22
123	вместе с	16	22
124	и во	3	22
125	и о	3	22
126	в своих	4	21
127	в отношении	4	21
128	уже в	3	21
129	и как	3	21
130	в качестве	4	21
131	одним из	2	21
132	в себя	1	21
133	ни в	14	21
134	и наконец	1	21
135	в виду	3	20
136	в связи	4	20
137	и это	4	20
138	одной из	4	20
139	этом отношении	2	20
140	образов и	1	20
141	с точки	6	20
142	как раз	9	20
143	в образе	5	20
144	они были	2	20
145	а также	3	20
146	самом деле	13	20
147	во всем	2	19
148	их в	3	19
149	к этому	11	19
150	в эту	1	19
151	того же	9	19
152	за пределы	3	19
153	было бы	7	19
154	эпизод с	1	19
155	в дальнейшем	5	19
156	с другой	5	19
157	хотя и	6	19
158	в ту	2	19
159	далеко не	3	19
160	мы находим	1	18
161	со всеми	2	18
162	здесь не	2	18
163	превращается в	1	18
164	на этом	3	18
165	связанные с	1	18
166	перед нами	1	18
167	это в	2	18
168	образы в	1	17
169	для того	9	17
170	конечно не	4	17
171	на площади	4	17
172	в результате	2	17
173	можно было	3	17
174	своего времени	1	17
175	на его	5	17
176	числе и	2	17
177	такой же	2	17
178	еще более	4	17
179	но все	5	17
180	и вот	3	17
181	того что	1	17
182	а не	5	17
183	в другом	2	16
184	с одной	5	16
185	между ними	4	16
186	между тем	6	16
187	тот же	11	16
188	в начале	5	16
189	вернемся к	1	16
190	ничего не	6	16
191	они не	2	16
192	дело в	1	16
193	а затем	4	15
194	смех и	1	15
195	в которой	6	15
196	не были	1	15
197	никто не	2	15
198	из этих	2	15
199	мы еще	1	15
200	от всех	1	15
201	особенно в	1	15
202	одно из	3	15
203	почти все	1	15
204	как на	1	15
205	в нашем	1	15
206	не мог	2	15
207	в первой	3	15
208	еще в	1	15
209	пор еще	1	15
210	в истории	2	15
211	в самой	1	15
212	в котором	6	14
213	в чем	7	14
214	образом в	2	14
215	и по	3	14
216	мы не	6	14
217	на них	3	14
218	все что	6	14
219	и он	5	14
220	несмотря на	7	14
221	системе образов	1	14
222	по существу	4	14
223	и сам	11	13
