N	4gram	Bakhtin_Fr	Hudozhes
1	в то же время	14	7
2	одно и то же	1	3
3	одного и того же	1	3
4	в том числе и	3	2
5	ни в коем случае	1	2
6	в той или иной	1	2
7	и в то же	3	2
8	по отношению к которому	1	1
9	не что иное как	1	1
10	так же точно и	1	1
11	той или иной форме	1	1
12	в одном и том	1	1
13	а с другой стороны	1	1
14	с одной стороны и	1	1
15	в одной из своих	1	1
16	но в то же	6	1
17	между вещами и ценностями	1	1
18	не может быть и	1	1
19	одном и том же	1	1
20	в связи с этим	3	1
21	есть в конечном счете	1	1
22	есть не что иное	1	1
