N	2gram	Losev_Vlad	IolandNe
1	и с	27	3
2	что в	24	2
3	оба они	3	2
4	самого себя	1	2
5	он не	13	2
6	ничего не	4	2
7	и не	33	2
8	в этом	30	2
9	неудивительно что	1	1
10	говорить о	1	1
11	все эти	6	1
12	для того	4	1
13	и очень	5	1
14	всего творчества	1	1
15	хотя его	1	1
16	а в	20	1
17	и о	6	1
18	же это	1	1
19	к нам	1	1
20	за границей	3	1
21	это было	9	1
22	и та	1	1
23	что для	5	1
24	для него	16	1
25	его полным	1	1
26	вплоть до	4	1
27	и создавал	1	1
28	тех же	3	1
29	тем что	2	1
30	только что	2	1
31	бы его	2	1
32	от нее	3	1
33	не слишком	1	1
34	когда его	1	1
35	того же	11	1
36	с а	13	1
37	нам в	2	1
38	не так	1	1
39	и др	1	1
40	жизни и	8	1
41	пушкина и	2	1
42	с другой	3	1
43	но когда	1	1
44	в целом	3	1
45	более чем	1	1
46	было не	2	1
47	он с	1	1
48	человеке и	1	1
49	значительной мере	1	1
50	нее и	2	1
51	другой стороны	3	1
52	я не	8	1
53	себя в	6	1
54	к отцу	1	1
55	слишком много	1	1
56	то и	3	1
57	после смерти	8	1
58	и еще	3	1
59	если бы	2	1
60	по существу	4	1
61	и сам	7	1
62	того что	6	1
63	них не	2	1
64	а с	5	1
65	для других	1	1
66	последний не	2	1
67	по поводу	15	1
68	и тот	2	1
69	а также	12	1
70	так и	11	1
71	ходить в	1	1
72	в значительной	1	1
73	следовательно в	1	1
74	о ней	1	1
75	того чтобы	4	1
76	и без	2	1
77	и творчества	1	1
78	а для	1	1
79	бы в	1	1
80	этим и	1	1
81	и ничего	1	1
82	а по	3	1
83	есть только	1	1
84	факты и	1	1
85	и в	56	1
86	его личности	2	1
87	что роман	1	1
88	знакомство с	1	1
89	это был	5	1
90	никогда не	15	1
91	еще одной	1	1
92	и и	8	1
93	все это	7	1
94	по отношению	1	1
95	со всеми	1	1
96	на котором	2	1
97	был человек	2	1
98	нисколько не	4	1
99	как о	1	1
100	в них	5	1
101	во многом	3	1
