N	3gram	Losev_Vlad	Formalny
1	не может быть	4	29
2	то же время	7	20
3	в то же	7	20
4	и т д	3	19
5	в связи с	7	16
6	во всяком случае	8	16
7	в настоящее время	2	13
8	в самом деле	1	11
9	так и в	1	11
10	в этом отношении	2	11
11	бы то ни	2	10
12	с другой стороны	3	9
13	и не может	1	9
14	для того чтобы	3	8
15	вместе с тем	2	8
16	как мы видели	1	8
17	с одной стороны	1	8
18	более или менее	5	7
19	то ни было	1	7
20	в высшей степени	1	7
21	в свою очередь	2	7
22	как мы знаем	3	7
23	и в этом	1	7
24	в том что	13	6
25	и в то	3	6
26	с тем что	1	6
27	сам по себе	1	6
28	не только не	1	6
29	раз и навсегда	2	6
30	смысле этого слова	1	6
31	может быть и	1	6
32	в этом смысле	4	5
33	к тому что	1	5
34	до известной степени	1	5
35	и не в	1	4
36	в той же	1	4
37	тем не менее	8	4
38	не в том	3	4
39	в одной плоскости	1	4
40	в конце концов	6	4
41	до настоящего времени	1	4
42	как раз и	2	4
43	но все же	1	4
44	то ни стало	1	4
45	бы она ни	1	4
46	и до конца	2	4
47	нет и не	1	4
48	и тот же	2	3
49	мы уже знаем	1	3
50	в том числе	1	3
51	во что бы	1	3
52	так или иначе	3	3
53	из всего этого	1	3
54	самом же деле	1	3
55	только то что	1	3
56	на самом же	1	3
57	на первый план	4	3
58	равно как и	1	3
59	и во всяком	1	3
60	с тем и	1	3
61	в том чтобы	4	3
62	и в дальнейшем	1	3
63	один и тот	2	3
64	в своей работе	1	3
65	во всех своих	1	3
66	и в частности	3	3
67	что бы то	1	3
68	но в то	2	3
69	как мы увидим	2	3
70	с начала и	2	3
71	что же касается	8	3
72	нам кажется что	2	3
73	начала и до	2	3
74	и наконец в	1	2
75	в известной степени	1	2
76	говоря уже о	3	2
77	в жизни и	1	2
78	но даже и	3	2
79	не потому что	1	2
80	не могла быть	1	2
81	и тем самым	1	2
82	не было и	1	2
83	в последнее время	2	2
84	на первом плане	2	2
85	нужно сказать что	1	2
86	и в том	2	2
87	и все же	2	2
88	в какой мере	1	2
89	как это было	1	2
90	так и не	3	2
91	в связи со	2	2
92	не выходя за	1	2
93	в это время	5	2
94	ничего общего с	1	2
95	и для всех	1	2
96	не говоря уже	3	2
97	же время и	1	2
98	вовсе не есть	1	2
99	дело в том	7	2
100	не только в	3	2
101	и притом в	1	2
102	ни в каких	2	2
103	но отнюдь не	1	2
104	в этом случае	1	2
105	что в нем	1	2
106	и с позитивизмом	1	2
107	дело не в	1	2
108	что и в	2	2
109	ни в чем	1	2
110	что он не	3	1
111	в самом начале	1	1
112	в этот период	1	1
113	и как бы	1	1
114	именно в таком	1	1
115	ни на минуту	1	1
116	но вместе с	1	1
117	что в его	1	1
118	атмосферы в которой	1	1
119	выдвинуть на первый	1	1
120	то что он	6	1
121	в том как	1	1
122	и отчасти в	1	1
123	же это за	1	1
124	не в этом	1	1
125	и вообще все	1	1
126	о гораздо более	1	1
127	в этом первом	1	1
128	он не может	1	1
129	и литературы и	1	1
130	потому что никаких	1	1
131	в том же	3	1
132	они не могут	1	1
133	полагать что в	1	1
134	имеет никакого отношения	1	1
