N	3gram	Potebnia_M	RusskieA
1	в том что	22	49
2	состоит в том	1	29
3	и т д	5	21
4	тем не менее	7	14
5	в этом случае	2	12
6	вместе с тем	5	11
7	о том что	5	10
8	и в других	1	9
9	в том чтобы	4	9
10	для того чтобы	5	8
11	в данном случае	3	8
12	подобно тому как	3	8
13	в настоящее время	1	7
14	мы не можем	5	7
15	не может быть	7	6
16	во многих случаях	1	6
17	по этому поводу	1	6
18	в это время	1	6
19	как мы видели	1	6
20	после того как	2	6
21	к тому что	3	5
22	мы видели что	1	5
23	не что иное	1	4
24	том что это	1	4
25	и многие другие	2	4
26	как мы уже	1	4
27	бросается в глаза	1	4
28	только тогда когда	11	4
29	в этих случаях	1	4
30	что иное как	1	4
31	в то время	7	4
32	там же в	1	4
33	во всяком случае	3	4
34	один из них	1	4
35	тех пор пока	2	3
36	но вместе с	2	3
37	по отношению к	10	3
38	мы должны признать	1	3
39	более или менее	6	3
40	до сих пор	4	3
41	с тем и	3	3
42	и в том	3	3
43	в свою очередь	6	3
44	на то что	3	3
45	с точки зрения	2	3
46	до тех пор	5	3
47	далеко не все	3	3
48	и что в	1	3
49	с тем что	1	3
50	может быть и	1	3
51	друг к другу	1	3
52	состоять в том	1	2
53	может быть назван	3	2
54	в других случаях	1	2
55	том что этот	1	2
56	такое же значение	1	2
57	выше мы видели	1	2
58	в большинстве случаев	2	2
59	и т п	7	2
60	ни одно из	1	2
61	может быть только	4	2
62	друг с другом	1	2
63	ничего общего с	1	2
64	одно из них	2	2
65	потому что он	3	2
66	мы должны будем	2	2
67	так как это	1	2
68	можно сделать из	1	2
69	с другой стороны	4	2
70	но так как	2	2
71	не только по	3	2
72	равно как и	2	2
73	для нас не	1	2
74	каждый из этих	1	2
75	не принадлежат к	1	2
76	как и в	3	2
77	можно сказать что	3	2
78	же значение как	1	2
79	вопрос о том	1	2
80	во всем этом	1	2
81	на самом деле	4	2
82	не только в	4	2
83	и в этом	1	2
84	но тем не	4	2
85	в таком виде	1	2
86	встречаются и в	1	2
87	выводы можно сделать	1	2
88	с одной стороны	4	2
89	в этом отношении	2	2
90	можно найти в	1	1
91	объяснение только в	1	1
92	а может быть	2	1
93	в том же	2	1
94	и как бы	2	1
95	во многих других	1	1
96	этого слова в	2	1
97	а к тем	1	1
98	но и по	2	1
99	с этим в	1	1
100	только о том	1	1
101	но этого мало	1	1
102	существует независимо от	1	1
103	не все в	1	1
104	и в таком	1	1
105	у нас в	1	1
106	в первый раз	1	1
107	это для нас	1	1
108	до недавнего времени	1	1
109	видели в ней	1	1
110	главным образом из	1	1
111	что для этого	1	1
112	далеко не всегда	1	1
113	потому что в	4	1
114	только потому что	5	1
115	предположить что в	1	1
116	связи с другими	2	1
117	все то что	2	1
118	в таком случае	2	1
119	одного и того	2	1
120	по тому что	2	1
121	можно видеть что	1	1
122	примыкает к нему	1	1
123	сам по себе	9	1
124	и все что	1	1
125	к другу и	1	1
126	и то и	2	1
127	но не только	1	1
128	несправедливо было бы	1	1
129	что именно в	1	1
130	не только из	1	1
131	а между тем	6	1
132	того что в	1	1
133	но и эта	1	1
134	все силы природы	1	1
135	может быть не	2	1
136	с одним из	1	1
137	можно заключить что	3	1
138	вряд ли можно	1	1
139	что цель этих	1	1
140	легко заметить что	1	1
141	между тем как	4	1
142	той и другой	1	1
143	можно думать что	2	1
144	и таким образом	1	1
145	то увидим что	1	1
146	есть та же	1	1
147	быть не только	1	1
148	этим объясняется почему	1	1
149	потому что всякое	1	1
150	не имеет смысла	1	1
151	к тому же	1	1
152	из них не	2	1
153	можем предположить что	1	1
154	и во многих	1	1
155	и того же	2	1
156	так как при	1	1
157	смысле в каком	3	1
158	то же самое	3	1
159	значении этого слова	1	1
160	сама по себе	3	1
161	почвы на которой	1	1
162	и там где	1	1
163	имея в виду	1	1
164	отсюда видно что	2	1
165	не без основания	1	1
166	имеет смысла но	1	1
167	и потому не	1	1
168	быть не может	2	1
169	то время когда	2	1
170	и теперь еще	1	1
171	во второй половине	1	1
172	в одном из	1	1
173	между собою и	2	1
174	в народной поэзии	1	1
175	в глаза что	1	1
176	который в них	1	1
177	тем что в	1	1
178	в противном случае	1	1
179	а вместе с	1	1
180	и может быть	2	1
181	но и в	4	1
182	к другому и	1	1
183	то что по	1	1
184	только после того	1	1
185	и должны служить	1	1
186	в одно целое	3	1
187	что не только	1	1
188	не потому что	1	1
189	вероятно что в	2	1
190	то что в	2	1
191	на той бочок	1	1
192	там же с	7	1
193	как один из	1	1
194	а следовательно и	1	1
195	состоит не в	2	1
196	можно заметить что	1	1
197	только в том	5	1
198	тем и другим	2	1
199	или менее ясно	1	1
200	тем более что	1	1
201	таким образом в	1	1
202	в нашем сознании	1	1
203	но все это	1	1
204	все следующие за	1	1
205	из того что	1	1
206	те или другие	1	1
207	этой силы на	1	1
208	дело в том	1	1
209	и музыки с	1	1
210	не было ни	1	1
211	не отличаются от	1	1
212	и та же	2	1
213	но еще не	1	1
214	смысле этого слова	9	1
215	свое объяснение только	1	1
