N	2gram	Berdyaev_N	Tragedij
1	и в	16	18
2	в этом	7	9
3	не только	5	8
4	и на	2	7
5	и не	11	7
6	может быть	7	7
7	и с	2	7
8	что он	1	6
9	у него	2	6
10	в образе	1	6
11	но в	2	6
12	и его	1	6
13	это не	4	5
14	так и	2	5
15	к жизни	3	5
16	как и	7	5
17	не может	16	5
18	в то	2	5
19	что в	9	4
20	в себе	2	4
21	и даже	2	4
22	все это	5	4
23	прежде всего	4	4
24	и все	4	4
25	я не	2	4
26	еще не	3	4
27	но и	3	4
28	том что	2	4
29	и что	2	4
30	так же	2	4
31	то что	4	4
32	в этой	1	4
33	в нем	5	4
34	но это	6	4
35	своего рода	1	3
36	должно быть	4	3
37	уже в	1	3
38	в его	1	3
39	в своем	1	3
40	с ним	1	3
41	в конце	1	3
42	в мире	3	3
43	как в	3	3
44	что образ	1	3
45	как это	2	3
46	с ее	5	3
47	как будто	2	3
48	все эти	2	3
49	к нему	1	3
50	в самом	1	2
51	в том	8	2
52	это уже	1	2
53	он и	1	2
54	с тем	3	2
55	в ее	3	2
56	ни в	6	2
57	в русском	2	2
58	что все	2	2
59	не могут	1	2
60	не в	6	2
61	но все	1	2
62	еще в	1	2
63	в силах	1	2
64	ничем не	1	2
65	вопрос о	3	2
66	зла в	1	2
67	знает что	1	2
68	и это	2	2
69	нет в	1	2
70	теперь и	1	2
71	уже не	2	2
72	к тому	3	2
73	о том	4	2
74	не был	1	2
75	не имеет	4	2
76	не человек	2	2
77	права на	2	2
78	что этот	1	2
79	отличие от	1	2
80	она должна	1	2
81	потому что	4	2
82	ее жизни	1	2
83	времени в	2	2
84	отцы и	1	2
85	он не	8	2
86	в это	1	2
87	говорит что	1	2
88	и до	1	2
89	в отличие	1	2
90	что она	2	2
91	который в	2	2
92	одна из	2	2
93	с его	6	2
94	тем что	1	2
95	не случайно	1	2
96	никогда не	6	2
97	жизнью и	1	2
98	друг друга	1	2
99	в той	1	1
100	все в	1	1
101	во всем	1	1
102	от нее	1	1
103	всегда была	1	1
104	могут быть	2	1
105	социальной жизни	1	1
106	в центре	2	1
107	по природе	1	1
108	и мира	1	1
109	по всем	1	1
110	бога но	2	1
111	на путях	2	1
112	не знал	2	1
113	также что	1	1
114	свидетельствует о	1	1
115	на западе	1	1
116	к этой	1	1
117	перестает быть	4	1
118	с одной	2	1
119	должна быть	3	1
120	к себе	1	1
121	и должно	2	1
122	быть отнесены	1	1
123	в недрах	1	1
124	одному из	1	1
125	не способен	1	1
126	xix века	5	1
127	в виду	1	1
128	быть может	4	1
129	из ее	2	1
130	с собой	1	1
131	только в	1	1
132	не столько	1	1
133	по себе	1	1
134	мы вновь	1	1
135	вопрос об	1	1
136	а на	1	1
137	со злом	1	1
138	не было	4	1
139	в духе	3	1
140	это должно	1	1
141	но он	1	1
142	этого господина	1	1
143	до этого	1	1
144	с своими	1	1
145	этого не	1	1
146	вот что	1	1
147	а также	1	1
148	в россии	3	1
149	на нее	1	1
150	и возвращается	1	1
151	на себя	1	1
152	что не	1	1
153	в эпоху	9	1
154	мира против	1	1
155	не есть	3	1
156	xviii века	2	1
157	быть понят	1	1
158	вообще не	1	1
159	ним она	1	1
160	нашей эпохи	3	1
161	жизни перед	1	1
162	эти черты	1	1
163	лишь на	1	1
164	и она	1	1
165	показал что	1	1
166	есть в	2	1
167	в своей	3	1
168	вместе с	2	1
169	и вместе	1	1
170	стремление к	2	1
171	жизни в	3	1
172	я хочу	1	1
173	отнесены к	1	1
174	роль в	2	1
175	не менее	4	1
176	перед собой	1	1
177	в такой	1	1
178	власти и	1	1
179	это было	3	1
180	xix век	2	1
181	в чем	1	1
182	ли это	2	1
183	факт в	1	1
184	у в	1	1
185	растет и	3	1
186	гораздо больше	1	1
187	в них	4	1
188	на них	1	1
189	во всех	3	1
190	к одному	1	1
191	во всяком	1	1
192	и потому	4	1
193	это и	2	1
194	попал в	1	1
195	нем ничего	1	1
196	а к	1	1
197	в котором	1	1
198	возвращается к	2	1
199	творческий процесс	1	1
200	не могли	2	1
201	в обществе	2	1
202	чтобы так	1	1
203	i есть	1	1
204	этой теме	1	1
205	человека вот	1	1
206	силы и	2	1
207	ничего от	1	1
208	хотя бы	2	1
209	она не	3	1
210	эти слова	1	1
211	того чтобы	2	1
212	не хочу	1	1
213	одну из	1	1
214	но не	2	1
215	природе своей	1	1
216	хочет и	1	1
217	в каких	1	1
218	быть не	1	1
219	не быть	1	1
220	в ней	5	1
221	вот почему	2	1
222	мы опять	1	1
223	характерны для	1	1
224	в новой	7	1
225	страдания но	1	1
226	в которой	1	1
227	лишь в	6	1
228	а не	17	1
229	а по	1	1
230	прошлом в	1	1
231	значение для	1	1
232	и их	1	1
233	есть и	1	1
234	не могла	2	1
235	это была	1	1
236	можно было	2	1
237	за пределы	3	1
238	себя на	1	1
239	добро и	1	1
240	в xix	1	1
241	в истории	3	1
242	по своей	1	1
243	он есть	1	1
244	борьбе за	1	1
245	человека и	3	1
246	всего что	1	1
247	значение и	1	1
248	ли есть	2	1
249	к ним	3	1
250	и еще	1	1
251	он в	1	1
252	к ней	1	1
253	часто бывало	1	1
254	не для	1	1
255	и особенно	1	1
256	во многом	1	1
257	на уровне	2	1
258	не верит	1	1
259	наряду с	3	1
260	день не	1	1
261	еще по	1	1
262	быть в	2	1
263	в высшей	6	1
264	не значит	3	1
265	во времена	1	1
266	слова в	1	1
267	и от	2	1
268	выразить свое	1	1
269	и есть	10	1
270	капиталистического общества	1	1
271	все время	2	1
272	и зло	1	1
273	они сами	1	1
274	всю жизнь	1	1
275	но я	2	1
276	в период	1	1
277	себя а	1	1
278	а это	1	1
279	но если	1	1
280	в области	1	1
281	нуждается в	1	1
282	ни за	1	1
283	человек не	1	1
284	всяком случае	1	1
285	для чего	2	1
286	идей и	1	1
287	не удалось	1	1
288	распадается на	1	1
289	до начала	1	1
290	к ее	3	1
291	не к	2	1
292	людей в	1	1
293	обратиться к	1	1
294	высшей степени	6	1
295	сильнее и	2	1
