N	3gram	Potebnia_M	Sovremen
1	мы не можем	2	6
2	с точки зрения	3	5
3	в каждом отдельном	1	5
4	не может быть	11	4
5	мы видели что	2	3
6	с самого начала	5	3
7	в свою очередь	8	2
8	во всяком случае	7	2
9	тем не менее	10	2
10	времени и пространства	1	2
11	в отличие от	1	2
12	же в результате	1	1
13	не было бы	3	1
14	всяком случае не	1	1
15	что в каждом	1	1
16	то ни было	1	1
17	мы знаем что	1	1
18	в том что	18	1
19	что при таком	2	1
20	один и тот	1	1
21	но все эти	1	1
22	на самом деле	2	1
23	не более как	3	1
24	не могут быть	5	1
25	как и во	3	1
26	до сих пор	5	1
27	одной стороны и	2	1
28	мы говорим о	1	1
29	все более и	2	1
30	может стать в	1	1
31	прежде всего человек	1	1
32	сами по себе	8	1
33	времени не может	1	1
34	и тот же	1	1
35	с одной и	1	1
36	не что иное	2	1
37	в связи с	2	1
38	и все же	1	1
39	хотим сказать что	1	1
40	дело в том	3	1
41	в том случае	1	1
42	это как бы	1	1
43	как мы видим	1	1
44	в первое время	1	1
45	и во всех	2	1
46	что иное как	2	1
47	это не более	1	1
48	ни одна не	1	1
49	что все они	1	1
50	и во всей	1	1
51	но все же	2	1
52	каждая из этих	1	1
53	очень важную роль	2	1
54	заключать в себе	1	1
55	и той же	3	1
56	это значит что	1	1
57	с одной стороны	6	1
58	одной и той	3	1
59	можем ли мы	1	1
60	мы не знаем	1	1
61	более и более	2	1
62	в одном случае	1	1
63	ничего не имеют	1	1
64	так же как	1	1
65	тем же путем	1	1
66	то же время	3	1
67	не в том	6	1
68	период развития и	1	1
69	она не может	1	1
70	по отношению к	13	1
71	и может быть	4	1
72	в том как	4	1
73	в то же	3	1
74	и живой организм	1	1
75	бы то ни	2	1
76	заключает в себе	6	1
77	на этот вопрос	2	1
78	вместе с понятием	1	1
79	было бы так	1	1
80	и в этом	7	1
81	по крайней мере	6	1
82	например указать на	1	1
83	можно было бы	1	1
84	важную роль в	1	1
85	друг на друга	2	1
86	именно в том	1	1
87	в этом смысле	4	1
88	в действительности развивается	1	1
89	в себе в	1	1
90	и не может	1	1
91	но тем не	6	1
92	по его мнению	4	1
93	сказать несколько слов	1	1
94	из них это	1	1
95	может быть только	2	1
