N	2gram	Losev_Dial	Myslijsy
1	потому что	23	182
2	то есть	1	142
3	и в	35	121
4	может быть	30	107
5	в том	20	103
6	то что	25	83
7	для нас	1	75
8	что в	19	73
9	и не	51	73
10	только в	7	72
11	не только	26	67
12	а не	24	67
13	таким образом	5	64
14	в этом	18	59
15	но и	17	59
16	том что	18	59
17	так как	24	59
18	то же	21	56
19	не в	12	54
20	если бы	12	53
21	в себе	23	53
22	по себе	39	52
23	не может	16	52
24	того что	6	47
25	в сознании	3	46
26	в душе	8	45
27	было бы	14	45
28	и проч	1	45
29	в нем	25	45
30	не есть	67	42
31	как и	10	42
32	так что	21	39
33	вместе с	3	39
34	что и	7	38
35	мы не	1	38
36	при этом	2	37
37	как в	3	37
38	так и	18	37
39	тогда когда	6	36
40	что мы	3	36
41	точно так	3	35
42	тем что	2	33
43	и что	17	32
44	а в	8	30
45	что не	13	29
46	между тем	3	29
47	но не	9	29
48	вовсе не	19	28
49	мы можем	5	28
50	для него	2	28
51	есть только	9	28
52	с этим	5	27
53	могут быть	6	27
54	не было	7	26
55	независимо от	2	26
56	и т	31	26
57	то и	3	26
58	между собою	3	24
59	в то	10	24
60	с тем	2	23
61	как бы	19	23
62	того как	3	23
63	от того	2	23
64	а потому	3	22
65	по мере	3	22
66	то это	6	22
67	с другой	10	22
68	не имеет	15	22
69	только тогда	9	22
70	но в	8	22
71	и потому	6	21
72	не менее	5	21
73	вместе и	1	21
74	мысль о	2	20
75	в одном	4	20
76	это не	18	20
77	в ней	4	20
78	мысли и	3	19
79	и как	14	19
80	но это	12	19
81	сказать что	19	19
82	с ним	9	19
83	того же	1	19
84	тем не	3	19
85	что это	21	19
86	и то	15	19
87	из этих	2	19
88	о том	8	19
89	есть уже	2	19
90	тем самым	1	19
91	должно быть	7	19
92	есть не	8	19
93	в самом	6	18
94	в таком	4	18
95	для того	2	18
96	не могут	4	18
97	очевидно что	1	18
98	бы не	1	18
99	в каком	10	18
100	для меня	5	18
101	что я	5	18
102	еще не	4	18
103	точки зрения	25	17
104	крайней мере	11	17
105	со стороны	2	17
106	по крайней	11	17
107	слова и	1	17
108	заметить что	2	17
109	что оно	9	17
110	уже в	5	17
111	в его	4	17
112	во всяком	5	17
113	не можем	1	17
114	только что	5	16
115	к тому	6	16
116	так же	6	16
117	в своем	7	16
118	в которой	3	16
119	а только	5	16
120	в них	4	16
121	или же	1	16
122	есть нечто	16	16
123	что если	4	16
124	же с	1	16
125	каждый раз	1	16
126	на то	5	16
127	быть может	5	15
128	в этих	6	15
129	уже не	3	15
130	только как	3	15
131	с одной	4	15
132	с другими	2	15
133	и тем	2	15
134	в нас	2	15
135	и по	5	15
136	что он	16	15
137	стало быть	17	15
138	т д	28	15
