N	3gram	Voloshinov	Otkroven
1	для того чтобы	1	3
2	не может быть	4	2
3	и никогда не	1	2
4	в том что	2	1
5	нигде и никогда	1	1
6	всегда нуждается в	1	1
7	еще одну особенность	1	1
8	как и в	1	1
9	не только одно	1	1
10	то что в	1	1
11	в самом деле	2	1
12	а вовсе не	1	1
13	только и делают	2	1
14	почему же не	1	1
15	в другом месте	1	1
16	которым можно было	1	1
17	и в его	1	1
18	само по себе	1	1
19	в этом отношении	1	1
20	на то что	1	1
21	том что в	1	1
22	прежде всего в	1	1
23	нужно отметить что	1	1
24	он и не	1	1
25	и не может	1	1
