N	3gram	Losev_Prob	Tragedij
1	в то же	4	5
2	так и в	2	3
3	в том что	7	2
4	и как бы	2	2
5	и в частности	3	2
6	но в то	1	2
7	точно так же	7	2
8	в данном случае	10	2
9	о том что	16	2
10	в записках из	1	2
11	и в самом	2	2
12	но все же	1	2
13	ничего не значит	2	1
14	предстает перед нами	1	1
15	сам по себе	7	1
16	но в конце	1	1
17	и не быть	1	1
18	это очень важный	1	1
19	в какой-то мере	2	1
20	в общем смысле	1	1
21	ничего подобного нет	1	1
22	в разговоре с	1	1
23	а между тем	1	1
24	в конце концов	11	1
25	это может быть	1	1
26	это должно быть	1	1
27	она все же	1	1
28	самостоятельное значение и	1	1
29	мысль о том	2	1
30	и должно быть	1	1
31	мы отнюдь не	1	1
32	самое большее что	1	1
33	то что он	3	1
34	не может быть	5	1
35	по нашему мнению	1	1
36	записках из подполья	1	1
37	любви ко всему	1	1
38	и т п	1	1
39	не сводится только	1	1
40	в этом случае	6	1
41	относится то что	1	1
42	в чем же	1	1
43	с самого начала	2	1
44	конце концов сам	1	1
45	и то что	9	1
46	не только не	4	1
47	он перестает быть	1	1
48	связаны между собой	1	1
49	что он вообще	1	1
50	не могут быть	1	1
51	только на путях	1	1
52	хотя бы и	3	1
53	как и в	1	1
54	в связи с	7	1
55	в самом деле	4	1
56	и ко всей	1	1
57	во всяком случае	11	1
58	это не просто	1	1
59	к тому что	1	1
60	и не знал	2	1
61	в и ленина	1	1
62	что все это	1	1
63	тем не менее	25	1
64	в братьях карамазовых	1	1
65	но уже не	2	1
66	герое этого романа	1	1
67	несмотря на всю	2	1
68	в известной мере	2	1
69	еще ничего не	1	1
70	и не может	1	1
71	и в этом	5	1
