N	4gram	Medvedev_V	Analitik
1	в то же время	5	14
2	в той или иной	1	5
3	мы имеем дело с	1	5
4	и не может быть	2	4
5	в том или ином	1	4
6	с этой точки зрения	1	2
7	нет и не может	1	2
8	не говоря уже о	1	2
9	не следует смешивать с	1	2
10	одно и то же	1	2
11	но в то же	1	2
12	не может быть сведена	1	1
13	если бы он был	1	1
14	в том случае если	1	1
15	хотя бы и в	1	1
16	том или ином отношении	1	1
17	в том смысле что	1	1
18	вступает с ними в	1	1
19	в большей или меньшей	2	1
20	большей или меньшей степени	2	1
21	не в соответствии с	1	1
22	а в том что	1	1
23	может быть сведена к	1	1
24	силу тех или иных	1	1
25	и вместе с тем	1	1
26	только в том что	1	1
27	словесного выражения все это	1	1
28	как если бы он	1	1
29	в том числе и	2	1
30	как это происходит в	1	1
31	к этому же типу	1	1
32	имеем в виду не	1	1
33	ни одна из них	1	1
34	может быть определена как	1	1
35	о том же свидетельствует	1	1
36	но с другой стороны	1	1
37	не следует забывать что	1	1
38	одна из них не	1	1
39	по его собственному признанию	1	1
40	приводит к тому что	2	1
41	в силу тех или	1	1
42	той или иной мере	1	1
43	не в том что	2	1
44	том же свидетельствует и	1	1
45	ответ на этот вопрос	1	1
