N	4gram	Tiupa_Narr	DiskursI
1	в то же время	7	8
2	состоит в том что	5	7
3	с одной стороны и	1	5
4	дело в том что	2	5
5	одного и того же	2	4
6	к той или иной	1	3
7	в строгом значении этого	1	3
8	в том числе и	1	3
9	одно и то же	2	3
10	той мере в какой	1	2
11	в готовом стабильно дифференцированном	1	2
12	дифференцированном и оцененном мире	1	2
13	главное действующее лицо события	2	2
14	строго отграниченная система смыслов	1	2
15	мысль о том что	1	2
16	в напряжении событийного ряда	1	2
17	в той мере в	1	2
18	в том случае если	1	2
19	живет в готовом стабильно	1	2
20	нем звучит один голос	1	2
21	действующее лицо события свидетель	2	2
22	строгом значении этого термина	1	2
23	тойн а ван дейк	1	2
24	оно живет в готовом	1	2
25	состоит в напряжении событийного	1	2
26	между жизнью и смертью	1	2
27	и строго отграниченная система	1	2
28	завершенная и строго отграниченная	1	2
29	и не может быть	2	2
30	однозначности [...] в нем	1	2
31	звучит один голос [...]	1	2
32	и в то же	2	2
33	места времени и действия	1	2
34	в нем звучит один	1	2
35	голос [...] оно живет	1	2
36	[...] оно живет в	1	2
37	еще в греческой античности	1	2
38	[...] в нем звучит	1	2
39	готовом стабильно дифференцированном и	1	2
40	события свидетель и судия	2	2
41	с той или иной	2	2
42	бы то ни было	1	2
43	один голос [...] оно	1	2
44	одним и тем же	1	2
45	лицо события свидетель и	2	2
46	стабильно дифференцированном и оцененном	1	2
47	новое и главное действующее	1	1
48	духа вследствие этой двойственности	1	1
49	[...] то потому что	1	1
50	речи формировать культурную память	1	1
51	и не могло быть	1	1
52	организованности высказываний как неизбежно	1	1
53	к различным статусам местам	1	1
54	чтобы'' ''из-за'' и т.д	1	1
55	в полном его составе	1	1
56	классической эстетической завершенности целого	1	1
57	того чтобы'' ''из-за'' и	1	1
58	этому времени наррация давно	1	1
59	себя в другом и	1	1
60	автор облеченный в молчание	1	1
61	понять со стороны самое	1	1
62	интригу мировой истории а	1	1
63	создается характерный эффект чеховского	1	1
64	в едином но сложном	1	1
65	порой расхождения в истолковании	1	1
66	того и другого проблематично	1	1
67	апокалипсис с книгой бытия	1	1
68	уступает умению например сапожника	1	1
69	неизбежно принадлежащих к той	1	1
70	шагом природного социального или	1	1
71	и главное действующее лицо	1	1
72	возможностей пролагающий себе дорогу	1	1
73	то потому что к	1	1
74	не было и не	1	1
75	различные и по длительности	1	1
