N	3gram	Nazirov_Vr	OGranits
1	с точки зрения	2	5
2	не может быть	2	4
3	одно и то	1	3
4	в том что	2	2
5	и то же	1	2
6	с другой стороны	1	2
7	и уж конечно	1	1
8	не было бы	1	1
9	в этот момент	2	1
10	но в то	2	1
11	равно как и	1	1
12	так же как	1	1
13	что в ней	1	1
14	на то что	1	1
15	быть и речи	1	1
16	и никогда не	1	1
17	он и не	1	1
18	в связи с	3	1
19	тем не менее	1	1
20	все равно не	1	1
21	в этом отношении	1	1
22	то же время	4	1
23	в то же	4	1
24	но не менее	1	1
25	и не может	1	1
26	может быть и	1	1
