N	4gram	Losev_Vesc	SlovoVZh
1	дело в том что	4	4
2	бы то ни было	12	3
3	не может быть и	1	2
4	с одной стороны и	1	2
5	одно и то же	5	2
6	на самом же деле	1	1
7	в самом деле в	1	1
8	какой бы то ни	1	1
9	но в то же	1	1
10	одному и тому же	1	1
11	не может быть ни	3	1
12	в то время как	4	1
13	ни в коем случае	1	1
14	на одно и то	1	1
15	уже не может быть	2	1
16	до сих пор мы	1	1
17	каких бы то ни	1	1
18	с другой стороны как	1	1
19	в то же время	4	1
20	и с другой стороны	1	1
21	одной стороны и с	1	1
22	тем не менее приходится	1	1
23	тем не менее эта	1	1
24	один и тот же	1	1
