N	4gram	Vygotskiy_	EvropaiC
1	заключается в том что	10	3
2	совершенно так же как	1	3
3	бы то ни было	1	3
4	нога в ногу с	1	3
5	отличаются друг от друга	1	3
6	одного и того же	8	3
7	несмотря на то что	2	2
8	но вместе с тем	3	2
9	только тогда когда оно	1	1
10	состоит в том что	7	1
11	с этой точки зрения	7	1
12	в то время как	4	1
13	то же самое что	2	1
14	на все эти вопросы	1	1
15	образом мы видим что	1	1
16	по отношению к таким	1	1
17	в том что развитие	2	1
18	в данном случае не	2	1
19	и в другом случае	2	1
20	но для того чтобы	1	1
21	в том и в	1	1
22	не только по отношению	1	1
23	же выводам что и	1	1
24	и того же процесса	1	1
25	в этом последнем случае	1	1
26	не говоря уже о	1	1
27	том и в другом	1	1
28	в том что он	3	1
29	в своем развитии и	2	1
30	одно и то же	1	1
31	представление о том что	1	1
32	только по отношению к	1	1
33	таким образом мы видим	1	1
34	на то что эти	1	1
35	но мы знаем что	1	1
36	принять во внимание что	1	1
37	с психологической точки зрения	1	1
38	таким образом как бы	1	1
39	не может не быть	1	1
40	и в конце концов	1	1
41	тем же выводам что	1	1
42	что в настоящее время	1	1
43	в тех случаях когда	1	1
44	в том числе и	2	1
45	в этом случае мы	1	1
46	одному и тому же	2	1
47	все дело заключается в	1	1
48	одной и той же	3	1
49	к тем же выводам	1	1
50	дело заключается в том	1	1
51	в том виде как	1	1
52	в этой области не	1	1
53	в самом деле если	2	1
