N	3gram	Medvedev_F	NovoeSre
1	в высшей степени	4	6
2	не может быть	11	4
3	со всех сторон	1	3
4	во всех сферах	1	3
5	в том и	1	2
6	том и заключается	1	2
7	вместе с тем	5	2
8	равно как и	1	2
9	так же как	1	2
10	и заключается что	1	2
11	в этом смысле	3	2
12	что в нем	2	2
13	с одной стороны	5	2
14	с другой стороны	4	2
15	все эти формы	1	2
16	она не может	1	2
17	сами по себе	4	1
18	прежде всего как	1	1
19	лишь в том	1	1
20	в том что	3	1
21	не в том	3	1
22	в том случае	2	1
23	она не должна	1	1
24	до сих пор	7	1
25	в такой же	1	1
26	и к ней	1	1
27	и в истории	1	1
28	это конечно не	1	1
29	в зависимости от	4	1
30	по своей природе	1	1
31	в то что	1	1
32	но для этого	1	1
33	том числе и	1	1
34	то что он	1	1
35	том смысле в	1	1
36	приводит к отрицанию	1	1
37	и не менее	3	1
38	но и в	4	1
39	бы сказать что	1	1
40	для этого она	1	1
41	в большинстве случаев	5	1
42	в том чтобы	3	1
43	должно было быть	1	1
44	не было и	1	1
45	в том смысле	3	1
46	в отличие от	2	1
47	в значительной степени	3	1
48	как это было	2	1
49	как это делали	1	1
50	в социальной жизни	2	1
51	не начало нового	1	1
52	же как и	1	1
53	и до сих	2	1
54	и пр в	1	1
55	не могут быть	4	1
56	потому что не	1	1
57	мы говорим о	2	1
58	выходит за пределы	1	1
59	в новое время	1	1
60	было бы сказать	1	1
61	новые формы и	1	1
62	как и в	1	1
63	и не в	2	1
64	том случае если	1	1
65	все это формы	1	1
66	во всяком случае	6	1
67	та или иная	1	1
68	и во всех	1	1
69	в том числе	1	1
70	к вопросу о	1	1
71	еще не было	1	1
72	это значит что	1	1
73	в своем развитии	1	1
74	жизни а это	1	1
75	ни в чем	1	1
76	смысле в каком	1	1
77	и не может	5	1
