N	3gram	Tiupa_Narr	Problemy
1	то же время	3	26
2	в то же	3	26
3	с точки зрения	2	25
4	по отношению к	6	18
5	о себе самом	1	17
6	в этом смысле	1	16
7	на самом деле	1	15
8	не может быть	5	14
9	до сих пор	1	10
10	в самом деле	1	9
11	с другой стороны	4	9
12	в том что	8	8
13	друг с другом	1	8
14	и в то	1	7
15	бы то ни	3	7
16	в отличие от	5	6
17	не входит в	1	6
18	то ни было	3	6
19	к чужому слову	1	6
20	том что он	1	6
21	в той или	2	5
22	бы он ни	1	5
23	он ни был	1	5
24	сам по себе	1	5
25	к тому же	4	5
26	той или иной	4	5
27	по крайней мере	1	5
28	а не как	1	5
29	но все же	4	5
30	подобно тому как	2	5
31	можно было бы	2	5
32	и не в	4	4
33	к тому чтобы	1	4
34	он не может	1	4
35	тем не менее	3	4
36	сами по себе	2	4
37	так и в	1	4
38	более или менее	2	4
39	само по себе	1	4
40	и прежде всего	1	4
41	то что было	1	4
42	о том что	6	4
43	как и в	1	4
44	в этом отношении	3	4
45	на протяжении всего	1	4
46	может быть и	1	4
47	все то что	1	3
48	точку зрения на	1	3
49	можно сказать что	4	3
50	как мы уже	1	3
51	в данном случае	4	3
52	все без исключения	1	3
53	никогда не бывает	1	3
54	все же не	4	3
55	как мы видели	1	3
56	как мы увидим	1	3
57	уст в уста	1	2
58	и другого в	1	2
59	или иной степени	1	2
60	то что он	1	2
61	или иной форме	1	2
62	пространстве а не	1	2
63	в том же	1	2
64	оно стремится к	1	2
65	в свою очередь	3	2
66	дело в том	1	2
67	ни одного слова	1	2
68	друг от друга	1	2
69	как бы не	1	2
70	в том или	2	2
71	в нем не	1	2
72	а не в	2	2
73	то же самое	1	2
74	только то что	1	2
75	но это не	1	2
76	каков бы он	1	2
77	этой точки зрения	2	2
78	какой бы то	1	2
79	отношению к нему	1	2
80	в значительной степени	2	2
81	с таким же	1	2
82	не только в	2	2
83	во всей его	1	2
84	и не то	1	2
85	же как и	1	2
86	лишь одним из	1	2
87	из уст в	1	2
88	в этом последнем	1	2
89	прежде всего в	1	2
90	так же как	2	1
91	не о том	1	1
92	и как бы	1	1
93	на всем протяжении	1	1
94	так и для	1	1
95	и даже не	1	1
96	по себе а	1	1
97	отношению к самому	1	1
98	до известной степени	1	1
99	единства подобно тому	1	1
100	в том числе	6	1
101	кто иной как	1	1
102	они и не	1	1
103	во всех его	1	1
104	героя но и	1	1
105	может показаться что	1	1
106	немногочисленных случаях когда	1	1
107	к своему герою	1	1
108	но в таком	1	1
109	всех без исключения	1	1
110	не отличается от	2	1
111	и тот же	1	1
112	и столь же	1	1
113	он думает и	1	1
114	точке зрения на	1	1
115	или может быть	1	1
116	в таком случае	2	1
117	одного и того	1	1
118	так или иначе	2	1
119	может быть только	1	1
120	формы сами по	1	1
121	высказывания и в	1	1
122	никогда и не	1	1
123	пользуются для передачи	1	1
124	в первом случае	2	1
125	иметь в виду	1	1
126	с его собственным	1	1
127	здесь не в	2	1
128	в другое противоположное	1	1
129	том числе и	4	1
130	точно так же	2	1
131	тех или иных	1	1
132	и в форме	2	1
133	к другому что	1	1
134	по себе не	1	1
135	и того же	1	1
136	которая может быть	1	1
137	в связи с	2	1
138	в произведении и	1	1
139	чужой речи и	1	1
140	оно и не	1	1
141	не довлеет себе	1	1
142	не может не	2	1
143	перед нами не	2	1
144	а не только	1	1
145	в равной степени	1	1
146	на первый взгляд	2	1
147	не мог бы	1	1
148	между ними не	1	1
149	он не есть	1	1
150	их друг с	1	1
151	может и не	1	1
152	в другом и	1	1
153	мог бы быть	2	1
154	отношение к своему	1	1
155	того или иного	2	1
156	и как будто	1	1
157	в известном смысле	2	1
158	к другому сознанию	1	1
159	не в его	1	1
160	но не может	1	1
161	это не так	1	1
162	обратим внимание на	1	1
163	не кто иной	1	1
164	не было и	1	1
165	не с точки	1	1
166	и в особенности	1	1
167	так и не	2	1
168	тому или другому	1	1
169	ничем не отличается	1	1
170	что в плане	1	1
171	том или ином	2	1
172	человека с его	1	1
173	к одному из	1	1
174	и не было	1	1
175	героя в мире	1	1
176	независимо от того	1	1
177	ни на что	1	1
178	к самому герою	1	1
179	то что они	1	1
180	все те же	4	1
181	несмотря на свою	1	1
182	здесь не только	1	1
183	в этом не	1	1
184	но и внутренняя	1	1
185	его жизни и	1	1
186	это и ставит	1	1
187	что оно есть	1	1
188	авторской позиции и	1	1
189	что каждый из	1	1
190	именно в том	2	1
191	есть прежде всего	1	1
192	один и тот	1	1
193	и больше всего	1	1
194	и то что	1	1
195	он не мог	1	1
196	нельзя сказать о	1	1
197	она может быть	1	1
198	двух сознаний в	1	1
199	все равно что	1	1
200	или хотя бы	1	1
201	с одной стороны	7	1
202	героя в этом	1	1
203	точки зрения и	1	1
204	в рамках этого	1	1
205	похоже было как	1	1
206	не в чем	1	1
207	самом деле не	1	1
208	один из этих	1	1
