N	3gram	Savitsky_P	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	3	7
3	с точки зрения	3	6
4	во всяком случае	1	6
5	друг с другом	1	5
6	для того чтобы	1	5
7	в том числе	2	5
8	более или менее	1	5
9	том числе и	1	4
10	с тем чтобы	1	4
11	в том что	4	3
12	так же как	1	3
13	в значительной мере	2	2
14	на пути к	1	2
15	есть как бы	1	2
16	заключает в себе	2	2
17	по сравнению с	1	2
18	то же время	7	2
19	в том виде	1	2
20	в то же	7	2
21	и в этом	1	2
22	сами по себе	3	1
23	иначе как на	1	1
24	то что от	1	1
25	но в общем	1	1
26	совершенно ясно что	1	1
27	именно потому что	1	1
28	есть не более	1	1
29	все существующее в	1	1
30	что все существующее	1	1
31	а с тем	1	1
32	в настоящее время	1	1
33	чуть ли не	1	1
34	как бы часть	1	1
35	существующее в мире	1	1
36	но в то	1	1
37	не может быть	1	1
38	поскольку они являются	1	1
39	и в то	2	1
40	в отличие от	1	1
41	в эту эпоху	1	1
42	в области религиозной	1	1
43	что в этом	1	1
44	не более как	1	1
45	весьма вероятно что	1	1
46	в области отношения	1	1
47	с другой стороны	1	1
48	тем и другим	1	1
49	не в том	1	1
50	ни к чему	1	1
51	сливаются в одно	1	1
52	сам как бы	1	1
53	не только как	1	1
54	области отношения к	1	1
55	ни на какие	1	1
56	сменяют друг друга	1	1
