N	2gram	Medvedev_U	VelikijI
1	и не	8	20
2	и в	14	16
3	то что	7	9
4	и потому	1	7
5	а не	10	7
6	человека и	1	6
7	не есть	2	6
8	того что	1	5
9	все это	5	5
10	но и	4	5
11	все что	1	4
12	в котором	1	4
13	в этом	7	4
14	что мы	2	4
15	в его	2	4
16	во мне	1	4
17	в ней	1	4
18	так и	1	4
19	и все	1	4
20	что все	2	4
21	как и	3	4
22	что он	2	4
23	в нем	1	4
24	что в	1	3
25	бы и	2	3
26	в конце	2	3
27	должно быть	1	3
28	если не	2	3
29	хотя бы	5	3
30	в том	2	3
31	не в	2	3
32	и что	1	3
33	что и	2	3
34	они в	1	3
35	превращается в	2	3
36	не было	1	3
37	их в	1	3
38	в своей	3	3
39	должна быть	2	3
40	с его	2	3
41	но это	2	3
42	и для	2	3
43	тот же	1	3
44	но в	3	3
45	никогда не	1	3
46	что было	1	2
47	его и	2	2
48	мы и	2	2
49	более чем	2	2
50	это не	3	2
51	между тем	2	2
52	не только	10	2
53	для него	3	2
54	вот почему	7	2
55	является в	2	2
56	ее в	1	2
57	и то	3	2
58	прежде всего	8	2
59	а между	2	2
60	и это	1	2
61	мы не	2	2
62	конечно не	4	2
63	только в	2	2
64	нет и	1	2
65	но не	2	2
66	тем что	2	2
67	могут быть	2	2
68	с тем	1	2
69	не могут	2	2
70	том что	2	2
71	почему в	1	2
72	так много	1	2
73	уже не	1	2
74	взятого в	1	1
75	с которыми	1	1
76	в самом	2	1
77	бы то	3	1
78	перестает быть	5	1
79	конечно это	1	1
80	могли бы	2	1
81	то есть	1	1
82	все в	1	1
83	и быть	1	1
84	ее к	1	1
85	вообще в	1	1
86	может быть	6	1
87	свое место	1	1
88	того как	1	1
89	она не	1	1
90	для себя	1	1
91	то же	5	1
92	то ни	3	1
93	не для	1	1
94	не поднимается	1	1
95	это значит	1	1
96	о чем	2	1
97	если нет	1	1
98	у нас	3	1
99	отказ от	1	1
100	в этой	4	1
101	в виду	1	1
102	другой стороны	3	1
103	но что	1	1
104	у него	1	1
105	не существует	1	1
106	в виде	1	1
107	их и	2	1
108	всего что	1	1
109	отказаться от	1	1
110	с другой	4	1
111	в которой	1	1
112	и с	2	1
113	и глубина	1	1
114	то и	1	1
115	или даже	1	1
116	религии и	1	1
117	него не	1	1
118	никогда и	1	1
119	нем но	1	1
120	когда нужно	1	1
121	от смысла	1	1
122	в процессе	1	1
123	но прежде	1	1
124	смысле и	1	1
125	в своем	1	1
126	стороны в	1	1
127	его на	1	1
128	ничего не	2	1
129	от слова	1	1
130	по крайней	2	1
131	о которой	1	1
132	и так	1	1
133	же ведь	1	1
134	все же	3	1
135	поднимается до	1	1
136	в которых	1	1
137	в словах	1	1
138	бы ни	1	1
139	как возможно	1	1
140	а его	2	1
141	и эта	1	1
142	к этому	1	1
143	всего только	1	1
144	в их	4	1
145	это в	1	1
146	конце концов	2	1
147	поскольку он	1	1
148	в известном	1	1
149	он был	1	1
150	не случайно	2	1
151	крайней мере	2	1
152	в искусстве	6	1
153	бы это	1	1
154	бы в	1	1
