N	2gram	Bakhtin_sl	Analitik
1	не только	37	71
2	и в	69	66
3	в качестве	4	61
4	но и	37	57
5	в том	7	52
6	может быть	40	52
7	в этом	21	51
8	в частности	3	51
9	как и	8	50
10	и не	32	48
11	а не	29	42
12	при этом	12	40
13	том что	6	40
14	то есть	46	35
15	так и	22	35
16	в мире	1	31
17	отнюдь не	1	29
18	как бы	16	29
19	не может	27	29
20	а в	10	28
21	в его	19	27
22	и его	45	27
23	не в	14	26
24	но не	7	26
25	в себе	3	24
26	что в	3	22
27	и даже	11	22
28	к тому	3	22
29	в этой	1	22
30	лишь в	6	21
31	о том	5	20
32	и т.п	1	20
33	в самом	6	19
34	то же	17	19
35	в своей	8	19
36	по отношению	2	19
37	с его	8	19
38	но в	13	19
39	в данном	5	18
40	произведения в	2	18
41	в то	17	18
42	отношению к	2	18
43	с другой	8	17
44	только в	9	17
45	со стороны	1	17
46	такого рода	2	17
47	или иной	13	17
48	в целом	3	17
49	что и	2	16
50	могут быть	25	16
51	то что	2	16
52	в пределах	27	16
53	и на	17	15
54	не есть	2	15
55	между тем	5	15
56	уже не	5	15
57	прежде всего	14	15
58	в сущности	18	15
59	в их	6	15
60	в рамках	1	15
61	литературное произведение	1	15
62	не менее	4	14
63	того же	7	14
64	себя в	14	14
65	в себя	3	14
66	той или	13	14
67	мы имеем	1	14
68	же время	15	14
69	в отличие	12	14
70	данном случае	3	14
71	столь же	2	14
72	отличие от	13	14
73	далеко не	7	14
74	по себе	4	13
75	точки зрения	24	13
76	он не	5	13
77	этого слова	2	13
78	ничего не	5	13
79	как раз	3	13
80	для него	8	13
81	а также	5	13
82	в начале	1	13
83	и к	9	12
84	и сам	4	12
85	никогда не	9	12
86	внутренней речи	3	12
87	как это	3	12
88	сводится к	1	12
89	как в	18	12
90	еще не	9	12
91	произведения как	3	12
92	есть не	2	12
93	в той	13	11
94	даже в	4	11
95	по своей	2	11
96	в свою	4	11
97	той же	3	11
98	в сочетании	2	11
99	это не	8	11
100	можно сказать	2	11
101	и как	3	11
102	не с	5	11
103	нуждается в	3	11
104	именно в	5	10
105	все же	10	10
106	максим максимыч	1	10
107	с одной	7	10
108	в конце	1	10
109	было бы	3	10
110	однако в	3	10
111	текста и	1	10
112	и одновременно	2	10
113	отношения к	3	10
114	здесь не	6	10
115	особенно в	3	10
116	того или	2	10
117	один из	9	10
118	говорить о	2	9
119	говорит о	1	9
120	не столько	4	9
121	в результате	4	9
122	другой стороны	5	9
123	на фоне	11	9
124	и того	1	9
125	одной стороны	7	9
126	свою очередь	3	9
127	в своем	9	9
128	крайней мере	1	9
129	таким образом	16	9
130	во всех	25	9
131	за пределы	6	9
132	или иного	2	9
133	только не	2	9
134	особого рода	1	9
135	вместе с	3	9
136	по крайней	1	9
137	автора и	6	9
138	вступает в	2	9
139	того что	4	9
140	как уже	2	9
141	дело с	4	8
142	о чем	1	8
143	роль в	4	8
144	не всегда	1	8
145	между двумя	1	8
146	одной из	4	8
147	в контексте	5	8
148	в барышне-крестьянке	1	8
149	эстетический объект	1	8
150	в сторону	1	8
151	как известно	1	8
152	с ним	12	8
153	нашего времени	1	8
154	если бы	1	8
155	и все	9	8
156	что он	2	8
157	перед нами	7	8
158	не является	3	8
159	в основе	8	8
160	с точки	11	8
161	хотя и	4	8
162	этом отношении	2	8
163	дело не	2	8
164	целого в	1	8
165	он и	1	8
166	одного из	2	8
167	во всяком	9	7
168	в другом	4	7
169	в одном	4	7
170	как мы	15	7
171	в нашем	1	7
172	одна из	6	7
173	по преимуществу	5	7
174	несмотря на	2	7
175	в ее	2	7
176	у него	5	7
177	в таком	5	7
178	героя и	5	7
179	личности и	1	7
180	и тем	3	7
181	в свое	3	7
182	приводит к	2	7
183	свое время	1	7
184	всяком случае	7	7
185	и для	7	7
186	жизни но	2	7
187	в литературе	1	7
188	все это	14	7
189	со своим	13	7
190	в новом	3	7
191	на его	9	7
192	в гробовщике	1	7
193	или иначе	2	7
194	художественного произведения	1	7
195	себя и	2	7
196	место в	2	7
197	во всем	3	6
198	для всех	2	6
199	те же	3	6
200	так или	1	6
201	а напротив	1	6
202	или в	10	6
203	одного и	1	6
204	хотя бы	6	6
205	с другим	1	6
206	вовсе не	16	6
207	из них	3	6
208	то в	2	6
209	тем не	2	6
210	не знает	3	6
211	что не	1	6
212	однако при	1	6
213	о себе	2	6
214	могла бы	1	6
215	его как	3	6
216	в нем	44	6
217	он был	1	6
218	на этом	4	6
219	от своего	1	6
220	вследствие этого	1	6
221	и более	3	6
222	из этих	3	6
223	в сознании	3	6
224	и то	2	6
225	уже в	2	6
226	есть в	1	6
227	должен быть	3	6
228	его в	7	6
229	тем более	1	6
230	же в	2	6
231	все что	1	5
232	которая в	1	5
233	без исключения	2	5
234	не как	4	5
