N	2gram	Bakhtin_fo	Formalny
1	и в	84	95
2	и не	19	78
3	может быть	18	66
4	в этом	41	61
5	не может	8	57
6	и пр	2	53
7	вовсе не	20	53
8	таким образом	14	52
9	и его	26	51
10	так и	17	50
11	точки зрения	14	47
12	в нем	28	42
13	в его	19	42
14	прежде всего	28	41
15	с точки	9	40
16	как и	15	39
17	и т	21	37
18	в самом	9	35
19	не в	10	35
20	а не	7	34
21	в процессе	4	34
22	но и	14	33
23	то же	18	32
24	самом деле	2	32
25	истории литературы	1	31
26	не только	16	30
27	в пределах	8	28
28	в том	16	26
29	отнюдь не	7	26
30	если бы	6	26
31	то что	13	25
32	при этом	8	24
33	в своей	2	24
34	на почве	2	24
35	лишь в	8	24
36	на самом	1	24
37	с помощью	5	23
38	было бы	2	23
39	связи с	14	23
40	в ней	4	23
41	в то	13	22
42	и ее	4	22
43	и с	10	21
44	что в	9	21
45	в истории	6	21
46	как бы	11	21
47	между ними	5	20
48	с тем	5	20
49	входит в	3	20
50	как мы	19	20
51	и от	3	20
52	же время	13	20
53	место в	4	20
54	в их	9	20
55	по себе	3	19
56	хотя бы	2	19
57	т д	3	19
58	не могут	4	19
59	все это	10	19
60	все же	12	18
61	в связи	13	18
62	т п	18	18
63	должна быть	1	18
64	только в	12	18
65	и все	10	18
66	с его	10	18
67	все эти	12	18
68	и их	11	18
69	именно как	4	17
70	как раз	13	17
71	как в	10	17
72	более того	4	17
73	во всяком	5	16
74	с другой	4	16
75	так же	7	16
76	всяком случае	1	16
77	в искусстве	1	16
78	совершенно не	3	16
79	потому что	11	16
80	именно в	5	15
81	должно быть	6	15
82	с другими	3	15
83	его в	8	15
84	бы в	1	15
85	во всех	13	15
86	и на	13	15
87	так как	12	15
88	но в	16	15
89	в поэзии	2	15
90	в литературе	17	15
91	в жизни	6	14
92	только на	3	14
93	в своем	8	14
94	в ее	6	14
95	в этой	3	14
96	что он	2	14
97	вместе с	9	14
98	еще не	8	14
99	если мы	2	14
100	произведения и	1	14
101	и потому	4	14
102	жизни и	12	14
103	в целом	2	14
104	в результате	6	13
105	тем что	4	13
106	что и	5	13
107	ни в	9	13
108	как его	3	13
109	могут быть	7	13
110	независимо от	1	13
111	для них	3	13
