N	3gram	Bakhtin_Pr	FransuaR
1	то же время	3	55
2	в то же	3	55
3	как мы уже	1	28
4	в том что	3	27
5	до сих пор	1	27
6	в большинстве случаев	5	22
7	с точки зрения	6	20
8	но в то	1	20
9	в этом отношении	2	20
10	для того чтобы	2	17
11	в связи с	1	16
12	то есть в	1	15
13	но и в	2	15
14	и прежде всего	5	14
15	не может быть	11	13
16	дело в том	1	13
17	с одной стороны	3	13
18	на самом деле	3	13
19	а также и	1	12
20	в известной мере	1	12
21	и в то	2	12
22	с другой стороны	4	12
23	все то что	3	11
24	в отличие от	5	11
25	можно сказать что	2	11
26	самом же деле	1	10
27	таким образом и	1	10
28	той или иной	2	10
29	как и в	1	10
30	на самом же	1	10
31	в данном случае	4	10
32	в значительной степени	1	10
33	не только в	2	10
34	по отношению к	19	9
35	так и в	2	9
36	зрения на мир	1	9
37	до известной степени	1	9
38	в свое время	1	9
39	таким образом в	1	8
40	в его целом	5	8
41	его связь с	1	8
42	и др в	2	8
43	на протяжении всего	1	8
44	в самом деле	3	7
45	в то время	1	7
46	о том как	1	7
47	и в романе	1	7
48	в узком смысле	1	7
49	можно было бы	3	7
50	и в других	1	7
51	на первый план	2	7
52	в настоящее время	1	7
53	подобно тому как	1	7
54	в следующей главе	1	7
55	во всех его	4	6
56	выходит за пределы	1	6
57	и во всех	2	6
58	то есть только	1	6
59	существенное отношение к	1	6
60	в свою очередь	1	6
61	одной стороны и	1	5
62	это как бы	1	5
63	в применении к	3	5
64	мы уже указывали	1	5
65	то же самое	2	5
66	всех этих явлений	1	5
67	со всеми его	1	5
68	по сравнению с	1	5
69	и в частности	2	5
70	и с его	2	5
71	в том же	2	5
72	в изобразительных искусствах	2	5
73	в первом случае	1	5
74	это и есть	1	5
75	в основе своей	3	5
76	то что в	1	4
77	начало и конец	2	4
78	но несмотря на	1	4
79	никакому сомнению что	1	4
80	не нуждается в	1	4
81	свое отражение в	1	4
82	на этот вопрос	1	4
83	как мы увидим	3	4
84	в нем и	1	4
85	также и в	1	4
86	может быть и	1	4
87	так например в	1	4
88	в строгом смысле	2	4
89	о мире и	1	4
90	в нем не	1	4
91	и не может	2	4
92	и в самом	1	4
93	а следовательно и	1	4
94	и в них	2	4
95	конечно не в	1	4
96	и как бы	1	3
97	в нашем примере	2	3
98	смысле этого слова	1	3
99	в особенности же	1	3
100	между тем как	5	3
101	и др и	1	3
102	не входит в	4	3
103	со всех сторон	2	3
104	но конечно не	1	3
105	мир в его	1	3
106	в меньшей степени	1	3
107	не дает нам	1	3
108	в этом смысле	3	3
109	имеется в виду	1	3
110	в ее целом	1	3
111	в значительной своей	1	3
112	о том какое	1	3
113	и не в	1	3
114	есть не что	1	3
115	бы то ни	3	3
116	образом и в	1	3
117	и в том	1	3
118	и в этом	1	3
119	и в изобразительных	1	3
120	не что иное	1	3
121	в связи со	1	3
122	что иное как	1	3
123	она никогда не	1	2
124	в одном и	1	2
125	точка зрения на	1	2
126	чрезвычайно характерно для	1	2
127	и в другом	1	2
128	его отношение к	1	2
129	в коем случае	2	2
130	какое же значение	1	2
131	как в его	1	2
132	всего сказанного нами	1	2
133	и не вполне	1	2
134	в своем роде	1	2
135	и в общем	1	2
136	далеко не все	1	2
137	то ни было	2	2
138	в нем нет	1	2
139	дает нам право	1	2
140	и может быть	1	2
141	ни в одну	1	2
142	все они в	1	2
143	мы здесь не	2	2
144	не обходится и	1	2
145	со всеми другими	1	2
146	тесно связан с	1	2
147	культуры и в	1	2
148	конечно никакому сомнению	1	2
149	с помощью которого	1	2
150	свою связь с	1	2
151	рядом с ним	1	2
152	хотя бы в	1	2
153	не могут быть	2	2
154	никогда не может	2	2
155	притом не только	1	2
156	то есть чисто	2	2
157	в конечном счете	4	2
158	можем сказать что	1	2
159	в себе все	1	2
160	которой можно было	1	2
161	здесь же мы	1	2
162	самое существенное отношение	1	2
163	может быть только	3	2
164	мы можем сказать	2	2
165	ни в коем	2	2
166	том же самом	2	2
167	только в пределах	1	2
168	в самой литературе	1	2
169	не подлежит конечно	1	2
170	и в его	1	2
171	его то есть	1	2
172	и не к	1	2
173	к нему и	2	2
174	же время этот	1	2
175	направлен не на	1	2
176	можно определить как	1	2
177	в тех же	1	2
178	и в нем	3	2
179	что дело идет	1	2
180	и с точки	1	2
181	в нашу задачу	1	2
182	подлежит конечно никакому	1	2
183	его целом в	1	2
184	конечно и в	1	2
185	к себе самому	1	2
186	настоящее время в	1	2
187	в таких случаях	1	2
188	в другом случае	1	2
189	большинстве случаев не	2	2
190	прежде всего от	1	2
191	и в области	2	2
192	но вся эта	1	2
193	что с ним	1	2
194	отношению к которому	1	1
195	следует однако отметить	1	1
196	и исторической жизни	1	1
197	сплошь во всех	1	1
198	она перестает быть	1	1
199	с его помощью	1	1
200	которой ничто не	1	1
201	независимо от него	1	1
202	художественное творчество и	3	1
203	тем как в	2	1
204	однако отметить что	1	1
205	более того можно	1	1
206	что все они	1	1
207	здесь прежде всего	1	1
208	только там где	2	1
209	то что не	1	1
210	например в романе	1	1
211	за пределы этого	1	1
212	хотя бы и	1	1
213	имеет второстепенное значение	1	1
214	в таких же	1	1
215	в новом свете	1	1
216	что не имеет	1	1
217	далеко не всегда	3	1
218	не совпадает с	2	1
219	природой и с	1	1
220	и выражения и	1	1
221	и не столь	1	1
222	же мы должны	1	1
223	и должна быть	1	1
224	нем не только	1	1
225	во всех своих	2	1
226	а иногда даже	1	1
227	не могла бы	1	1
228	в области изучения	2	1
229	и тем самым	2	1
230	в чем не	2	1
231	и мы можем	1	1
232	но это чувство	1	1
233	тем самым и	1	1
234	с трудом она	1	1
235	чем иным как	1	1
236	не может иметь	1	1
237	его не могут	1	1
238	значение имеет для	1	1
239	жизни и искусства	1	1
240	и пр в	1	1
241	имеет дело с	4	1
242	в своем стремлении	1	1
243	одна из важнейших	1	1
244	с помощью всех	1	1
245	но здесь она	1	1
246	одной из важнейших	2	1
247	в художественном произведении	4	1
248	во всем в	1	1
249	может и не	2	1
250	все эти моменты	2	1
251	художественной формы и	1	1
252	они могут быть	1	1
253	входит в наши	1	1
254	человека и его	1	1
255	в истории и	1	1
256	еще ждет своего	1	1
257	единый в своем	1	1
258	только в его	1	1
259	художественном творчестве не	1	1
260	как и для	2	1
261	первом случае мы	1	1
262	и потому в	1	1
263	а между тем	1	1
264	же время она	1	1
265	точка зрения не	1	1
266	его а не	1	1
267	необходимо подчеркнуть что	1	1
268	момент как мы	1	1
269	резко отличается от	1	1
270	его моментах как	1	1
271	все остальные моменты	1	1
272	видит в них	1	1
273	в художественном творчестве	9	1
274	только таким путем	1	1
275	это можно выразить	1	1
276	как это ни	1	1
277	смысле слова но	1	1
278	то или иное	2	1
279	только в искусстве	2	1
280	в наши задачи	1	1
281	в более широкие	1	1
282	всех его моментах	1	1
283	высшей степени характерно	1	1
284	которой не было	1	1
285	кроме того и	1	1
286	в виду что	1	1
287	включающее в себя	1	1
288	и отнюдь не	1	1
289	тем или иным	1	1
290	с тем что	1	1
291	язык в его	1	1
292	находит свое отражение	1	1
293	та или иная	1	1
294	душу и тело	1	1
295	то есть к	1	1
296	что в некоторых	1	1
297	более того в	1	1
298	имеет дело только	2	1
299	в этом последнем	1	1
300	до того времени	1	1
301	правильная постановка проблемы	1	1
302	отношения к миру	1	1
303	ни в чем	2	1
304	во всех отношениях	1	1
305	характерно и для	1	1
306	является таким образом	1	1
307	и не менее	1	1
308	строгом смысле слова	1	1
309	его тела и	1	1
310	характер в романе	1	1
311	что в его	1	1
312	их и в	1	1
313	во всем последующем	1	1
314	одной стороны в	1	1
315	оно может быть	1	1
316	здесь входит в	1	1
317	отмеченное нами выше	1	1
318	независимо от их	1	1
319	образом в основе	1	1
320	обходится и без	1	1
321	в ней в	1	1
322	всех своих моментах	2	1
323	тем не менее	3	1
324	сказать и о	2	1
325	то на фоне	1	1
326	то есть не	1	1
327	не в том	1	1
328	в главе первой	1	1
329	протяжении всего романа	1	1
330	сами по себе	1	1
331	дело конечно не	1	1
332	подчеркиваем что дело	1	1
333	не чем иным	1	1
334	что все эти	1	1
335	для художника и	1	1
336	только на основе	1	1
337	если бы мы	1	1
338	в мире в	1	1
339	не может стать	1	1
340	может быть конечно	1	1
341	может быть чисто	1	1
342	мире и человеке	1	1
343	в высшей степени	5	1
344	но в основе	1	1
345	лицом к лицу	1	1
346	и в современной	1	1
347	и в таких	1	1
348	том и в	1	1
349	лежат в совершенно	1	1
350	и смысловых связей	1	1
351	в этом существенное	2	1
352	и его художественное	1	1
353	и как таковой	1	1
354	на этом основании	1	1
355	или хотя бы	1	1
356	раз и навсегда	1	1
357	есть именно то	1	1
358	оценки то есть	2	1
359	вовсе не как	1	1
360	в том и	1	1
361	по аналогии с	1	1
362	они ничему не	1	1
363	не проникает в	1	1
364	того или иного	2	1
365	в их целом	1	1
366	к этому как	1	1
367	в какой мере	2	1
368	на то что	1	1
369	следующей главе посвященной	1	1
370	и как мы	1	1
371	в первых главах	1	1
372	в некоторых случаях	1	1
373	несмотря на весьма	1	1
374	то есть вне	1	1
375	именно то что	1	1
376	по своему значению	1	1
377	чтобы войти в	1	1
378	и искусства и	1	1
379	его в области	1	1
380	вопрос о том	1	1
381	хотя и не	1	1
382	как бы две	1	1
383	имеют дело с	1	1
384	но и во	1	1
385	нам важно лишь	1	1
386	не во всех	2	1
387	в лучшем случае	2	1
388	не является исключением	1	1
389	и ничего не	1	1
390	этом существенное отличие	2	1
391	мы будем называть	1	1
392	что и здесь	1	1
393	то есть его	2	1
394	бы они ни	1	1
395	лишь там где	2	1
396	именно в том	1	1
397	но что в	1	1
398	конечно и не	2	1
399	с ее методами	1	1
400	и независимо от	1	1
401	самом деле и	1	1
402	прежде всего и	1	1
403	же значение имеет	1	1
404	от всех других	1	1
405	то время как	1	1
406	с природой и	1	1
407	отличающая его от	1	1
