N	3gram	Kanaev_Sov	SlovoVZh
1	по отношению к	1	11
2	не может быть	4	7
3	в том что	1	4
4	дело в том	1	4
5	то ни было	1	3
6	до сих пор	1	3
7	это как бы	1	3
8	бы то ни	1	3
9	тем не менее	2	3
10	и не может	1	3
11	может быть и	2	3
12	на самом деле	1	2
13	одной стороны и	1	2
14	то же самое	2	2
15	в данном случае	1	2
16	в зависимости от	4	2
17	с одной стороны	1	2
18	но отнюдь не	1	2
19	с точки зрения	5	2
20	но тем не	1	2
21	в настоящее время	2	2
22	в такой же	1	2
23	сами по себе	1	1
24	в самом деле	1	1
25	один и тот	1	1
26	еще раз подчеркнуть	1	1
27	все более и	1	1
28	в свою очередь	2	1
29	и тот же	1	1
30	но уже в	1	1
31	переводе с греческого	1	1
32	и та же	1	1
33	может находиться в	1	1
34	какой бы то	1	1
35	сводится только к	1	1
36	метод в науке	1	1
37	во всяком случае	2	1
38	она не может	1	1
39	физические и химические	1	1
40	равно как и	1	1
41	в этом направлении	1	1
42	и что она	1	1
43	раз подчеркнуть что	1	1
44	с самого начала	3	1
45	с помощью которой	1	1
46	в конечном счете	1	1
47	одна и та	1	1
48	по аналогии с	1	1
49	из двух частей	1	1
50	можно было бы	1	1
51	так же как	1	1
52	то же время	1	1
53	точки зрения уже	1	1
54	и прежде всего	1	1
55	более и более	1	1
56	в то же	1	1
57	и в этом	1	1
58	по крайней мере	1	1
59	все эти три	1	1
60	в этом смысле	1	1
61	ровно ничего не	1	1
62	но все же	1	1
63	может быть только	1	1
