N	3gram	Vinokur_St	Analitik
1	в том что	29	25
2	не может быть	5	19
3	по отношению к	3	18
4	в то же	5	16
5	о том что	19	15
6	в данном случае	7	14
7	в отличие от	1	14
8	то же время	5	14
9	той или иной	1	14
10	к тому же	2	13
11	мы имеем дело	1	11
12	того или иного	4	9
13	с другой стороны	8	9
14	в том чтобы	1	9
15	по крайней мере	2	9
16	с одной стороны	2	9
17	с точки зрения	10	8
18	как и в	2	8
19	не только в	4	8
20	в этом отношении	13	8
21	в свое время	3	7
22	во всяком случае	8	7
23	тем не менее	4	6
24	так или иначе	3	6
25	в той или	1	5
26	не только не	2	5
27	но и в	2	5
28	в этом случае	3	5
29	имеем дело с	2	5
30	в самом деле	7	4
31	обращает на себя	2	4
32	для того чтобы	13	4
33	не в том	3	4
34	в первой строфе	2	4
35	в соответствии с	1	4
36	и не может	1	4
37	и в этом	4	4
38	в ответ на	1	4
39	на себя внимание	1	4
40	и не в	1	4
41	в этом смысле	2	4
42	в известном смысле	1	4
43	в значительной степени	2	4
44	том что он	6	4
45	быть не может	1	3
46	и то что	2	3
47	и т п	11	3
48	одни и те	1	3
49	хотя бы и	2	3
50	дело не в	2	3
51	в том числе	3	3
52	сам по себе	1	3
53	сами по себе	2	3
54	бы то ни	2	3
55	речь идет о	3	3
56	в зависимости от	2	3
57	а в том	1	3
58	то ни было	1	3
59	а не в	1	3
60	и те же	1	3
61	и в самом	3	3
62	дело в том	7	3
63	содержит в себе	1	3
64	между тем в	1	3
65	мере в какой	3	2
66	что он не	5	2
67	судя по его	1	2
68	не только к	1	2
69	с легкой руки	1	2
70	в применении к	3	2
71	в той мере	2	2
72	в отдельных случаях	1	2
73	более или менее	2	2
74	можно было бы	8	2
75	каждом отдельном случае	1	2
76	во втором случае	2	2
77	одних и тех	1	2
78	до сих пор	12	2
79	и тех же	1	2
80	в обоих случаях	2	2
81	смысле этого слова	1	2
82	в каждом отдельном	1	2
83	а с другой	1	2
84	той мере в	2	2
85	и то же	1	2
86	текста как и	1	2
87	к тому что	4	2
88	по этому пути	1	2
89	так и на	1	2
90	во многих отношениях	1	2
91	в том и	1	2
92	мысль о том	1	2
93	на то что	5	2
94	не столько в	1	2
95	заключается в том	4	2
96	смешно как мелодрама	1	2
97	в таких случаях	1	2
98	тем более что	2	2
99	а между тем	2	2
100	не должен быть	1	2
101	на этот вопрос	2	2
102	не говоря уже	2	2
103	в одной из	3	2
104	одно и то	1	2
105	но в то	2	2
106	в равной мере	2	2
107	в этой системе	1	2
108	тем или иным	3	2
109	говоря уже о	2	2
110	что же касается	3	2
111	не следует однако	1	2
112	в целом ряде	1	1
113	в безударном положении	1	1
114	для него самого	2	1
115	отвечает на этот	1	1
116	в целом я	1	1
117	но то что	1	1
118	ответ на вопрос	2	1
119	как и во	1	1
120	в статье о	3	1
121	принадлежат к числу	1	1
122	должны были бы	1	1
123	как будто бы	1	1
124	что во времена	2	1
125	произведения в том	1	1
126	ведь и сам	1	1
127	и в данном	2	1
128	и даже не	2	1
129	и на все	1	1
130	он не должен	1	1
131	воспоминания в царском	1	1
132	о том как	1	1
133	в той же	2	1
134	очень близко к	1	1
135	дело не только	1	1
136	как и вообще	2	1
137	во всех этих	1	1
138	я не имею	1	1
139	его собственному признанию	1	1
140	то что с	1	1
141	то или иное	3	1
142	другое дело когда	1	1
143	та и другая	1	1
144	такое отношение к	1	1
145	в том-то и	2	1
146	в какой он	1	1
147	а то что	1	1
148	ровным счетом ничего	1	1
149	не столько как	1	1
150	в том же	3	1
151	как это принято	1	1
152	в каждом из	1	1
153	текста и его	1	1
154	что каждая из	1	1
155	или иного из	1	1
156	что в новом	2	1
157	в пушкинскую эпоху	1	1
158	друг от друга	1	1
159	свидетельствует о том	1	1
160	на вопрос о	3	1
161	однако с другой	1	1
162	не только имеет	1	1
163	что у него	1	1
164	внимание лишь на	1	1
165	то что она	1	1
