N	4gram	Berdyaev_M	Problema
1	не что иное как	4	14
2	в то время как	2	12
3	есть не что иное	3	11
4	в том смысле что	1	5
5	можно ли сказать что	1	5
6	ни в чем не	2	5
7	так же как и	1	4
8	и вместе с тем	4	3
9	это не значит что	1	3
10	когда мы говорим что	1	3
11	не сам по себе	1	3
12	в том что он	1	3
13	все более и более	1	2
14	не сама по себе	1	2
15	одной и той же	2	2
16	а может быть и	1	2
17	и там и здесь	6	2
18	мы имеем в виду	1	2
19	не может быть никакого	1	2
20	друг к другу и	2	1
21	стороны моих мыслей и	1	1
22	легенда о великом инквизиторе	1	1
23	только самых гадких и	1	1
24	тем что он не	1	1
25	и есть не что	1	1
26	моей стороны моих мыслей	1	1
27	одной впрочем моей стороны	1	1
28	в преступлении и наказании	1	1
29	в обычном смысле слова	1	1
30	в записках из подполья	2	1
31	только одной впрочем моей	1	1
32	но это не значит	1	1
33	и в самом деле	1	1
34	чувств только самых гадких	1	1
35	или лучше сказать с	1	1
36	в своей борьбе с	1	1
37	это и есть то	1	1
38	у достоевского нет ни	1	1
39	у нас не было	2	1
40	вместе с тем он	2	1
41	до сих пор не	1	1
42	воплощение меня самого только	1	1
43	что до сих пор	1	1
44	и в конце концов	2	1
45	в том случае если	1	1
46	впрочем моей стороны моих	1	1
47	о том что в	1	1
48	и должно быть в	1	1
49	и не может быть	1	1
50	не может быть и	1	1
51	ни с чем не	1	1
52	это и есть настоящее	1	1
53	добра и зла и	3	1
54	и по сравнению с	1	1
55	самого только одной впрочем	1	1
56	и чувств только самых	1	1
57	том смысле что он	1	1
58	и во многих других	1	1
59	есть знак того что	1	1
60	и есть то что	1	1
61	свободы человеческого духа свободы	1	1
62	моих мыслей и чувств	1	1
63	может быть и речи	1	1
64	по своему значению и	1	1
65	настаивать на том что	1	1
66	есть та или иная	1	1
67	с тем что в	1	1
68	он не может быть	1	1
69	самых гадких и глупых	1	1
70	меня самого только одной	1	1
71	мыслей и чувств только	1	1
72	на том основании что	2	1
