N	4gram	Vygotskiy_	VerxiiNi
1	в том числе и	3	4
2	бы то ни было	1	2
3	с этой точки зрения	1	2
4	в то же время	1	2
5	но вместе с тем	4	2
6	в том виде в	1	2
7	точно так же как	1	2
8	состоит в том что	3	1
9	вместе с тем и	1	1
10	но тем не менее	1	1
11	может показаться что учение	1	1
12	указывает на то что	3	1
13	или по крайней мере	1	1
14	в чем именно заключается	1	1
15	не указывает на то	1	1
16	одном и том же	1	1
17	заключает в себе две	1	1
18	том виде в каком	1	1
19	только в силу этого	1	1
20	с точки зрения того	1	1
21	все что мы знаем	1	1
22	но и потому что	1	1
23	мы имеем в виду	1	1
24	с психологической точки зрения	1	1
25	и в то же	1	1
26	все более и более	3	1
27	совершенно так же как	1	1
28	и только в силу	1	1
29	и в этом отношении	1	1
30	с первого взгляда может	1	1
31	в одном и том	1	1
32	а с другой стороны	3	1
33	один и тот же	1	1
