N	2gram	Potebnia_M	Formalny
1	и в	48	95
2	и не	28	78
3	может быть	46	66
4	в этом	19	61
5	не может	18	57
6	вовсе не	13	53
7	таким образом	24	52
8	и его	4	51
9	так и	17	50
10	точки зрения	4	47
11	в нем	16	42
12	в его	6	42
13	прежде всего	6	41
14	с точки	3	40
15	как и	22	39
16	и т	12	37
17	художественного произведения	6	36
18	в самом	11	35
19	не в	24	35
20	а не	22	34
21	в процессе	2	34
22	но и	30	33
23	то же	35	32
24	самом деле	5	32
25	не только	32	30
26	в пределах	1	28
27	в том	47	26
28	если бы	20	26
29	то что	37	25
30	при этом	6	24
31	в своей	2	24
32	лишь в	2	24
33	на самом	4	24
34	было бы	16	23
35	связи с	6	23
36	в ней	11	23
37	в то	16	22
38	и ее	1	22
39	и с	4	21
40	что в	30	21
41	в истории	2	21
42	как бы	10	21
43	между ними	4	20
44	с тем	9	20
45	не менее	9	20
46	входит в	3	20
47	как мы	8	20
48	и от	5	20
49	же время	8	20
50	место в	4	20
51	в их	2	20
52	по себе	26	19
53	художественное произведение	6	19
54	хотя бы	3	19
55	т д	5	19
56	не могут	7	19
57	все это	4	19
58	все же	3	18
59	в связи	1	18
60	т п	7	18
61	должна быть	2	18
62	только в	29	18
63	и все	5	18
64	с его	1	18
65	все эти	1	18
66	и их	4	18
67	как в	17	17
68	во всяком	4	16
69	с другой	8	16
70	так же	6	16
71	всяком случае	3	16
72	в искусстве	6	16
73	потому что	82	16
74	именно в	5	15
75	должно быть	9	15
76	с другими	9	15
77	его в	6	15
78	бы в	3	15
79	во всех	1	15
80	и на	5	15
81	так как	20	15
82	но в	8	15
83	в поэзии	4	15
84	в жизни	1	14
85	только на	4	14
86	в своем	6	14
87	в ее	3	14
88	в этой	3	14
89	в единстве	2	14
90	что он	8	14
91	вместе с	22	14
92	еще не	9	14
93	языка и	5	14
94	если мы	2	14
95	произведения и	1	14
96	и потому	9	14
97	жизни и	3	14
98	в целом	5	14
99	в результате	1	13
100	тем что	13	13
101	настоящее время	1	13
102	языка как	1	13
103	что и	16	13
104	ни в	2	13
105	как его	1	13
106	могут быть	6	13
107	независимо от	10	13
108	сводится к	1	13
109	со стороны	4	13
110	что же	3	13
111	в настоящее	1	13
112	того что	24	13
113	как ее	2	13
114	она не	4	13
115	а в	14	13
116	поэтического произведения	2	12
117	история литературы	1	12
118	там где	6	12
119	уже не	11	12
120	к тому	9	12
121	в действительности	7	12
122	по отношению	12	12
123	как это	1	12
124	и здесь	3	12
125	оно не	7	12
