N	3gram	Nazirov_Vr	RusskieA
1	в том что	2	49
2	тем не менее	1	14
3	о том что	1	10
4	но это не	1	8
5	о том же	1	7
6	не может быть	2	6
7	в это время	1	6
8	так же как	1	6
9	в связи с	3	5
10	в то время	1	4
11	во всяком случае	1	4
12	до сих пор	1	3
13	в свою очередь	1	3
14	на то что	1	3
15	с точки зрения	2	3
16	между тем это	1	3
17	все же не	1	3
18	далеко не все	1	3
19	и что в	2	3
20	может быть и	1	3
21	о том как	1	2
22	в е годы	1	2
23	но и как	1	2
24	с другой стороны	1	2
25	равно как и	1	2
26	и в этом	1	2
27	в этом отношении	1	2
28	не только как	1	2
29	в полной уверенности	1	1
30	в том же	1	1
31	можно говорить об	1	1
32	в своем дневнике	1	1
33	но в этот	1	1
34	к этому образу	1	1
35	в году когда	1	1
36	не все ясно	1	1
37	они как бы	1	1
38	многочисленны и разнообразны	1	1
39	и все что	1	1
40	все же в	1	1
41	никто из них	1	1
42	а между тем	1	1
43	друг друга при	1	1
44	точно так же	1	1
45	полной уверенности что	1	1
46	об этом говорят	1	1
47	это не было	1	1
48	при этом он	1	1
49	он считал что	3	1
50	друга при этом	1	1
51	друг у друга	1	1
52	но в целом	1	1
53	а следовательно и	1	1
54	подтверждается тем что	1	1
55	ироническое отношение к	1	1
56	тем более что	1	1
57	независимо от того	1	1
58	очень хорошо знает	1	1
59	о чем говорилось	1	1
60	к себе на	1	1
61	что в нем	1	1
62	на первый взгляд	1	1
63	у себя на	1	1
64	это и есть	1	1
65	на первое место	1	1
