N	2gram	Nazirov_Vr	Russkaja
1	не может	2	22
2	и не	5	19
3	в этом	8	17
4	в том	3	17
5	и в	8	14
6	то что	7	13
7	самим собой	1	12
8	таким образом	2	11
9	то же	5	11
10	точки зрения	2	11
11	но и	7	10
12	же время	5	10
13	в то	5	10
14	не только	9	9
15	с точки	2	9
16	том что	3	9
17	во всяком	1	9
18	может быть	4	9
19	в себе	2	9
20	прежде всего	1	8
21	как на	1	8
22	не будет	1	7
23	россии в	2	7
24	о том	4	7
25	и с	6	7
26	отнюдь не	2	7
27	для всех	1	6
28	если в	1	6
29	для него	2	6
30	все это	4	6
31	в своих	4	6
32	в россии	5	6
33	что он	4	6
34	своего народа	1	6
35	в своем	3	6
36	всяком случае	1	6
37	до сих	1	5
38	из которых	1	5
39	в своей	2	5
40	во всех	1	5
41	сих пор	1	5
42	потому что	1	5
43	в нем	6	5
44	между тем	5	5
45	он не	3	5
46	а между	1	5
47	а в	2	5
48	при этом	4	5
49	было бы	1	5
50	на то	3	5
51	никогда не	2	5
52	что в	7	4
53	во всем	1	4
54	и то	2	4
55	все что	1	4
56	к этой	1	4
57	в его	3	4
58	его в	3	4
59	вместе с	2	4
60	как и	6	4
61	в мире	2	4
62	все же	6	4
63	в их	1	4
64	к вопросу	1	4
65	ли это	1	4
66	которой он	1	4
67	что же	1	4
68	от того	1	4
69	и т.д	1	4
70	как бы	4	4
71	в этой	2	4
72	себя в	1	4
73	жизни и	1	4
74	но не	1	4
75	в самом	1	3
76	то в	1	3
77	что они	1	3
78	и этот	1	3
79	несмотря на	4	3
80	вопросу о	1	3
81	что это	1	3
82	в качестве	1	3
83	не было	5	3
84	связи с	3	3
85	тем что	3	3
86	именно в	1	3
87	россии а	1	3
88	в конце	3	3
89	и как	3	3
90	вряд ли	1	3
91	да и	1	3
92	о котором	1	3
93	не есть	1	3
94	но мы	1	3
95	еще не	2	3
96	русское правительство	1	3
97	россию в	1	3
98	ко всем	1	3
99	одна из	2	3
100	говорить о	1	3
101	что для	1	3
102	и во	3	3
103	с нею	2	3
104	тем чтобы	1	3
105	из этого	1	3
106	он сам	2	3
107	а следовательно	1	3
108	конце концов	1	3
109	друг друга	1	3
110	всех этих	1	3
111	из них	2	3
112	того что	1	3
113	для россии	1	2
114	для русской	1	2
115	к себе	2	2
116	из всех	1	2
117	от нас	1	2
118	с ним	4	2
119	от этой	1	2
120	для нас	4	2
121	одному из	1	2
122	в этих	1	2
123	у него	5	2
124	и даже	6	2
125	себя на	1	2
126	но для	1	2
127	том же	2	2
128	в таком	1	2
129	отношения к	2	2
130	ясно что	1	2
131	их в	2	2
132	себя как	1	2
133	следовательно и	1	2
134	отличается от	1	2
135	так же	4	2
136	тогда как	2	2
137	уже не	2	2
138	при полном	1	2
139	с этим	1	2
140	на россию	1	2
141	его и	2	2
142	а с	2	2
143	– не	1	2
144	в котором	6	2
145	в ней	4	2
146	во многих	1	2
147	быть и	1	2
148	в частности	1	2
149	отношении к	1	2
150	речь идет	3	2
151	в силу	1	2
152	точно так	1	2
153	и что	8	2
154	этого не	1	2
155	людей и	1	2
156	в начале	6	2
157	целый ряд	4	2
158	тем самым	1	2
159	в россию	4	2
160	россию и	1	2
161	на это	2	2
162	бы его	1	2
163	этот человек	2	2
164	в глазах	2	2
165	что только	1	2
166	и от	1	2
167	но в	6	2
168	и есть	1	2
169	место в	2	2
170	и о	3	2
171	это в	2	2
172	но это	2	2
173	во время	2	2
174	не просто	1	2
175	и наконец	1	2
176	к нему	1	2
177	тем не	1	1
178	никто из	1	1
179	ближе к	1	1
180	этого и	1	1
181	связан с	1	1
182	только не	1	1
183	с социализмом	1	1
184	ее и	1	1
185	а другие	1	1
186	один из	1	1
187	человека к	1	1
188	что у	3	1
189	ему что	1	1
190	хочет быть	1	1
191	они не	1	1
192	это будет	1	1
193	время и	2	1
194	собой в	1	1
195	это не	4	1
196	он как	1	1
197	мы знаем	2	1
198	только от	1	1
199	к творчеству	3	1
200	от которого	1	1
201	а это	1	1
202	этом отношении	1	1
203	о себе	3	1
204	в ее	1	1
205	души и	1	1
206	так и	1	1
207	следить за	1	1
208	действительно можно	1	1
209	о которой	2	1
210	верит в	1	1
211	не являются	1	1
212	не хочет	1	1
213	между нами	1	1
214	с исторической	1	1
215	россия в	1	1
216	быть может	1	1
217	но на	1	1
218	все равно	1	1
219	за границей	2	1
220	тому же	1	1
221	большинство русской	1	1
222	как же	2	1
223	что ни	1	1
224	в духе	1	1
225	в разные	1	1
226	а за	1	1
227	а о	1	1
228	при сильном	1	1
229	что к	2	1
230	нем самом	1	1
231	заключается в	1	1
232	на свою	1	1
233	из двух	1	1
234	в будущее	1	1
235	о своей	1	1
236	тогда это	1	1
237	представление о	1	1
238	может в	1	1
239	пор мы	1	1
240	в жизни	1	1
241	более что	1	1
242	человек и	1	1
243	в связи	3	1
244	похож на	1	1
245	же как	2	1
246	между прочим	1	1
247	тому назад	1	1
248	роль в	1	1
249	не менее	2	1
250	всех их	1	1
251	по своему	1	1
252	в истории	4	1
253	прочим и	1	1
254	всеми силами	1	1
255	в свете	1	1
256	в те	3	1
257	к своим	1	1
258	и это	2	1
259	в сторону	1	1
260	европы и	1	1
261	есть по	1	1
262	об этом	5	1
263	христианство с	1	1
264	и стал	2	1
265	что князь	3	1
266	и у	3	1
267	на первый	2	1
268	тем более	2	1
269	по крайней	1	1
270	бы в	1	1
271	не был	1	1
272	на них	1	1
273	первый взгляд	1	1
274	это и	1	1
275	было не	1	1
276	и довольно	1	1
277	человека в	3	1
278	но как	2	1
279	это конечно	1	1
280	в полной	1	1
281	для создания	1	1
282	не учитывать	1	1
283	по которому	1	1
284	его жизни	1	1
285	несомненно в	1	1
286	но ведь	1	1
287	свое место	1	1
288	но которая	1	1
289	он был	3	1
290	это как	1	1
291	чтобы он	3	1
292	говорить не	1	1
293	в свою	2	1
294	он принимает	1	1
295	это то	1	1
296	также и	1	1
297	с тою	1	1
298	но при	1	1
299	единственно возможной	1	1
300	не всегда	1	1
301	разочарование в	1	1
302	постепенно в	1	1
303	своим собственным	1	1
304	самым он	1	1
305	существуют в	1	1
306	не могло	1	1
307	он всегда	1	1
308	и их	1	1
309	что эта	1	1
310	себе на	1	1
311	не об	1	1
312	хотя в	1	1
313	не могла	1	1
314	что ее	1	1
315	вот в	1	1
316	по своей	1	1
317	человека с	2	1
318	свою очередь	1	1
319	на свое	1	1
320	их и	1	1
321	идет о	1	1
322	с ее	1	1
323	с другой	1	1
324	это же	1	1
325	к ним	2	1
326	не противоречат	1	1
327	которых он	1	1
328	ее не	1	1
329	крайней мере	1	1
330	тот кто	1	1
331	могут быть	1	1
332	одного и	1	1
333	и личные	1	1
334	и все	7	1
335	до конца	1	1
336	к которому	1	1
337	у некоторых	1	1
338	это отношение	1	1
339	только при	1	1
340	с которым	2	1
341	с идеями	1	1
342	столь же	2	1
343	на этот	1	1
344	никому не	1	1
345	что о	1	1
346	такой же	1	1
347	идет не	1	1
348	об этой	2	1
349	выражение в	1	1
350	от них	1	1
351	на место	2	1
352	к этому	3	1
353	же это	1	1
354	к своей	1	1
355	у себя	1	1
356	событий и	1	1
357	же он	1	1
358	того же	1	1
359	европейская цивилизация	2	1
360	нетрудно заметить	1	1
361	в одну	2	1
362	был в	1	1
363	в какую-то	1	1
364	в известной	1	1
365	прямо в	1	1
366	по нашему	3	1
367	границей и	1	1
