N	3gram	Berdyaev_N	formyVre
1	но и в	1	12
2	не только в	1	11
3	до сих пор	1	10
4	и того же	1	9
5	одного и того	1	9
6	в большинстве случаев	1	8
7	в том числе	1	8
8	не может быть	4	7
9	в отличие от	1	7
10	с одной стороны	2	6
11	в том что	1	5
12	в то время	1	5
13	том числе и	1	5
14	как и в	1	5
15	и во всех	1	4
16	в нем нет	2	4
17	с другой стороны	2	4
18	равно как и	2	4
19	в средние века	3	4
20	во всяком случае	1	4
21	то время как	1	4
22	наряду с этим	1	3
23	может быть только	1	3
24	сами по себе	1	3
25	в зависимости от	1	3
26	в нем не	1	3
27	что в этом	1	3
28	а не в	1	3
29	к вопросу о	1	3
30	вместе с тем	2	3
31	же как и	1	3
32	о том что	1	3
33	так же как	2	3
34	не в смысле	2	3
35	ни в чем	1	3
36	конечно не в	1	2
37	совершенно так же	1	2
38	прежде всего они	1	2
39	по природе своей	1	2
40	и вместе с	1	2
41	это значит что	1	2
42	все в мире	1	2
43	и должно быть	2	2
44	не было и	1	2
45	со всех сторон	3	2
46	и до сих	1	2
47	большую роль в	2	2
48	по своей природе	1	2
49	и в большинстве	1	2
50	и все они	1	2
51	к жизни и	1	2
52	но она не	1	1
53	и не был	1	1
54	для себя и	1	1
55	в этом смысле	2	1
56	и xx веков	3	1
57	это время как	1	1
58	она совсем не	1	1
59	мы говорим о	1	1
60	про себя а	1	1
61	вступает в свои	1	1
62	когда мы говорим	2	1
63	для того и	1	1
64	значение все это	1	1
65	это не значит	2	1
66	он не имеет	2	1
67	того чтобы быть	1	1
68	жизни все это	1	1
69	потому что не	1	1
70	в высшей степени	6	1
71	в событиях и	1	1
72	заложенных в ней	1	1
73	и еще не	1	1
74	никогда не было	2	1
75	в значительной степени	1	1
76	и стремится к	1	1
77	во времени в	1	1
78	и совсем не	1	1
79	и не может	1	1
80	для будущего все	1	1
81	и к которому	1	1
82	в xix и	1	1
83	дня и ночи	1	1
84	жизни не может	1	1
85	то что в	1	1
86	но наряду с	1	1
87	в историческое время	1	1
88	еще не было	1	1
89	но нет и	1	1
90	и для того	1	1
91	подобно тому как	3	1
92	но это значит	1	1
93	которые могут быть	1	1
94	от бога и	1	1
95	общественной жизни и	1	1
96	человек а не	1	1
97	есть прежде всего	1	1
98	не могут быть	1	1
99	выходит за пределы	1	1
100	в свои права	2	1
101	в новое время	1	1
102	xix и xx	4	1
103	та или иная	1	1
104	что в нем	2	1
105	от других людей	1	1
106	в основе их	1	1
107	есть по существу	1	1
