N	2gram	Ircho_Kome	Freidism
1	таким образом	16	34
2	и не	28	34
3	точки зрения	8	31
4	не может	9	30
5	в этом	18	28
6	может быть	14	28
7	и в	37	28
8	прежде всего	7	26
9	в его	12	25
10	и его	10	22
11	с помощью	4	20
12	мы можем	7	20
13	как бы	7	19
14	как мы	6	18
15	то что	5	17
16	к отцу	2	16
17	вовсе не	6	16
18	с точки	6	15
19	все эти	1	15
20	так как	16	15
21	с ним	10	14
22	в своей	6	14
23	так и	4	14
24	самом деле	13	14
25	в душе	1	13
26	и все	6	13
27	как и	10	13
28	по отношению	6	13
29	но в	7	13
30	во всех	4	13
31	в самом	17	12
32	то же	14	12
33	ни в	14	12
34	что он	15	12
35	том что	22	12
36	точку зрения	1	12
37	для него	1	12
38	все это	7	12
39	и потому	2	12
40	и наконец	1	12
41	мы видели	1	12
42	только в	3	11
43	мы знаем	2	11
44	сказать что	4	11
45	отношению к	4	11
46	его в	9	11
47	все что	6	10
48	один из	6	10
49	не только	13	10
50	и с	5	10
51	но и	18	10
52	конечно не	4	10
53	что же	2	10
54	тот же	11	10
55	никогда не	5	10
56	в том	24	10
57	мы уже	1	10
58	он не	11	10
59	за пределы	3	10
60	не в	7	10
61	и на	6	9
62	те же	1	9
63	во всяком	3	9
64	совершенно не	2	9
65	мы не	6	9
66	человеческого поведения	1	9
67	с его	6	9
68	к этому	11	9
69	к нему	8	9
70	в чем	7	9
71	а не	5	9
72	мы должны	1	9
73	могут быть	3	9
74	при этом	11	8
75	все же	9	8
76	еще не	10	8
77	с этим	5	8
78	было бы	7	8
79	и вот	3	8
80	знаем что	1	8
81	а в	12	8
82	по мнению	2	8
83	с другими	2	8
84	на этом	3	8
85	в ней	7	8
86	всяком случае	3	8
87	что в	11	7
88	и к	4	7
89	не могут	2	7
90	в жизни	1	7
91	роль в	3	7
92	его жизни	2	7
93	хотя бы	5	7
94	в каком	1	7
95	если мы	2	7
96	до конца	4	7
97	что все	1	7
98	и для	7	7
99	из них	11	7
