N	2gram	Bakhtin_KF	Hudozhes
1	в качестве	2	31
2	то есть	1	26
3	в мире	8	24
4	и в	28	23
5	не только	5	20
6	в том	6	20
7	при этом	4	19
8	может быть	45	19
9	и не	28	16
10	но и	9	14
11	а не	17	13
12	но не	12	13
13	а в	5	13
14	я в	1	13
15	в себе	21	13
16	в этом	15	12
17	то же	5	12
18	так и	2	12
19	и его	18	12
20	сводится к	2	11
21	как бы	9	11
22	точки зрения	13	11
23	в его	42	11
24	по отношению	26	10
25	но в	5	10
26	отношению к	22	10
27	в душе	1	9
28	или иной	2	9
29	том что	4	9
30	в искусстве	1	9
31	не в	13	9
32	не может	29	9
33	бытия я	1	8
34	в принципе	2	8
35	себя в	8	8
36	в области	2	8
37	в то	3	8
38	что в	4	7
39	в самом	1	7
40	только в	18	7
41	в своей	11	7
42	в основе	5	7
43	и т.п	1	7
44	же время	2	7
45	я и	5	7
46	как это	1	7
47	по своей	1	7
48	лишь в	8	7
49	отношение к	6	7
50	приводит к	1	6
51	уже не	7	6
52	можно сказать	1	6
53	с ее	2	6
54	художественного творчества	1	6
55	с его	2	6
56	мы имеем	5	6
57	в ее	17	6
58	в нем	32	6
59	эстетическая деятельность	2	5
60	ни в	12	5
61	в виду	3	5
62	конечном счете	1	5
63	что он	2	5
64	не менее	3	5
65	не является	1	5
66	того чтобы	2	5
67	для того	3	5
68	со стороны	8	5
69	я с	1	5
70	как к	2	5
71	для него	13	5
72	того что	3	5
73	прежде всего	4	5
74	картина мира	1	5
75	в их	9	5
76	в конечном	1	5
77	между ними	1	5
78	я есть	1	5
79	той или	3	5
80	тем самым	4	5
81	то что	7	5
82	могут быть	3	5
83	место в	6	5
84	лирический герой	1	5
85	во втором	1	4
86	для себя	7	4
87	не следует	2	4
88	отношения к	1	4
89	еще не	5	4
90	в данном	2	4
91	входит в	4	4
92	в другом	3	4
93	сознания в	2	4
94	говорить о	2	4
95	и т.д	4	4
96	жизни как	5	4
97	в своем	17	4
98	к тому	1	4
99	данности бытия	1	4
100	или иным	2	4
101	на почве	1	4
102	и то	2	4
103	это не	10	4
104	в отношении	1	4
105	его в	5	4
106	не знает	5	4
107	и как	2	4
108	в этих	1	4
109	в себя	8	4
110	а только	1	4
111	того или	3	4
112	между тем	4	4
113	он не	6	4
114	и тем	3	4
115	в форме	1	4
116	и о	1	4
117	или иного	3	4
118	хотя и	1	4
119	и к	1	3
120	к действительности	1	3
121	человеческой жизни	1	3
122	и на	3	3
123	в момент	3	3
124	была бы	1	3
125	если бы	8	3
126	а именно	1	3
127	в жизни	2	3
128	имеет место	1	3
129	как и	5	3
130	к его	1	3
131	их в	1	3
132	никто не	1	3
133	себя и	5	3
134	в иной	1	3
135	тем не	2	3
136	культуры в	1	3
137	и того	2	3
138	к нему	12	3
139	потому что	2	3
140	отношении к	2	3
141	в одном	5	3
142	имеем в	2	3
143	мог бы	1	3
144	во всей	4	3
145	от себя	10	3
146	и для	10	3
147	в системе	1	3
148	к содержанию	2	3
149	он должен	1	3
150	в единое	2	3
151	с точки	10	3
152	эстетического созерцания	5	3
153	как раз	1	3
154	но он	1	3
155	в контексте	5	3
156	эстетического субъекта	2	3
157	по своему	3	3
158	его эстетической	1	3
159	во всех	11	3
160	ценностного центра	4	3
161	в акте	3	3
162	субъекта и	1	3
163	в свою	3	3
164	в которой	1	3
165	не будет	2	3
166	говоря о	1	3
167	этом смысле	3	3
168	того же	1	3
169	одного и	2	3
170	слова в	2	3
171	в точке	1	3
172	не случайно	1	3
173	в целом	10	3
174	и ее	2	3
175	более не	1	2
176	мире и	1	2
177	образом и	1	2
178	один из	2	2
179	жизни а	1	2
180	с ним	5	2
181	жить и	2	2
182	из которых	2	2
183	не как	4	2
184	а затем	1	2
185	одно из	1	2
186	по себе	2	2
187	оно не	2	2
188	эстетической деятельности	1	2
189	самом деле	3	2
190	все эти	11	2
191	имеет дело	1	2
192	именно в	5	2
193	значительной степени	1	2
194	с ними	4	2
195	жизнь на	1	2
196	как в	2	2
197	к бытию	1	2
198	бы не	3	2
199	жизни в	5	2
200	отличается от	1	2
201	вследствие этого	2	2
202	в известном	1	2
203	всей своей	2	2
204	в каком	4	2
205	своей жизни	1	2
206	о том	3	2
207	свою очередь	1	2
208	это и	3	2
209	ни к	2	2
210	полноте и	1	2
211	при условии	2	2
212	вытекает из	2	2
213	между собой	1	2
214	совершенно иной	1	2
215	совпадает с	1	2
216	на основе	7	2
217	во мне	3	2
218	но во	1	2
219	слова и	1	2
220	для меня	22	2
221	не могло	1	2
222	вступает в	3	2
223	может служить	1	2
224	и это	12	2
225	превращается в	1	2
226	времени и	4	2
227	для которого	3	2
228	было и	2	2
229	об этом	1	2
230	должен быть	7	2
231	если мы	1	2
232	заданности и	1	2
233	в нашем	1	2
234	одна из	1	2
235	этого слова	2	2
236	здесь не	3	2
237	в противном	1	2
238	он и	2	2
239	не просто	1	2
240	видения мира	1	2
241	никогда не	5	2
