N	3gram	Losev_Prob	Formalny
1	с точки зрения	13	40
2	не может быть	2	29
3	на самом деле	2	21
4	то же время	1	20
5	в то же	2	20
6	и т д	1	19
7	и т п	1	18
8	в связи с	11	16
9	во всяком случае	6	16
10	в настоящее время	7	13
11	по отношению к	2	12
12	в самом деле	1	11
13	так и в	1	11
14	в этом отношении	4	11
15	бы то ни	4	10
16	в большинстве случаев	1	9
17	с другой стороны	7	9
18	для того чтобы	3	8
19	до сих пор	3	8
20	вместе с тем	5	8
21	как мы видели	1	8
22	с одной стороны	5	8
23	более или менее	1	7
24	того или иного	2	7
25	то ни было	2	7
26	в свою очередь	2	7
27	а вовсе не	1	7
28	и в этом	1	7
29	в том что	13	6
30	сам по себе	3	6
31	в данном случае	5	6
32	не только не	1	6
33	в этом смысле	4	5
34	к тому что	1	5
35	связи с этим	1	5
36	прежде всего в	1	5
37	и не в	2	4
38	тем не менее	8	4
39	не в том	1	4
40	все более и	1	4
41	в конце концов	7	4
42	более и более	1	4
43	как раз и	1	4
44	не входит в	1	4
45	но все же	2	4
46	то ни стало	1	4
47	с тем же	1	4
48	но и в	2	4
49	как и все	1	4
50	с самого начала	3	4
51	хотя бы в	1	4
52	в нем и	2	4
53	по аналогии с	1	4
54	сама по себе	2	4
55	то или иное	1	3
56	в том числе	2	3
57	во что бы	1	3
58	так или иначе	3	3
59	то же что	1	3
60	том числе и	1	3
61	то же самое	2	3
62	равно как и	2	3
63	и во всяком	1	3
64	в том смысле	2	3
65	бы ни были	1	3
66	в том чтобы	2	3
67	потому что он	2	3
68	и в дальнейшем	1	3
69	в своей работе	1	3
70	и в частности	4	3
71	то и другое	5	3
72	что бы то	1	3
73	но в то	2	3
74	и то и	1	3
75	как мы увидим	1	3
76	в предисловии к	2	3
77	во всех областях	1	3
78	ни о каком	1	3
79	мере в какой	1	2
80	по себе а	2	2
81	о том как	1	2
82	том смысле что	1	2
83	к действительности и	1	2
84	должно было бы	1	2
85	одной из своих	1	2
86	говоря уже о	2	2
87	с этой точки	2	2
88	в жизни и	1	2
89	вовсе не в	1	2
90	что в данном	2	2
91	но даже и	4	2
92	только тем что	1	2
93	так и с	1	2
94	не потому что	1	2
95	именно потому что	1	2
96	в такой же	1	2
97	что перед нами	2	2
98	между тем как	1	2
99	тех или иных	2	2
100	и прежде всего	2	2
101	в том или	3	2
102	не было и	1	2
103	в последнее время	1	2
104	на первом плане	3	2
105	что это не	1	2
106	в таком случае	2	2
107	в своей книге	1	2
108	только в связи	1	2
109	и в том	1	2
110	может быть только	6	2
111	и все же	1	2
112	вовсе не как	1	2
113	именно в этом	1	2
114	и тем же	1	2
115	в какой мере	3	2
116	это не так	1	2
117	как это было	1	2
118	в это время	3	2
119	этой точки зрения	2	2
120	от того что	1	2
