N	2gram	Tiupa_Anal	Mirosoze
1	и в	30	97
2	может быть	33	64
3	не только	30	63
4	в этом	31	55
5	но и	29	54
6	он не	4	53
7	а не	25	53
8	в нем	3	49
9	не может	26	49
10	у него	5	47
11	и не	33	39
12	никогда не	4	38
13	в ней	1	37
14	потому что	3	37
15	не было	1	36
16	не в	17	34
17	и есть	3	33
18	для него	5	31
19	не есть	8	30
20	но он	1	30
21	есть лишь	1	30
22	человека в	1	30
23	как и	23	29
24	прежде всего	8	29
25	и он	1	27
26	в мире	14	27
27	но в	11	27
28	к человеку	1	26
29	человека и	1	26
30	в своей	7	25
31	он был	3	25
32	о свободе	2	24
33	и все	5	24
34	у нас	1	24
35	ведет к	3	23
36	в своем	2	23
37	что в	7	23
38	что он	3	22
39	в самом	12	21
40	в себе	17	20
41	отношение к	2	20
42	как бы	15	19
43	судьба человека	2	18
44	в его	15	18
45	того что	5	17
46	и потому	2	17
47	том что	21	16
48	в том	36	16
49	то что	11	16
50	было бы	4	16
51	и его	9	16
52	быть может	2	15
53	в котором	5	15
54	не был	2	15
55	не знает	4	15
56	в этой	12	15
57	в конце	4	14
58	человек в	3	14
59	нет ничего	2	14
60	так как	3	14
61	в глубине	2	14
62	та же	1	13
63	и на	10	13
64	друг друга	1	13
65	привести к	1	12
66	в них	1	12
67	духа он	1	12
68	он сам	1	12
69	к нему	4	12
70	но не	13	12
71	смысле слова	1	12
72	это не	7	12
73	все это	2	12
74	и к	5	11
75	с тем	1	11
76	уже не	6	11
77	хотя бы	4	11
78	в которой	3	11
79	обращен к	1	11
80	только в	8	11
81	как в	3	11
82	и там	1	11
83	но это	1	11
84	и для	3	11
85	жизни и	1	11
86	то же	12	10
87	так же	1	10
88	человека человек	1	10
89	для человека	2	10
90	один из	4	10
91	должна быть	1	10
92	не могут	3	10
93	не имеет	1	10
94	в самой	1	10
95	человека к	4	10
96	есть не	9	10
97	все что	3	9
98	к тому	12	9
99	не мог	3	9
100	должно быть	2	9
101	что и	5	9
102	х годов	2	9
103	человек и	2	9
104	я не	2	9
105	не будет	3	9
106	он уже	1	9
107	то есть	19	9
108	с ним	6	9
109	вместе с	6	9
110	в свою	1	9
111	и во	3	9
112	бы и	1	9
113	есть уже	1	9
114	а в	11	9
115	лишь в	12	9
116	от него	2	8
117	в этих	3	8
118	и с	2	8
119	тем что	2	8
120	человека есть	1	8
121	о том	11	8
122	вопрос о	2	8
123	себя в	8	8
124	что не	3	8
125	человека он	1	8
126	за пределы	6	8
127	не так	3	8
128	в отношении	2	8
129	еще в	4	8
130	того чтобы	3	8
131	отношении к	1	8
132	нет и	2	8
133	с его	3	8
134	ничего не	10	8
135	они не	1	8
136	уже в	1	8
137	мира и	1	8
138	только и	1	8
139	для того	4	8
140	во всем	1	7
141	если он	1	7
142	в нашем	3	7
143	что все	2	7
144	точки зрения	10	7
145	она есть	2	7
146	те же	3	7
147	что она	1	7
148	на этом	4	7
149	от нее	1	7
150	в жизни	1	7
151	отношения к	4	7
152	жизни в	1	7
153	себя и	5	7
154	более чем	4	7
155	он в	5	7
156	но если	1	7
157	должен быть	6	7
158	не могу	2	7
159	также и	3	7
160	как он	4	7
161	все еще	1	7
162	же и	1	6
163	с этой	2	6
164	не как	2	6
165	к концу	1	6
166	было в	1	6
167	и те	2	6
168	этого мира	2	6
169	всего в	3	6
170	там и	1	6
171	его в	2	6
172	личности и	3	6
173	можно было	1	6
174	по своей	6	6
175	вера в	2	6
176	что достоевский	1	6
177	и от	1	6
178	и здесь	1	6
179	что это	1	6
180	его на	1	6
181	если бы	6	6
182	в которых	1	6
183	бы не	3	6
184	в образе	1	6
185	в ее	2	6
186	людей не	1	6
187	не способен	1	6
188	и более	5	6
189	и свободы	1	6
190	на все	2	6
191	жизнь и	1	6
192	его не	1	6
193	быть и	1	6
194	на то	2	6
195	не к	3	6
196	еще не	5	5
197	бы в	3	5
198	с самим	3	5
199	одно из	2	5
200	с собой	1	5
201	и как	6	5
202	своих и	1	5
203	мысли о	1	5
204	отличается от	3	5
205	во всяком	1	5
206	для этого	2	5
207	мы увидим	1	5
208	сказать что	2	5
209	все время	1	5
210	по преимуществу	4	5
211	на протяжении	2	5
212	личности в	4	5
213	и вместе	1	5
214	сих пор	1	5
215	вопроса о	4	5
216	он обращен	1	5
217	личность и	1	5
218	культуры и	1	5
219	в человеческой	1	5
220	в то	10	5
221	для чего	2	5
222	означает что	3	5
223	когда он	1	5
224	до сих	1	5
225	оно не	1	5
226	да и	2	5
227	его и	3	5
228	то он	3	5
229	он же	1	5
230	в основе	6	5
231	и если	2	5
232	в мир	1	5
233	той же	4	5
234	тот же	2	5
235	человека но	1	5
236	этот процесс	1	5
237	которых он	1	5
238	так и	16	5
239	как у	1	5
240	в их	8	5
241	сознания но	1	5
242	xx века	1	5
243	думать что	2	5
244	как будто	6	5
245	в той	8	4
246	в центре	3	4
247	человеческой жизни	1	4
248	к этой	1	4
249	еще более	1	4
250	в разных	1	4
251	в своих	1	4
252	и даже	10	4
253	человека для	1	4
254	отношением к	2	4
255	к земле	1	4
256	культуры в	2	4
257	в такой	2	4
258	было не	1	4
259	на природу	1	4
260	сам не	1	4
261	не всегда	4	4
262	в него	1	4
263	по отношению	10	4
264	не что	5	4
265	себе в	2	4
266	его собственной	1	4
267	него не	1	4
268	л толстого	1	4
269	ее и	1	4
270	мы видим	1	4
271	что иное	6	4
272	от природы	1	4
273	к себе	1	4
274	не от	1	4
275	будто бы	4	4
276	была в	1	4
277	тому что	2	4
278	себе и	1	4
279	в чем	2	4
280	человека а	1	4
281	а с	3	4
282	человека как	1	4
283	отношение между	1	4
284	так что	3	4
285	и что	2	4
286	как человек	1	4
287	и по	2	4
288	не случайно	11	4
289	его с	1	4
290	тогда когда	3	4
291	для них	1	4
292	ни в	5	4
293	и тот	2	4
294	но на	1	4
295	в начале	3	4
296	оно есть	1	4
297	как о	2	4
298	никто не	3	4
299	к другому	1	4
300	к которой	1	4
301	и тогда	3	4
302	иной мир	1	4
303	и до	3	4
304	может ли	2	4
305	к миру	1	4
306	только с	2	4
307	они были	1	4
