N	3gram	Vinokur_St	Komedia
1	в том что	29	29
2	к тому же	2	21
3	в то же	5	16
4	то же время	5	16
5	до сих пор	12	16
6	в самом деле	7	13
7	о том что	19	13
8	и т п	11	11
9	для того чтобы	13	11
10	в то время	2	11
11	по отношению к	3	9
12	вместе с тем	2	9
13	с одной стороны	2	9
14	то время как	1	9
15	речь идет о	3	8
16	с другой стороны	8	8
17	и в самом	3	8
18	обращает на себя	2	7
19	так или иначе	3	7
20	бы то ни	2	7
21	в конце концов	2	7
22	то ни было	1	7
23	на этот раз	2	7
24	на себя внимание	1	7
25	с самого начала	3	7
26	в первую очередь	2	7
27	во всяком случае	8	7
28	в отличие от	1	6
29	говоря уже о	2	6
30	в том числе	3	6
31	с точки зрения	10	6
32	не говоря уже	2	6
33	после того как	5	6
34	что он не	5	5
35	о том как	1	5
36	и т д	25	5
37	в ответ на	1	5
38	за то что	5	5
39	судя по всему	1	5
40	в этом отношении	13	5
41	тем не менее	4	5
42	том что он	6	5
43	в одном из	4	4
44	что у него	1	4
45	чуть ли не	2	4
46	в обоих случаях	2	4
47	в этой области	5	4
48	т е в	3	4
49	к тому что	4	4
50	но все же	3	4
51	само собой разумеется	1	4
52	в это время	3	4
53	по сравнению с	1	4
54	можно было бы	8	4
55	во второй половине	1	4
56	что и в	4	4
57	в той же	2	3
58	то что он	3	3
59	и его современников	1	3
60	в том же	3	3
61	друг от друга	1	3
62	более или менее	2	3
63	ответа на вопрос	1	3
64	на мой взгляд	1	3
65	в соответствии с	1	3
66	в г и	1	3
67	в высшей степени	1	3
68	сих пор не	1	3
69	на то что	5	3
70	но и в	2	3
71	в чем же	1	3
72	может быть даже	1	3
73	нет и речи	1	3
74	таким образом в	1	3
75	собой разумеется что	1	3
76	здесь нет и	1	3
77	по меньшей мере	3	3
78	ли можно сомневаться	1	3
79	сомневаться в том	2	3
80	в политическом отношении	2	3
81	то обстоятельство что	3	3
82	и речи о	1	3
83	из того же	1	3
84	том числе и	2	3
85	ни в чем	1	3
86	ни одно из	1	3
87	до того как	3	2
88	мере в какой	3	2
89	а может быть	1	2
90	как будто бы	1	2
91	и даже не	2	2
92	в каждом из	1	2
93	в этом смысле	2	2
94	вполне возможно что	1	2
95	и на этот	1	2
96	у меня в	2	2
97	можно сомневаться в	1	2
98	т е из	1	2
99	сих пор в	1	2
100	как и в	2	2
101	том что она	1	2
102	именно об этом	1	2
103	их точки зрения	1	2
104	так и в	5	2
105	мы встречаем в	1	2
106	в отношении к	1	2
107	что он в	1	2
108	в зависимости от	2	2
109	точно так же	2	2
110	и таким образом	1	2
111	и в то	1	2
112	том что в	4	2
113	не похож на	1	2
114	если не считать	1	2
115	с их точки	1	2
116	еще в г	2	2
117	с тех пор	1	2
118	и в том	3	2
119	одних и тех	1	2
120	но и здесь	2	2
121	и его современники	1	2
122	и в тех	1	2
123	но столь же	2	2
124	только в том	3	2
125	не всегда можно	1	2
126	и тех же	1	2
127	лет спустя после	1	2
128	на этот счет	1	2
129	в одной из	3	2
130	ни малейшего намека	1	2
131	так же как	5	2
132	можно судить по	1	2
133	только потому что	2	2
134	не только в	4	2
135	в этом случае	3	2
136	малейшего намека на	1	2
137	тем более что	2	2
138	ни в одном	2	2
139	представление о том	1	2
140	по его мнению	1	2
141	я думаю что	4	2
142	должны были бы	1	1
143	неизвестно кем и	2	1
144	он был очень	1	1
145	одной точки зрения	1	1
146	счастливому стечению обстоятельств	1	1
147	но все эти	1	1
148	как и во	1	1
149	ясно что ни	1	1
150	имеет ничего общего	2	1
151	столь же естественным	1	1
152	по собственному усмотрению	1	1
153	что и для	1	1
154	и его друзья	2	1
155	еще до того	2	1
156	в применении к	3	1
157	ему все же	1	1
158	в той мере	2	1
159	не приходится уже	1	1
160	не может быть	5	1
161	этой области не	1	1
162	в г в	4	1
163	благодаря счастливому стечению	1	1
164	себе отчет в	1	1
165	того чтобы не	1	1
166	судить о том	1	1
167	хотя это обстоятельство	1	1
168	не виноват в	1	1
169	имеем дело с	2	1
170	должно было бы	1	1
171	да и в	3	1
172	в которой на	1	1
173	е в том	1	1
174	не представляется возможным	1	1
175	а то что	1	1
176	чтобы сделать его	1	1
177	ответ на эти	1	1
178	уважение к этому	1	1
179	бы он не	1	1
180	отцу и сыну	1	1
181	сих пор они	1	1
182	и все это	1	1
183	в еще более	1	1
184	потому что она	1	1
185	в которую он	1	1
186	навлечь на себя	1	1
187	принадлежат к числу	1	1
188	в голову не	1	1
189	на свой риск	1	1
190	и не имеет	1	1
191	того или иного	4	1
192	только тем что	1	1
193	но и он	1	1
194	которой между прочим	1	1
195	это предположение и	1	1
196	сам по себе	1	1
197	этом можно судить	1	1
198	но он не	1	1
199	для того времени	1	1
200	о положении в	1	1
201	в том случае	1	1
202	и не могла	1	1
203	ничего общего с	3	1
204	а между тем	2	1
205	смысле этого слова	1	1
206	время своего пребывания	1	1
207	что в нем	2	1
208	чтобы убедиться в	1	1
209	о том в	1	1
210	вместо того чтобы	1	1
211	тем обстоятельством что	1	1
212	и для самого	1	1
213	совсем в другом	1	1
214	в данном случае	7	1
215	целом ряде случаев	1	1
216	шесть лет спустя	1	1
217	в своем роде	1	1
218	и никогда не	1	1
219	она не могла	1	1
220	в рукописи не	1	1
221	той мере в	2	1
222	риск и страх	1	1
223	из них нельзя	1	1
224	и нуждается в	1	1
225	не имеет ничего	2	1
226	одно из двух	1	1
227	об этом не	1	1
228	что это не	2	1
229	о том чем	1	1
230	и не хочет	1	1
231	т п которые	1	1
232	в конце первой	2	1
233	в наше время	1	1
234	если бы и	2	1
235	что они являются	1	1
236	по этому поводу	4	1
237	это вовсе не	1	1
238	гораздо ближе к	1	1
239	вовсе не является	1	1
240	новых идей и	1	1
241	к сожалению не	3	1
242	в котором он	2	1
243	и совершенно не	1	1
244	свой риск и	1	1
245	имея в виду	1	1
246	и в голову	1	1
247	сих пор еще	1	1
248	в значительной степени	2	1
249	к участию в	1	1
250	все же вполне	1	1
251	и в тексте	1	1
252	но не менее	1	1
253	а не в	1	1
254	и не может	1	1
255	и в этом	4	1
256	мы имеем дело	1	1
257	того чтобы показать	1	1
258	то что у	2	1
259	кем иным как	1	1
260	несколько в ином	1	1
261	вопрос о чем	1	1
262	тому что в	2	1
263	в г была	1	1
264	в этих словах	2	1
265	на эти вопросы	3	1
266	в которой все	1	1
267	между тем у	2	1
268	той или иной	1	1
269	не мог не	1	1
270	однако ни в	1	1
271	случае ясно что	1	1
272	что и у	1	1
273	быть даже и	1	1
274	естественно что и	1	1
275	должен был бы	1	1
276	он не только	2	1
277	в том чтобы	1	1
278	по крайней мере	2	1
279	сказать что пока	1	1
280	главы евгения онегина	2	1
281	при его жизни	2	1
282	с того что	2	1
283	потому что он	1	1
284	и без того	1	1
285	и вовсе не	1	1
286	в свое время	3	1
287	что как раз	2	1
288	пор они не	1	1
289	что же касается	3	1
290	источников в частности	1	1
291	самом деле не	1	1
292	в целом ряде	1	1
293	то что в	3	1
294	во время своего	1	1
295	в так называемой	1	1
296	в разной мере	1	1
297	к выводу что	1	1
298	он не может	1	1
299	все же будет	1	1
300	нет никаких оснований	1	1
301	т п в	4	1
302	в настоящее время	2	1
303	той же мере	1	1
304	об этом и	1	1
305	в сохранившемся тексте	1	1
306	трудно было бы	1	1
307	за сто лет	1	1
308	на этот вопрос	2	1
309	и для нас	1	1
310	несмотря на ее	1	1
311	во всех трех	2	1
312	в чем он	1	1
313	и представляют собой	1	1
314	во всех случаях	1	1
315	со всеми их	1	1
316	это слово как	1	1
317	об этом можно	1	1
318	по поводу того	1	1
319	него самого и	1	1
320	же мере в	1	1
321	в лучшем случае	1	1
322	можно предполагать что	1	1
323	указания на то	1	1
324	так и на	1	1
325	лет до того	1	1
326	и о том	1	1
327	приходится уже говорить	1	1
328	однако и в	1	1
329	которого следовало бы	1	1
330	но это еще	1	1
331	для каждой из	1	1
332	нельзя не признать	1	1
333	с одной точки	1	1
334	действующих лиц на	1	1
335	возможно что в	2	1
336	как раз в	4	1
337	и в отношении	1	1
338	о том каким	1	1
339	хотя бы в	1	1
340	против того чтобы	1	1
341	из второй части	1	1
342	же как и	1	1
343	но это вовсе	1	1
344	до нас не	1	1
345	появления в печати	1	1
346	уже говорить о	1	1
347	не менее и	1	1
348	о чем ты	1	1
349	должна была бы	4	1
350	не по душе	1	1
351	в предисловии к	2	1
352	нет ни одного	2	1
353	вопрос о том	4	1
354	своего пребывания в	1	1
355	всяком случае в	2	1
356	в которой между	1	1
357	вот о чем	1	1
358	сто лет назад	1	1
359	в виду что	1	1
360	всегда совпадает с	1	1
361	а не для	1	1
362	через сто лет	1	1
363	потому что они	1	1
364	несколько слов о	1	1
365	в многочисленных высказываниях	1	1
