N	2gram	Nazirov_Tr	EvropaiE
1	и в	18	37
2	что в	4	21
3	не только	8	18
4	в то	5	16
5	то же	5	15
6	хотя бы	1	15
7	и не	7	14
8	но и	4	14
9	же время	6	14
10	в своем	3	14
11	но в	6	14
12	в этом	9	12
13	в том	2	11
14	в области	1	11
15	так и	5	10
16	в себе	4	9
17	т е	1	9
18	прежде всего	4	9
19	только в	1	9
20	так же	4	9
21	не может	5	9
22	отнюдь не	3	9
23	с одной	1	8
24	в ее	2	8
25	в своей	1	8
26	между тем	1	8
27	к тому	2	8
28	того что	1	7
29	а также	1	7
30	как и	5	7
31	то есть	3	6
32	с этой	1	6
33	россии но	1	6
34	и даже	4	6
35	и на	7	6
36	том что	4	6
37	во всех	1	6
38	может быть	7	6
39	того чтобы	1	6
40	то что	4	6
41	как бы	7	6
42	в той	1	5
43	тем самым	3	5
44	в виде	2	5
45	не в	2	5
46	в россии	1	5
47	но не	1	5
48	и потому	1	5
49	в частности	2	5
50	как мы	1	5
51	столь же	2	5
52	но если	1	5
53	и по	1	5
54	в самом	2	4
55	то в	1	4
56	на путях	1	4
57	для нас	1	4
58	иными словами	1	4
59	и притом	1	4
60	именно в	1	4
61	по себе	1	4
62	не имеет	2	4
63	к россии	1	4
64	вопрос о	2	4
65	как это	3	4
66	несмотря на	5	4
67	к ней	1	4
68	в ней	1	4
69	на всем	2	4
70	говорит о	2	3
71	применении к	1	3
72	в применении	1	3
73	что и	2	3
74	в результате	1	3
75	не является	1	3
76	нельзя ли	1	3
77	можно было	1	3
78	x в	1	3
79	на себя	1	3
80	тем что	2	3
81	в таком	2	3
82	вообще не	1	3
83	как в	3	3
84	жизни в	1	3
85	в них	1	3
86	во всяком	1	3
87	бы и	2	3
88	в данном	2	3
89	по нашему	1	3
90	ли это	1	3
91	представляет собой	1	3
92	потому что	2	3
93	отметить что	1	3
94	известной степени	1	3
95	к ним	1	3
96	с тем	2	3
97	в сфере	1	3
98	обстоит дело	1	3
99	и от	1	3
100	о том	2	3
101	в общем	1	3
102	является ли	1	3
103	всяком случае	1	3
104	не из	1	3
105	в известной	2	3
106	никогда не	2	3
107	таким образом	1	2
108	утверждать что	1	2
109	и то	2	2
110	мы видим	1	2
111	данном случае	2	2
112	должна быть	1	2
113	но еще	1	2
114	в его	3	2
115	что это	5	2
116	и если	1	2
117	не могут	2	2
118	как же	2	2
119	и с	7	2
120	заключается в	1	2
121	и все	4	2
122	и эта	1	2
123	представление о	1	2
124	вместе с	1	2
125	и как	3	2
126	есть в	1	2
127	не есть	1	2
128	в мире	3	2
129	одном из	2	2
130	между собой	1	2
131	сравнению с	1	2
132	на них	1	2
133	нашему мнению	1	2
134	а поскольку	1	2
135	что эти	2	2
136	ко всему	1	2
137	но как	1	2
138	только к	2	2
139	значение только	1	2
140	в котором	1	2
141	и что	4	2
142	более чем	1	2
143	она не	1	2
144	имеет в	2	2
145	по сравнению	1	2
146	он не	2	2
147	в развитии	1	2
148	и теперь	1	2
149	а не	1	2
150	в одном	2	2
151	в истории	1	2
152	по своей	1	2
153	его собственная	1	2
154	в этой	4	2
155	и еще	1	2
156	во многом	1	2
157	на уровне	1	2
158	мог бы	3	2
159	наряду с	1	2
160	могут быть	1	2
161	что все	2	2
162	на этот	1	2
163	для понимания	1	2
164	как будто	3	2
165	он сам	7	2
166	бы в	1	2
167	и наконец	1	2
168	что на	1	2
169	не к	1	2
170	к нему	3	2
171	к сожалению	1	1
172	во всем	1	1
173	в центре	1	1
174	что оно	1	1
175	один из	3	1
176	самой природе	1	1
177	мы отметим	1	1
178	смотреть на	1	1
179	обратное народ	1	1
180	на вопрос	1	1
181	также что	1	1
182	на западе	1	1
183	должно быть	3	1
184	к этой	1	1
185	время с	1	1
186	от природы	1	1
187	от нее	1	1
188	уже в	3	1
189	например в	1	1
190	с такой	1	1
191	он считает	1	1
192	дело с	1	1
193	и далее	1	1
194	при этом	3	1
195	для него	3	1
196	к числу	1	1
197	но от	1	1
198	ибо тем	1	1
199	с ним	3	1
200	что при	1	1
201	что с	3	1
202	не как	1	1
203	и лучше	2	1
204	а затем	1	1
205	не способен	1	1
206	когда его	1	1
207	смысле этого	1	1
208	как нечто	1	1
209	быть может	1	1
210	в русском	2	1
211	мы оставим	1	1
212	есть такая	1	1
213	власти и	1	1
214	чтобы превратить	1	1
215	а на	1	1
216	отцов и	1	1
217	не было	1	1
218	связи с	1	1
219	ко всем	1	1
220	это должно	1	1
221	но все	2	1
222	он рассматривает	1	1
223	имеет для	1	1
224	и сам	3	1
225	по природе	1	1
226	что за	3	1
227	это мы	1	1
228	мысль о	1	1
229	же по	1	1
230	с г	2	1
231	в силах	2	1
232	что не	1	1
233	как его	1	1
