N	3gram	Potebnia_M	NovoeSre
1	не может быть	7	4
2	со всех сторон	3	3
3	подобно тому как	3	3
4	вопрос о том	1	2
5	в том и	1	2
6	вместе с тем	5	2
7	равно как и	2	2
8	в этом смысле	2	2
9	что в нем	1	2
10	не в смысле	1	2
11	когда мы говорим	1	2
12	с одной стороны	4	2
13	с другой стороны	4	2
14	быть не может	2	1
15	сами по себе	3	1
16	лишь в том	1	1
17	в том что	22	1
18	не в том	6	1
19	в том случае	2	1
20	до сих пор	4	1
21	еще не знает	1	1
22	и быть не	1	1
23	на это не	1	1
24	и это есть	1	1
25	том смысле в	2	1
26	то нужно будет	1	1
27	и не менее	1	1
28	только потому что	5	1
29	не только в	4	1
30	но и в	4	1
31	в большинстве случаев	2	1
32	которые могут быть	1	1
33	в том чтобы	4	1
34	должно было быть	1	1
35	в том смысле	6	1
36	свободы и счастья	1	1
37	мы говорим что	1	1
38	есть прежде всего	2	1
39	но оно есть	1	1
40	о том что	5	1
41	и того же	2	1
42	по своему строению	1	1
43	не могут быть	3	1
44	потому что не	4	1
45	заключает в себе	10	1
46	в виду эту	1	1
47	а не в	1	1
48	как и в	3	1
49	то что в	2	1
50	и не в	1	1
51	том случае если	1	1
52	а не с	1	1
53	во всяком случае	3	1
54	для себя и	1	1
55	к вопросу о	1	1
56	конечно не в	1	1
57	еще не было	1	1
58	это значит что	1	1
59	никогда еще не	1	1
60	в мире а	1	1
61	многое зависит от	1	1
62	не в силах	1	1
63	в то время	7	1
64	имея в виду	1	1
65	но нет и	1	1
66	то время как	3	1
67	во времени в	1	1
68	в зависимость от	1	1
69	и совсем не	1	1
70	смысле в каком	3	1
71	и не может	1	1
72	одного и того	2	1
73	может быть только	4	1
