N	4gram	Medvedev_F	Sovremen
1	что же это за	1	2
2	поэтому мы не можем	1	2
3	в зависимости от различных	1	1
4	метода не может быть	1	1
5	по самому своему существу	1	1
6	мы уже знаем что	1	1
7	в первый период развития	1	1
8	а в настоящее время	2	1
9	может быть и речи	1	1
10	и до сих пор	2	1
11	но тем не менее	1	1
12	все более и более	3	1
13	не могут быть поняты	1	1
14	бы то ни было	1	1
15	и в то же	4	1
16	с одной стороны и	4	1
17	не что иное как	1	1
18	в этом смысле можно	1	1
19	не может быть и	2	1
20	в то же время	13	1
21	этом смысле можно говорить	1	1
22	есть не что иное	1	1
