N	4gram	Vygotskiy_	DiskursI
1	состоит в том что	4	7
2	с одной стороны и	1	5
3	одного и того же	5	4
4	в том что в	3	3
5	в том числе и	3	3
6	одно и то же	6	3
7	в том случае если	2	2
8	одной и той же	5	2
9	одних и тех же	1	2
10	с той или иной	1	2
11	бы то ни было	1	2
12	одним и тем же	4	2
13	не что иное как	2	1
14	одни и те же	3	1
15	не только потому что	1	1
16	в том что с	1	1
17	но на этот раз	1	1
18	как и все остальные	1	1
19	той ситуации в которой	1	1
20	в том что они	2	1
21	в такой же мере	1	1
22	к тому или иному	3	1
23	только в том что	4	1
24	том что он не	1	1
25	в самых общих чертах	1	1
26	одном и том же	2	1
27	заключается в том что	16	1
28	к одному и тому	5	1
29	или во всяком случае	1	1
30	в том что он	1	1
31	в прямой зависимости от	1	1
32	с одной стороны он	1	1
33	совпадают с теми же	1	1
34	одному и тому же	5	1
35	и тем же словом	3	1
36	есть не что иное	1	1
