N	2gram	Trubetskoy	OGranits
1	и в	24	13
2	и его	2	12
3	прежде всего	3	9
4	может быть	17	8
5	и не	9	8
6	не может	18	8
7	и пр	1	7
8	в его	5	7
9	и их	5	7
10	точки зрения	14	7
11	таким образом	34	6
12	не только	10	6
13	социального общения	1	6
14	мы должны	4	6
15	только в	6	6
16	то что	18	6
17	как бы	10	6
18	хотя бы	4	5
19	с точки	8	5
20	и т.д	4	5
21	в процессе	2	5
22	все же	15	5
23	и эта	1	5
24	и наконец	3	5
25	в каждом	1	4
26	мы можем	6	4
27	не является	1	4
28	до тех	2	4
29	вполне понятно	1	4
30	мы не	1	4
31	то же	4	4
32	еще и	1	4
33	было бы	3	4
34	все это	13	4
35	в сознании	7	4
36	лишь в	5	4
37	социальной группы	1	4
38	в своей	1	4
39	тех пор	2	4
40	но мы	1	4
41	но в	5	4
42	вопроса о	1	4
43	с этим	12	3
44	что в	9	3
45	к одному	1	3
46	и то	4	3
47	ни один	4	3
48	и уже	2	3
49	так и	10	3
50	говорить о	2	3
51	одно и	1	3
52	отношению к	11	3
53	по отношению	11	3
54	в их	4	3
55	в ее	1	3
56	здесь мы	1	3
57	самом деле	12	3
58	не в	9	3
59	в которой	5	3
60	что же	2	3
61	и все	9	3
62	общего с	2	3
63	но для	2	3
64	в себе	5	3
65	так как	7	3
66	да и	1	3
67	но и	11	3
68	и для	6	3
69	как и	10	3
70	ничего общего	3	3
71	точку зрения	2	3
72	никогда не	4	3
73	в области	4	2
74	к сожалению	1	2
75	в самом	8	2
76	во всем	3	2
77	нет ничего	1	2
78	и к	5	2
79	что они	2	2
80	представим себе	1	2
81	и отчасти	1	2
82	мы видим	1	2
83	иное как	1	2
84	в данном	3	2
85	мы уже	4	2
86	общей истории	1	2
87	и наиболее	1	2
88	а как	1	2
89	в своих	2	2
90	в этом	13	2
91	в общем	6	2
92	в целях	1	2
93	данном случае	3	2
94	с одной	3	2
95	в течение	4	2
96	входит в	1	2
97	для себя	2	2
98	и при	6	2
